location,n
2125,404
2124,340
1696,299
2076,290
1697,283
1539,277
1645,268
1599,248
1644,247
1744,245
2168,240
1484,239
1643,239
1745,233
1592,228
1485,224
1598,222
1787,221
1741,216
1540,208
1642,207
1593,204
2034,199
1984,194
1937,189
2169,188
1890,188
1422,187
2077,183
1893,182
2126,182
1388,180
1483,179
1533,175
2383,174
1841,171
2253,170
1541,169
1542,166
1486,165
2213,163
1543,162
1693,161
1591,157
2384,156
2252,153
2284,152
1175,151
1698,150
1837,147
2033,142
1231,139
2537,137
1390,136
1538,136
2404,136
1790,136
872,135
1285,135
1389,135
2491,133
2214,133
2425,133
2405,131
1838,131
1601,129
1894,129
1935,127
2402,127
1339,127
1176,127
2029,126
1340,126
1433,126
1936,124
1006,124
2385,124
1742,123
1284,122
2307,120
1173,120
2513,120
2081,119
1695,119
2028,119
1174,119
1482,118
1646,118
1796,117
1600,114
2174,113
2130,113
2514,112
1239,112
1437,111
1232,111
1180,110
1594,109
1791,108
1788,108
1889,108
1341,108
1287,107
1786,107
2426,106
832,106
2463,105
2493,105
2353,105
1181,104
2082,104
2331,104
1979,104
1178,104
2279,104
1933,103
2536,103
2278,102
2365,102
1534,102
1288,102
1532,101
1069,101
2167,100
1702,100
2075,99
1007,99
1436,99
1475,98
1177,98
1289,98
1891,96
1067,95
1434,95
1236,95
1233,95
2464,94
1238,94
2123,94
1705,93
1750,92
2312,92
1230,92
1286,91
1694,91
960,90
2335,90
1066,90
1487,90
1121,89
1179,89
2423,89
833,89
1063,88
792,88
2247,88
1292,88
2424,87
2372,87
1234,86
1122,86
1932,86
1704,86
2443,86
1008,86
1435,86
1068,85
1291,85
1981,84
1840,84
1934,83
1281,83
1391,83
1282,83
2492,82
2366,82
1240,82
1280,81
2127,80
1125,80
2442,80
1123,79
2388,79
1065,79
1283,79
1652,78
1703,78
1169,78
1227,77
1002,77
1064,76
1438,76
2515,75
2308,75
1237,75
1343,74
1117,74
1182,73
1070,73
2349,73
1116,73
2348,73
1170,73
1004,73
2406,73
1183,73
1602,73
1168,73
2610,73
2354,72
1128,72
1005,72
1171,72
2565,71
2440,71
1653,71
2494,71
1439,71
2330,70
2129,70
2564,70
2369,70
1743,70
953,70
954,69
1060,69
1124,69
1229,69
2350,69
1120,69
1740,68
1938,68
2538,68
2636,68
1985,67
1431,67
1224,67
2336,67
2403,67
2387,66
2138,66
1228,65
2658,65
793,65
1113,65
2367,65
1895,65
1118,65
868,65
1432,64
1167,64
1235,64
908,63
2173,63
1982,63
2371,63
1342,63
1119,62
1983,62
1184,61
2137,61
2254,61
1112,61
1474,60
1129,60
1009,60
2285,60
1338,60
1789,60
1746,60
2181,59
1597,59
2313,58
2088,58
2422,58
1172,58
1892,58
909,57
2444,57
2370,57
2306,57
1651,57
2676,57
1071,56
2208,56
1990,55
1392,55
1641,55
2386,55
1386,54
907,53
1980,53
1115,53
2089,53
2246,52
2040,52
2078,51
1127,51
2030,51
1001,51
1290,51
2726,51
2212,51
1423,51
1421,51
2283,51
1344,51
2261,51
874,50
2461,50
2248,50
2659,50
873,50
1650,50
914,50
2209,49
1010,49
1126,49
959,49
2382,48
1590,48
915,48
2090,48
962,48
791,48
755,47
963,47
961,47
2139,47
1649,47
2219,47
2590,47
1839,47
1836,47
717,47
958,47
2136,46
2589,46
2277,46
1530,46
1751,46
1003,45
2703,45
1387,45
1000,45
2131,45
866,45
2512,44
1276,44
1111,44
2677,44
794,44
2745,44
2043,44
2407,44
952,43
2132,42
1904,42
1948,42
1062,42
1589,42
2180,42
955,41
2182,41
1943,41
2179,41
1076,40
1842,40
875,40
715,39
2220,39
2441,39
1692,38
1061,38
1476,38
1797,38
834,38
1749,37
2744,37
679,37
1059,37
1225,36
1852,36
1114,36
1393,36
754,36
1905,36
2031,36
2445,36
714,36
2080,36
1949,36
2462,35
2221,35
669,35
1275,35
1223,35
2175,34
681,34
829,34
2260,34
867,34
1588,33
2337,33
1278,33
2329,33
1846,33
1074,33
918,33
680,33
1330,33
757,33
1226,32
2140,32
1440,32
965,32
2660,32
752,32
1441,32
2637,32
2170,32
913,32
1217,32
1544,32
1906,31
1337,31
2460,31
2311,31
789,31
713,31
1378,31
709,30
2091,30
2389,30
719,30
2172,30
2767,29
1011,29
2352,29
2218,29
1899,29
1325,29
1345,28
1535,28
2215,28
1978,28
1332,28
916,28
2364,28
716,28
1324,28
1831,28
753,28
1792,28
2001,28
718,28
795,27
2222,27
2332,27
1999,27
1531,27
1293,27
1898,27
1691,27
1328,27
624,26
964,26
1336,26
1073,26
2207,26
1012,26
1954,26
1166,26
1795,26
710,26
2041,25
682,25
758,25
1781,25
2727,25
1072,25
1331,25
638,25
2092,25
865,25
1277,24
1862,24
1907,24
627,24
2314,24
1075,24
1908,24
587,24
828,24
1488,24
1603,24
574,24
825,23
2428,23
748,23
2183,23
1883,23
2611,23
1385,23
1479,23
214,23
2291,23
1951,23
906,23
2178,23
2259,23
1271,23
824,23
1527,23
1219,22
1218,22
1944,22
1477,22
1941,22
1640,22
1947,22
1478,22
790,22
1279,22
745,22
2035,22
2105,22
1851,22
746,21
756,21
877,21
670,21
1942,21
2675,21
1853,21
1077,21
1884,21
1270,21
678,21
1273,20
2702,20
2465,20
1861,20
910,20
2002,20
2746,20
707,20
1272,20
1442,20
835,19
1013,19
1379,19
720,19
1429,19
751,19
2495,19
488,19
672,19
636,19
1472,18
2290,18
635,18
1491,18
404,18
1320,18
1586,18
2408,18
1329,18
1638,18
1950,18
1492,18
1057,18
1991,18
1647,18
1162,18
784,18
1699,18
1346,18
2176,17
1372,17
250,17
586,17
144,17
576,17
1058,17
1490,17
1956,17
450,17
919,17
1080,17
2251,17
523,17
1418,17
489,17
2079,16
628,16
2566,16
1912,16
1368,16
2421,16
2280,16
1495,16
1939,16
1952,16
1105,16
1414,16
917,16
999,16
1830,16
708,16
1734,16
2059,16
1130,16
869,16
1380,16
2304,16
615,16
786,16
2192,16
671,16
1375,16
1450,16
2051,16
1241,16
1420,16
747,16
1334,16
2042,16
2087,16
2496,15
631,15
1545,15
1595,15
1752,15
927,15
871,15
1523,15
2302,15
637,15
1587,15
676,15
698,15
920,15
633,15
1716,15
2103,15
1161,15
971,15
2147,15
993,15
2355,15
1780,15
876,15
2056,15
