location,n
717,2299
2334,1311
558,884
95,780
2079,748
2092,640
500,620
2404,597
615,575
464,525
1,505
1058,481
620,446
2252,442
3010,396
2039,385
1950,374
1282,371
805,366
75,362
1384,358
4,358
466,355
2460,337
2130,327
2137,322
10,321
2439,317
1585,315
32,306
2799,299
2520,293
1938,280
2096,274
2117,273
1677,252
31,243
935,236
362,236
2483,230
879,230
1896,224
1766,222
2329,221
1672,218
863,216
2337,216
146,215
2193,214
2470,212
2088,210
1997,210
1830,209
1755,209
46,206
1453,204
2212,200
630,200
1626,199
1788,198
1184,198
1413,194
1723,194
2410,191
1521,190
2250,189
2542,188
976,184
1694,176
1044,175
144,173
736,172
2984,172
2856,170
120,170
2413,170
580,163
2465,162
9,161
313,160
1053,157
2217,155
1333,153
846,153
33,153
530,152
2408,151
1889,151
2257,150
3040,149
894,147
1875,144
1926,143
624,143
1891,142
2014,142
2339,141
1455,139
2519,138
533,137
1856,136
2186,135
2800,135
38,133
2382,130
1674,129
2524,129
2525,128
1853,128
1689,127
2290,127
1967,127
2328,125
1392,124
89,124
649,120
1038,118
2251,117
1941,115
61,113
654,113
193,113
5,112
815,111
37,111
1021,109
2070,107
2085,106
1625,105
3019,105
2878,104
2858,104
2196,103
1721,102
2378,102
2532,100
2010,100
2360,99
1175,99
1609,99
1955,98
2306,97
2398,96
1923,96
2756,95
1536,94
794,94
2179,94
1364,94
1045,93
18,93
1060,91
160,91
1929,90
2029,90
170,88
775,87
2122,86
2649,86
2522,86
50,86
480,85
2502,85
666,84
3,84
2824,83
1491,82
2359,82
1645,82
1736,81
862,80
1824,79
2247,79
28,79
2819,79
1664,78
24,77
1062,77
1211,77
2066,76
2323,76
2411,76
2077,76
78,75
2455,74
2288,74
2218,73
792,73
489,73
642,73
2086,72
2453,72
1325,71
647,71
174,71
2159,70
2362,70
2118,70
100,69
823,69
348,69
2,69
2555,68
2109,68
1961,68
594,67
1353,66
2641,66
153,66
72,66
3016,66
376,65
887,65
2192,65
2028,65
845,64
383,64
2264,64
1745,64
2513,64
1751,63
429,63
1354,63
216,62
1289,62
2456,61
1795,61
1673,61
1834,61
1589,60
65,60
2549,60
30,60
870,60
1994,59
2256,59
140,59
2593,59
2785,58
2311,58
2392,57
1026,57
1850,57
949,56
2569,56
2318,56
1687,56
2221,55
1777,55
52,55
84,55
2381,55
1499,54
2155,54
1890,53
1517,53
1555,53
2509,53
1631,53
2727,53
3018,53
901,52
2409,52
465,52
423,52
1233,52
2327,51
1879,51
2090,51
2211,50
926,50
64,50
1264,49
2505,49
1089,49
576,49
287,49
2972,49
2540,49
2119,48
991,48
2111,48
2361,48
1480,48
2808,48
1981,47
2292,47
560,47
2341,47
543,47
2835,46
551,46
2946,45
833,45
697,45
2372,45
476,44
1792,44
1240,44
979,44
1927,44
532,44
21,43
2482,43
2147,43
2490,43
136,43
699,43
159,43
47,43
966,43
2182,43
1731,43
129,42
148,42
2617,42
762,42
1535,42
2561,42
1663,42
133,42
1121,42
2472,42
1705,41
2685,41
398,41
35,41
2048,41
834,41
2049,41
1637,41
1977,41
1152,41
2431,41
175,41
2725,40
2597,40
404,40
2093,40
2261,40
173,40
1130,39
746,39
1733,39
406,39
105,39
1959,39
421,39
2418,39
1602,39
2393,39
1851,38
2358,38
2464,38
1125,38
1668,38
2436,38
2299,38
11,38
900,37
2394,37
2184,37
1000,37
1029,36
715,36
1980,36
2920,36
803,36
2260,36
659,36
2564,36
2286,36
1928,36
2194,35
386,35
2004,35
2445,35
2022,35
1882,35
977,34
3086,34
1918,34
17,34
2045,34
2729,34
2412,34
2391,34
2973,33
2664,33
2115,33
1127,33
810,33
2177,33
907,33
1822,32
676,32
2891,32
2124,32
1232,32
943,32
578,32
1018,32
668,32
774,32
1960,32
237,32
1743,32
334,32
1860,31
397,31
2719,31
904,31
183,31
2018,31
768,31
957,31
2219,30
652,30
2234,30
2091,30
2402,30
1760,30
1520,30
2051,30
671,30
1603,30
111,30
1999,30
953,30
2259,30
2116,30
501,30
2235,29
2149,29
1202,29
830,29
27,29
2857,29
2188,29
785,29
80,29
2605,29
3063,29
1714,29
2592,29
1574,29
934,29
1725,29
2693,28
405,28
1823,28
1160,28
2236,28
2576,28
161,28
623,28
2338,28
1888,28
968,28
2452,28
988,28
2156,28
2271,28
330,28
2239,28
1098,28
0,28
2262,28
434,27
1931,27
281,27
2784,27
947,27
1032,27
897,27
735,27
814,27
55,27
962,27
867,26
1772,26
382,26
701,26
2626,26
893,26
960,26
603,26
896,26
1591,26
2435,26
2630,26
329,26
1575,26
2424,25
855,25
2563,25
2645,25
2313,25
1035,25
3024,25
2493,25
176,25
2736,25
1708,25
2333,25
2317,25
571,25
1877,25
118,25
199,25
508,25
930,25
2133,24
2680,24
2939,24
2646,24
422,24
2960,24
2449,24
1993,24
90,24
263,24
20,24
2913,24
2112,24
2298,24
2315,24
2019,23
2663,23
1922,23
1864,23
