commodity,n
0,29
2495,29
2497,29
2498,29
4421,29
4420,29
4419,29
4418,29
2503,29
2504,29
2505,29
2506,29
2507,29
2508,29
2509,29
2510,29
2511,29
2512,29
2513,29
2514,29
2515,29
2516,29
2517,29
2518,29
2519,29
2520,29
2521,29
2496,29
2494,29
2338,29
2493,29
4429,29
4428,29
4427,29
4426,29
4425,29
4424,29
4423,29
4422,29
2476,29
2477,29
2478,29
2479,29
2480,29
2481,29
2482,29
2483,29
2484,29
2485,29
2486,29
2487,29
2488,29
2489,29
2490,29
2491,29
2492,29
2522,29
2523,29
4417,29
4416,29
2555,29
2556,29
2557,29
2558,29
2559,29
2560,29
2561,29
2562,29
4415,29
4414,29
4413,29
4412,29
2567,29
2568,29
2569,29
2570,29
2571,29
2572,29
2573,29
2574,29
2575,29
2577,29
2578,29
2579,29
2580,29
2554,29
2553,29
2552,29
2537,29
2526,29
2527,29
2528,29
2529,29
2530,29
2531,29
2532,29
2533,29
2534,29
2535,29
2536,29
2538,29
2551,29
2540,29
2541,29
2542,29
2543,29
2544,29
2545,29
2546,29
2547,29
2548,29
2549,29
2550,29
4430,29
4431,29
4432,29
2402,29
2371,29
2372,29
2373,29
2374,29
2375,29
2377,29
2379,29
2380,29
2381,29
2382,29
2383,29
2384,29
2385,29
2386,29
2387,29
2388,29
2389,29
2390,29
2391,29
2392,29
2394,29
2396,29
2397,29
2398,29
2399,29
2370,29
2369,29
2368,29
2351,29
2340,29
2341,29
2342,29
2343,29
2344,29
2345,29
2346,29
2347,29
2348,29
2349,29
2350,29
2352,29
2367,29
2353,29
2354,29
2355,29
4440,29
4439,29
4438,29
4437,29
4436,29
4435,29
2365,29
2366,29
2401,29
2403,29
4433,29
2404,29
2435,29
2436,29
2437,29
2438,29
2439,29
2440,29
2441,29
2442,29
2443,29
2444,29
2445,29
2446,29
2447,29
2448,29
2449,29
2450,29
2451,29
2452,29
2455,29
2456,29
2457,29
2458,29
2459,29
2460,29
2461,29
2434,29
2433,29
2432,29
2417,29
2405,29
2406,29
2407,29
2408,29
2409,29
2410,29
2411,29
2412,29
2413,29
2415,29
2416,29
2418,29
4434,29
2419,29
2420,29
2421,29
2422,29
2424,29
2425,29
2426,29
2427,29
2428,29
2429,29
2430,29
2581,29
2582,29
2583,29
2759,29
2733,29
2734,29
2735,29
2736,29
2737,29
2738,29
2739,29
2740,29
2741,29
2742,29
2743,29
2744,29
2745,29
2746,29
2747,29
2748,29
2749,29
2750,29
2751,29
2752,29
2753,29
2754,29
2755,29
2756,29
2757,29
2732,29
2731,29
2730,29
4405,29
2704,29
2705,29
2706,29
2707,29
2708,29
2709,29
2710,29
2711,29
2712,29
4408,29
4407,29
4404,29
2729,29
4403,29
4402,29
4401,29
4400,29
4399,29
4398,29
2724,29
2725,29
2726,29
2727,29
2728,29
2758,29
2760,29
2702,29
2761,29
2790,29
2791,29
2792,29
2793,29
2794,29
2795,29
2796,29
2797,29
2798,29
2799,29
2800,29
2801,29
2802,29
2803,29
2804,29
2805,29
2806,29
2807,29
2808,29
2809,29
2810,29
2811,29
2812,29
2813,29
2814,29
2789,29
2788,29
2787,29
2773,29
2762,29
2763,29
2764,29
2765,29
2766,29
2767,29
2768,29
2769,29
2770,29
2771,29
2772,29
2774,29
2786,29
2775,29
2776,29
2777,29
2778,29
2779,29
2780,29
2781,29
2782,29
2783,29
2784,29
2785,29
2703,29
