location,n
7202,632
2457,548
2453,438
1512,371
8724,360
3619,304
11985,294
11708,280
6398,269
11884,268
5564,239
7178,223
7366,212
8348,210
8692,196
219,195
5553,189
2782,186
10619,180
2122,179
7646,176
5891,175
8907,175
10360,174
2405,167
6098,163
8114,162
743,161
5731,159
9599,158
7385,156
5925,154
2167,154
8138,153
6575,150
11407,150
8293,143
2185,140
7179,134
6048,132
11766,130
492,130
8370,129
9410,129
6958,127
6060,127
12089,126
10998,123
5516,123
325,122
337,121
5054,120
1655,119
12079,119
8528,119
852,118
2791,118
10371,118
3405,117
11432,117
5541,116
1537,116
11887,115
9547,115
10635,114
11703,114
11740,112
5575,112
10176,111
4866,110
8612,110
10829,109
2120,108
5800,108
88,107
5736,107
10198,107
12087,107
11658,106
9575,106
6350,105
4559,104
10871,103
9486,103
4670,103
12216,102
7451,101
1414,101
5081,101
316,101
2933,100
1521,99
9544,99
5280,99
2392,99
3115,99
6457,98
8056,97
4607,96
2448,96
2815,96
1178,96
4433,95
8478,95
2473,94
5608,94
389,94
8432,93
11506,93
12151,93
2386,92
8712,92
9384,92
4926,91
8662,90
7545,90
1907,90
1114,90
1601,89
5640,89
6686,89
1523,89
11215,89
486,89
5657,88
10287,88
27,87
5538,87
5019,87
6206,87
8046,87
3102,87
2069,87
11759,86
183,86
6795,85
8685,85
4223,85
4574,85
8644,85
8345,85
11950,84
12081,84
2564,83
971,83
2175,83
12000,83
9313,82
7625,82
1029,81
7582,81
6198,81
224,81
9931,81
8686,80
3975,80
3548,80
5313,80
6752,79
5134,79
9543,79
10641,78
12018,78
10152,78
10923,78
12059,77
1046,77
6428,77
10034,77
8218,77
11069,77
11411,77
496,77
6627,77
6308,76
10827,76
299,76
4786,76
10696,76
4237,76
2138,75
3909,75
10020,75
11226,74
9473,74
9094,74
11414,74
9595,74
9638,74
9033,74
78,73
9748,73
11621,73
8764,73
5596,73
2909,73
10824,73
5824,72
4232,72
6432,72
5166,72
11763,72
12190,71
6616,70
6351,70
7330,70
3155,70
6411,69
11847,69
8389,69
808,69
11956,69
6088,69
2403,69
8710,69
2859,68
520,68
3912,68
5135,68
12007,68
2948,67
5334,67
11625,67
11761,67
10365,67
12039,67
5671,67
6433,67
5654,67
10865,66
10799,66
2394,66
8667,66
4333,66
3217,65
903,65
8787,65
3908,65
1051,65
4424,65
11549,65
2080,65
5528,65
8940,65
9569,65
11883,65
5507,64
7450,64
9984,64
2708,64
10209,64
4632,64
9967,64
6107,64
1887,64
3145,64
704,64
761,64
12023,63
1906,63
1445,63
11846,63
1510,63
11930,63
12213,62
9122,62
10608,62
7143,62
6493,62
8543,62
9336,62
3650,62
8743,62
7973,62
7118,62
709,60
9447,60
4225,60
6855,60
11278,60
4910,60
2711,60
188,60
4911,60
1896,60
6149,60
7414,60
871,60
3270,59
4416,59
507,59
923,59
107,59
3425,58
9653,58
4961,58
1552,58
5563,58
5461,58
5919,58
11157,58
10310,58
656,58
368,58
7965,57
5714,57
12218,57
11481,57
10121,57
4526,57
1638,57
4293,57
6335,57
6696,57
2008,57
1547,57
835,56
7902,56
1177,56
10931,56
1876,56
10159,56
8660,56
4056,55
4327,55
4220,55
12212,55
4713,55
3512,55
9314,55
10393,55
11984,54
6202,54
8112,54
8790,54
12025,54
9930,54
5572,54
7552,54
38,54
5285,54
12112,54
4209,54
8670,53
5764,53
4253,53
10314,53
10831,53
5585,53
9545,53
10099,53
10833,53
4021,53
5885,53
4401,53
11654,53
5355,53
3996,53
11700,52
3973,52
3641,52
130,52
11209,52
7632,52
9568,52
7631,52
7520,52
2607,52
12105,52
10946,52
859,52
10862,52
6358,52
11941,52
8038,52
3406,52
11136,52
7792,52
12168,52
11555,51
5241,51
2743,51
5465,51
5053,51
4524,51
7542,51
2899,51
1524,50
8290,50
10137,50
5336,50
12029,50
10021,50
8588,50
10568,50
11689,50
5567,50
275,50
5394,50
3910,50
2784,50
5578,50
11433,50
1989,49
3197,49
117,49
4294,49
8795,49
11754,49
9292,49
1891,49
8488,49
7439,49
6537,49
1024,49
9541,48
11522,48
5614,48
6049,48
369,48
11859,48
5074,48
11505,48
2391,48
365,48
11413,48
9195,48
8752,48
1722,47
2559,47
6712,47
11152,47
4251,47
12219,47
10521,47
1296,47
10532,47
9386,47
3712,47
11125,47
1169,47
601,47
10647,47
1215,47
3778,47
3148,46
6664,46
4840,46
7957,46
11222,46
5090,46
8398,46
4102,46
5064,46
6399,46
2897,46
3308,46
6960,46
9833,46
4997,46
11480,46
11507,46
6444,46
6232,46
6726,45
1255,45
9232,45
616,45
9542,45
11171,45
1656,45
12063,45
7121,45
11922,45
6217,45
11339,45
12116,45
3141,45
3662,45
7319,44
6349,44
10932,44
11530,44
11713,44
9976,44
119,44
9935,44
11456,44
5481,44
11248,44
7449,44
4252,44
3831,44
10842,44
5080,43
4576,43
2898,43
9583,43
5276,43
826,43
7420,43
8831,43
11130,43
803,43
1236,43
6857,43
6755,43
9643,43
530,43
11492,43
3106,43
1809,43
93,43
6571,43
846,43
11526,42
10578,42
8100,42
5759,42
560,42
6590,42
450,42
3367,42
11935,42
10175,42
3418,42
1717,42
583,42
3752,42
9760,42
8274,41
5247,41
5868,41
4040,41
10629,41
5335,41
11448,41
7378,41
7208,41
1999,41
4089,41
10874,41
7361,41
7726,41
5695,41
9524,41
2099,41
6061,41
9124,41
11890,41
6316,41
11014,41
1528,40
12077,40
3974,40
9673,40
7645,40
1402,40
6996,40
2984,40
11773,40
1435,40
11485,40
2581,40
7986,40
10203,40
804,40
679,40
1611,40
6935,40
10067,40
9867,40
9957,40
11465,40
8366,39
8778,39
1094,39
2916,39
7547,39
6390,39
7295,39
4187,39
8176,39
5954,39
924,39
2044,39
3977,39
6179,39
3733,39
10575,39
1539,39
3486,39
2195,39
1379,39
9538,38
4141,38
3746,38
8376,38
1136,38
3105,38
8007,38
4156,38
4381,38
4362,38
10524,38
10467,38
1390,38
8214,38
644,38
1486,38
5609,38
1097,38
10990,38
718,38
11042,38
11591,38
9684,38
1226,38
4456,38
9220,37
6708,37
10838,37
588,37
8943,37
8695,37
4402,37
6933,37
9431,37
8800,37
8340,37
8533,37
6886,37
5776,37
6368,37
11819,37
7904,37
4336,37
11519,37
5546,37
3347,37
10820,36
8905,36
9606,36
8512,36
11168,36
9053,36
11490,36
4125,36
7918,36
7709,36
4589,36
6630,36
3293,36
693,36
702,36
10718,36
5599,36
2364,36
8744,36
7614,36
4210,36
7218,36
5435,36
7249,36
1502,36
11135,36
11992,35
2317,35
4539,35
6918,35
2571,35
11032,35
1595,35
1498,35
699,35
8516,35
10290,35
9114,35
11073,35
8486,35
9354,35
9532,35
2284,35
7464,35
3559,35
11498,35
4005,35
2397,35
10818,35
5245,35
7113,35
7456,35
6906,34
7915,34
4925,34
6725,34
2206,34
12186,34
11918,34
4350,34
2783,34
336,34
5907,34
5482,34
1648,34
5232,34
6052,34
10410,34
1559,34
5305,34
3584,33
6304,33
4114,33
6440,33
9154,33
4445,33
5192,33
4315,33
11393,33
10491,33
11714,33
2959,33
1926,33
12068,33
518,33
5434,33
8815,33
5112,33
1426,33
4453,33
8048,33
8642,33
5521,33
298,33
406,33
11772,33
8052,32
6694,32
9021,32
3901,32
3019,32
2722,32
3758,32
3705,32
1425,32
3913,32
9980,32
9752,32
3094,32
6683,32
545,32
4254,32
1280,32
3111,32
1195,32
11709,32
8701,32
9272,32
535,32
4332,32
4277,32
6665,32
5502,32
9478,32
11670,32
824,32
6025,32
6031,32
4500,32
8810,32
8551,31
10590,31
212,31
5860,31
3833,31
11545,31
11478,31
4935,31
10969,31
11932,31
1606,31
902,31
8064,31
5321,31
6251,31
4039,31
3277,31
7857,31
10787,31
5579,31
1175,31
11653,31
10642,31
8067,31
6170,31
2273,31
10775,31
3600,31
8956,31
3709,31
5808,31
944,31
5836,31
5343,31
5018,31
11095,31
582,30
4505,30
3783,30
5165,30
1433,30
8004,30
695,30
3743,30
5303,30
8009,30
1413,30
9525,30
5308,30
4240,30
7742,30
7938,30
5476,30
4938,30
9234,30
1015,30
10857,30
10636,30
3720,30
11975,30
6992,30
8537,30
8969,30
6740,30
3307,30
2542,30
1166,30
2920,30
11886,30
10614,30
5377,30
8188,30
8688,30
3738,29
5973,29
12113,29
10085,29
12035,29
8388,29
6159,29
3926,29
1849,29
8403,29
8078,29
4545,29
4907,29
11233,29
2213,29
8499,29
5577,29
9080,29
3648,29
5568,29
10560,29
10702,29
10558,29
1386,29
6709,29
6659,29
10032,29
4176,29
8297,29
6180,29
3590,29
6329,29
10132,29
3934,29
6203,28
11991,28
7254,28
4239,28
11579,28
6446,28
1930,28
5126,28
10221,28
11064,28
10800,28
4320,28
11094,28
1996,28
1787,28
10571,28
101,28
10830,28
11469,28
12001,28
4978,28
8395,28
60,28
7811,28
1393,28
4434,28
1387,28
7367,28
2490,28
3567,28
9514,28
3677,28
3882,28
5643,28
2019,28
11954,28
1006,28
3987,28
11529,28
9241,28
2712,28
952,28
4547,28
6662,28
9462,27
6585,27
4674,27
11017,27
11265,27
10384,27
3683,27
11704,27
5693,27
8474,27
4455,27
221,27
8042,27
8693,27
2519,27
3526,27
6036,27
2289,27
7127,27
11427,27
9119,27
10052,27
4949,27
8959,27
7954,27
9039,27
8265,27
1773,27
9074,27
547,27
4778,27
12106,27
4948,27
2334,27
10538,27
6276,27
10406,27
3615,26
4685,26
11405,26
12206,26
11477,26
9686,26
6455,26
7157,26
6693,26
5038,26
1062,26
8770,26
5668,26
1102,26
5883,26
7382,26
11891,26
8833,26
3706,26
621,26
4097,26
11390,26
1626,26
10920,26
10779,26
4951,26
10776,26
11816,26
2402,26
6033,26
10613,26
8195,26
9225,26
659,26
8259,26
5709,26
8330,26
11599,26
1365,26
1544,25
11493,25
2137,25
10143,25
9001,25
8305,25
10040,25
4736,25
755,25
2633,25
9295,25
3541,25
290,25
3051,25
542,25
5737,25
11573,25
4321,25
3915,25
735,25
680,25
29,25
10211,25
1434,25
10081,25
319,25
1514,25
10184,25
7599,25
748,25
6339,25
5784,25
1572,25
10298,25
6572,25
541,25
9193,25
4238,25
11302,25
4284,25
11994,25
12167,25
6461,25
5374,25
2741,25
11638,25
10527,25
9052,25
11533,25
5827,25
2552,25
10586,25
5418,25
1540,25
7394,25
5786,24
437,24
3175,24
3931,24
446,24
5913,24
6449,24
10219,24
6831,24
1173,24
9657,24
2744,24
6640,24
7760,24
1573,24
732,24
8080,24
8423,24
2406,24
3228,24
331,24
2492,24
9452,24
6129,24
6748,24
10475,24
8939,24
3702,24
3158,24
11629,24
4444,24
11986,24
1022,24
3114,24
6595,24
10400,24
6827,24
11943,24
2131,24
8028,24
5279,24
2774,24
829,24
2387,24
5818,24
4592,24
8484,23
844,23
2940,23
12076,23
823,23
10529,23
11021,23
5463,23
6019,23
3885,23
1821,23
3608,23
10416,23
5971,23
4737,23
350,23
8063,23
4605,23
6520,23
1958,23
1438,23
8231,23
5398,23
12229,23
9106,23
10803,23
10894,23
8521,23
3696,22
9825,22
9125,22
6257,22
7664,22
6949,22
1807,22
12187,22
57,22
11494,22
75,22
8182,22
6773,22
865,22
1894,22
10161,22
5220,22
9637,22
2768,22
8654,22
5366,22
7072,22
3343,22
788,22
7228,22
5407,22
1127,22
9503,22
6672,22
2577,22
4529,22
8786,22
6606,22
5645,22
4234,22
9936,22
2953,22
6012,22
4385,22
10615,22
10851,22
4110,22
9732,22
3463,22
6047,22
9939,22
9508,22
66,22
7643,22
5573,22
7587,22
5903,22
4627,22
9030,22
10580,21
7058,21
7559,21
2169,21
756,21
4563,21
10941,21
3930,21
645,21
9985,21
4943,21
12041,21
8796,21
664,21
2922,21
6435,21
2758,21
9102,21
5700,21
6741,21
895,21
6094,21
5592,21
10545,21
2105,21
4100,21
8794,21
7985,21
12016,21
4534,21
8254,21
8276,21
6211,21
7312,21
4088,21
4789,21
1196,21
323,21
3916,21
6318,21
6685,21
910,21
3,21
3808,21
5537,21
10848,21
3877,21
4201,21
11473,21
3203,21
3900,21
8581,21
3437,21
10880,21
110,21
3853,21
10948,21
1415,21
10567,21
2575,21
1758,21
5584,21
9730,21
10263,21
610,21
4579,21
4550,21
3317,21
10199,21
9276,21
10528,21
10925,21
5004,21
1718,21
3744,20
7232,20
11124,20
1977,20
94,20
11552,20
8675,20
4939,20
11099,20
2845,20
10476,20
475,20
5204,20
10570,20
11335,20
8641,20
7362,20
7055,20
5442,20
4148,20
7658,20
7114,20
11345,20
8687,20
5591,20
9355,20
739,20
11086,20
10448,20
6976,20
1763,20
12121,20
9479,20
9489,20
8404,20
6756,20
7336,20
217,20
1017,20
5738,20
11107,20
7959,20
4502,20
11404,20
4235,20
8733,20
9081,20
3658,20
5741,20
8291,20
3498,20
5821,20
11406,20
388,20
1804,20
3678,20
2444,20
6209,20
11696,20
11416,20
11285,20
1032,20
11515,20
3849,20
5456,20
1499,20
5735,20
3937,20
6166,20
8995,20
11633,20
2591,20
11979,19
11500,19
6111,19
745,19
3214,19
11606,19
11822,19
12045,19
694,19
5379,19
4017,19
11189,19
1243,19
6016,19
5041,19
9450,19
4030,19
9582,19
7533,19
3465,19
10668,19
7647,19
7710,19
3100,19
993,19
9054,19
9254,19
11517,19
7689,19
5483,19
7470,19
5132,19
5057,19
10663,19
3381,19
2728,19
1028,19
12118,19
581,19
12140,19
10026,19
5487,19
5627,19
5439,19
3676,19
10982,19
10250,19
10547,19
324,19
1453,19
1579,19
2417,19
3315,19
9192,19
7077,19
4682,19
4728,19
5425,19
7452,19
11314,19
4746,19
2179,19
9069,19
6800,19
7320,19
5372,19
8352,19
5720,19
10961,19
479,18
4610,18
11558,18
12142,18
7230,18
711,18
3292,18
4973,18
11726,18
8245,18
9461,18
1909,18
2912,18
8285,18
3380,18
2699,18
5342,18
7809,18
9432,18
9975,18
9141,18
10870,18
11628,18
2194,18
8759,18
5558,18
2489,18
7132,18
1742,18
3362,18
8272,18
7240,18
6914,18
5629,18
11479,18
7049,18
7672,18
4699,18
5278,18
3415,18
11289,18
11811,18
5201,18
3861,18
3516,18
3173,18
25,18
12096,18
7756,18
11534,18
2240,18
10407,18
10003,18
6521,18
9066,18
313,18
4011,18
11898,18
6372,18
3999,18
9429,18
5534,18
9169,18
8420,18
10797,18
11561,18
11127,18
12085,18
1262,18
3848,18
12011,18
8949,18
10970,18
8273,18
698,17
7745,17
1010,17
10087,17
3416,17
10839,17
6139,17
5450,17
10612,17
7653,17
3283,17
950,17
7226,17
3451,17
3306,17
5519,17
2949,17
10836,17
3378,17
5156,17
1232,17
9346,17
9325,17
10721,17
7198,17
5670,17
3953,17
10585,17
627,17
9202,17
3287,17
12074,17
7802,17
837,17
9927,17
4185,17
4143,17
3150,17
4772,17
10566,17
1832,17
9856,17
6370,17
6816,17
5692,17
12102,17
8091,17
7438,17
9075,17
7717,17
8729,17
5448,17
10897,17
7300,17
6026,17
4771,17
8508,17
1439,17
10910,17
4435,17
63,17
849,17
10930,17
4580,17
2556,17
3043,17
9987,17
4998,17
2675,17
6108,17
5231,17
2269,17
3838,17
5010,17
7572,17
3727,17
11384,17
11347,17
12114,17
614,16
2902,16
7020,16
8818,16
2435,16
2872,16
1278,16
1567,16
1975,16
5966,16
6545,16
9382,16
11741,16
8355,16
6267,16
11383,16
11809,16
482,16
2613,16
5020,16
7949,16
11488,16
8367,16
12082,16
4171,16
11063,16
9239,16
4166,16
5656,16
4113,16
9310,16
8232,16
3864,16
6678,16
11472,16
9285,16
10546,16
7875,16
959,16
10192,16
2181,16
11303,16
3364,16
11973,16
4581,16
10616,16
2894,16
2700,16
1049,16
3756,16
6266,16
2468,16
5337,16
2558,16
9832,16
432,16
8379,16
4068,16
11567,16
4256,16
9380,16
5781,16
9368,16
2126,16
11521,16
4390,16
5289,16
3369,16
1401,16
2790,16
11735,16
4368,16
6222,16
374,16
4217,16
3745,16
4074,16
3578,15
9358,15
8095,15
6874,15
6200,15
1966,15
7833,15
1509,15
342,15
5795,15
9742,15
2462,15
7237,15
9565,15
7701,15
9318,15
2573,15
5454,15
2706,15
2382,15
860,15
2567,15
10856,15
11365,15
9954,15
10066,15
800,15
1664,15
1855,15
1083,15
2329,15
11010,15
4918,15
5318,15
2110,15
12092,15
9446,15
61,15
2816,15
668,15
4296,15
5959,15
4983,15
4831,15
5751,15
10594,15
11989,15
9798,15
4932,15
5258,15
6682,15
12197,15
8339,15
3671,15
7725,15
4259,15
9230,15
3951,15
3274,15
747,15
4222,15
9624,15
1840,15
2434,15
10496,15
3862,15
11163,15
8927,15
8320,15
10172,15
3286,15
276,15
1770,15
3835,14
39,14
10399,14
79,14
4671,14
4809,14
1251,14
3797,14
11872,14
1397,14
4283,14
8047,14
3786,14
10140,14
4865,14
539,14
8784,14
9852,14
4339,14
10391,14
9710,14
12072,14
1340,14
10385,14
931,14
3988,14
10573,14
12101,14
1139,14
1905,14
7221,14
8302,14
5551,14
4035,14
9221,14
10004,14
10609,14
8353,14
10850,14
10113,14
9415,14
9045,14
9729,14
5510,14
6530,14
1949,14
8520,14
11354,14
8539,14
8694,14
8862,14
2849,14
5588,14
11843,14
11990,14
8446,14
2004,14
4636,14
12071,14
11793,14
7740,14
11536,14
5147,14
6165,14
4718,14
9858,14
6010,14
9589,14
7393,14
7576,14
8767,14
9237,14
7112,14
7751,14
1970,14
4269,14
10361,14
5499,14
10352,14
5900,14
9364,14
6939,14
10223,14
7818,14
10927,14
10553,14
7746,14
8031,14
4484,14
1504,14
2684,14
725,14
2359,14
9320,14
12078,14
5766,14
8798,14
7380,14
11559,14
1833,14
1802,14
1447,14
6531,14
8464,14
10889,14
1140,14
4968,13
4493,13
11888,13
2171,13
4384,13
6723,13
2833,13
1430,13
7407,13
7571,13
951,13
6829,13
5743,13
2104,13
3840,13
2461,13
8842,13
5633,13
11981,13
5099,13
5532,13
10335,13
10030,13
1631,13
11499,13
6868,13
5121,13
7014,13
2082,13
7018,13
8852,13
7820,13
12056,13
3527,13
11627,13
9060,13
4379,13
4626,13
3583,13
10788,13
5506,13
9153,13
2775,13
2677,13
11631,13
8866,13
2275,13
2074,13
7773,13
5562,13
5763,13
8456,13
2446,13
5525,13
9594,13
9744,13
5183,13
3473,13
58,13
12166,13
5494,13
4241,13
11212,13
1475,13
5797,13
11496,13
635,13
2318,13
4480,13
4459,13
9449,13
9892,13
1256,13
2975,13
9746,13
11489,13
2068,13
2163,13
1233,13
2557,13
5951,13
8298,13
6836,13
6536,13
4372,13
2553,13
10126,13
782,13
2389,13
3693,13
2352,13
11509,13
8819,13
2619,13
3474,13
3925,13
3970,13
1222,13
7967,13
8870,13
2929,13
5832,13
3490,13
2695,13
8415,13
2013,13
10031,13
8083,13
6314,13
5544,13
5375,13
5704,13
8317,13
3099,13
9445,13
2585,13
5703,13
2393,13
11447,13
5980,13
4986,13
4777,13
1954,13
12091,13
9696,13
3747,12
4646,12
8257,12
3580,12
1159,12
