director_id,n
8243,157
756,154
8300,119
5906,111
4795,109
11071,107
14475,101
6266,101
7646,95
1094,75
4592,73
4341,68
879,65
7238,64
3565,63
150,62
1533,61
4255,59
7894,57
99,56
1841,55
3122,53
8762,52
807,52
1154,51
660,49
2096,49
9068,48
186,47
3574,47
1736,47
4365,47
7958,46
12163,45
7271,45
682,45
3034,45
14519,44
5223,44
11658,43
461,42
2364,42
723,42
402,42
4359,42
2534,41
6530,41
2943,41
1491,40
14200,40
3256,39
398,39
5495,39
8747,39
3642,39
3957,38
2048,37
851,37
7045,37
2737,37
9593,37
15123,36
1300,36
2590,35
420,35
1037,35
1245,35
78,35
3548,35
1140,35
2006,35
306,35
2001,35
291,34
1457,34
7492,34
1168,34
1063,34
880,34
6529,34
3779,34
14408,34
911,34
733,33
399,33
10123,33
988,33
5811,33
1619,33
1474,33
4446,33
856,33
6131,33
515,33
727,32
304,32
1982,32
4498,32
1238,32
10928,32
1524,32
876,31
40,31
15081,31
14315,31
11225,31
7078,31
16044,31
8334,31
438,31
2240,30
1378,30
426,30
3520,30
6510,30
8409,30
8730,30
1429,30
10495,30
5700,30
2659,30
9851,29
6882,29
7387,29
9225,29
1399,29
3332,29
812,29
6537,29
3210,29
1776,29
2555,29
3273,29
1045,29
2576,29
466,29
12375,29
885,28
3491,28
2708,28
2693,28
913,28
585,28
5605,28
238,28
243,28
1054,28
11520,28
1083,28
8427,28
3707,28
7951,28
2107,27
891,27
8609,27
232,27
2275,27
5935,27
3141,27
1964,27
11529,27
2125,27
1967,27
5053,27
1244,27
4386,26
9906,26
3961,26
9489,26
760,26
5800,26
5146,26
3227,26
4366,26
13816,26
6391,26
6135,26
3398,26
1035,26
539,26
221,25
2112,25
703,25
4578,25
349,25
2400,25
2426,25
4663,25
1144,25
722,25
11213,25
633,25
2955,25
479,25
5486,25
1922,25
4053,25
121,25
3983,24
582,24
598,24
1093,24
4850,24
1522,24
934,24
1402,24
1412,24
13766,24
865,24
2710,24
1058,24
9550,24
9565,24
7976,24
4986,24
6470,24
2297,24
8757,24
1764,24
5056,24
3761,24
158,23
360,23
6016,23
5427,23
4549,23
14669,23
5568,23
14323,23
10410,23
4511,23
625,23
2952,23
7938,23
3011,23
948,23
971,23
172,22
4907,22
566,22
210,22
1862,22
2863,22
838,22
1762,22
152,22
2319,22
1686,22
307,22
13,22
301,22
253,22
294,22
5979,22
1593,22
17792,22
470,22
1556,22
21894,22
1028,22
531,22
2299,21
528,21
2313,21
5543,21
1283,21
7121,21
1025,21
1743,21
5557,21
163,21
3789,21
353,21
2041,21
2547,21
2660,21
5247,21
25118,21
3752,21
141,21
2402,21
376,21
2645,21
2833,21
10140,21
424,21
457,21
2014,21
2095,21
1428,21
239,21
4484,20
2136,20
6477,20
3575,20
226,20
8967,20
8105,20
9274,20
3166,20
815,20
1160,20
124,20
10001,20
7895,20
6650,20
3759,20
2476,20
615,20
5180,20
13838,20
7005,20
4881,20
925,20
7250,20
8424,20
7631,20
5398,20
6689,20
5799,20
5248,20
1324,20
3108,20
2177,20
961,20
6438,20
10267,20
5225,20
1141,20
3563,19
834,19
125,19
1919,19
3400,19
9937,19
9773,19
746,19
684,19
411,19
498,19
17025,19
3330,19
2388,19
712,19
663,19
688,19
969,19
5174,19
11745,19
15139,19
6427,19
2298,19
6985,19
9298,19
4470,19
12164,19
6476,19
79,19
8000,19
10,19
6804,19
6116,19
949,19
333,19
690,19
5108,19
1397,19
2468,19
1494,19
3238,19
1970,19
3025,19
1351,19
1536,19
4237,19
1026,19
209,18
2004,18
696,18
10199,18
7516,18
2890,18
5934,18
1796,18
1618,18
4153,18
1151,18
4110,18
2611,18
