location,n
717,2300
2355,1311
558,885
95,780
2092,748
2106,640
500,620
2425,598
615,575
464,525
1,505
1058,481
620,446
2273,442
3031,396
2050,385
1958,374
1282,371
805,366
75,362
1384,358
4,358
466,355
2481,337
2146,328
2155,322
10,321
2460,317
1585,315
32,306
2820,299
2541,293
1946,280
2110,274
2132,273
1677,252
31,243
935,236
362,236
2504,230
879,230
1901,224
1767,222
2350,221
1672,218
863,216
2358,216
146,215
2214,214
2491,212
2005,210
2102,210
1832,209
1755,209
46,206
2134,205
1453,204
630,200
2233,200
1626,199
1789,198
1184,198
1413,194
1723,194
2431,191
1521,190
2271,189
2563,188
976,184
2171,178
1694,176
1044,175
2044,175
144,173
3005,172
736,172
2434,170
2877,170
120,170
2111,164
580,163
2486,162
9,161
313,160
1053,157
2238,155
1333,153
33,153
846,153
530,152
2429,151
1894,151
2278,150
3061,149
894,147
1879,144
624,143
1934,143
2024,142
1896,142
2009,141
2360,141
1455,139
2540,138
533,137
1859,136
2821,135
2206,135
38,133
2403,130
1674,129
2545,129
1856,128
2546,128
1689,127
1975,127
1915,127
2311,127
2349,125
89,124
1392,124
649,120
1038,118
1931,118
2272,117
1949,115
654,113
1930,113
61,113
193,113
5,112
37,111
815,111
1021,109
2097,108
2083,107
2099,106
1625,105
3040,105
2879,104
2899,104
2217,103
1721,102
2399,102
2153,100
2553,100
2020,100
1175,99
1609,99
2381,99
2192,99
1963,98
2327,97
1929,96
2419,96
2777,95
794,94
1536,94
1364,94
2199,94
18,93
1045,93
160,91
1060,91
2039,90
1937,90
170,88
775,87
2670,86
2543,86
50,86
2138,86
480,85
2523,85
666,84
3,84
2845,83
2380,82
1491,82
1645,82
1736,81
862,80
28,79
1826,79
2268,79
2840,79
1664,78
24,77
1211,77
1062,77
2014,76
2344,76
2090,76
2432,76
2077,76
78,75
2309,74
2476,74
792,73
489,73
2239,73
642,73
2100,72
2474,72
1325,71
647,71
174,71
2133,70
2383,70
2178,70
2,69
1837,69
823,69
100,69
348,69
1969,68
2124,68
2576,68
2080,68
594,67
153,66
72,66
2662,66
1353,66
3037,66
2213,65
887,65
376,65
2038,65
2285,64
2534,64
845,64
383,64
1745,64
429,63
1889,63
1751,63
1354,63
1289,62
216,62
1673,61
1836,61
1796,61
2477,61
30,60
1589,60
2570,60
65,60
870,60
2614,59
2277,59
140,59
2002,59
2332,58
2806,58
1853,57
2413,57
1026,57
2339,56
949,56
1687,56
2590,56
52,55
1778,55
84,55
2242,55
2402,55
2174,54
1499,54
2530,53
1555,53
1631,53
2748,53
1517,53
3039,53
1895,53
465,52
2430,52
423,52
901,52
1233,52
2104,51
2348,51
1883,51
64,50
2232,50
926,50
287,49
1089,49
1264,49
576,49
2993,49
2526,49
2561,49
1480,48
2382,48
2829,48
2126,48
2135,48
991,48
2313,47
1989,47
543,47
560,47
2362,47
551,46
2856,46
697,45
2967,45
2393,45
833,45
532,44
1240,44
1793,44
1935,44
476,44
979,44
1731,43
21,43
699,43
136,43
966,43
47,43
2165,43
2503,43
2511,43
2202,43
159,43
1535,42
2638,42
1121,42
2493,42
1663,42
762,42
2582,42
133,42
148,42
129,42
35,41
2452,41
175,41
398,41
2706,41
2059,41
1985,41
1705,41
2060,41
1637,41
2209,41
1152,41
834,41
173,40
404,40
2282,40
2107,40
2746,40
2618,40
1130,39
105,39
2414,39
2439,39
1602,39
1733,39
1967,39
406,39
746,39
421,39
2485,38
2457,38
2379,38
1668,38
1854,38
1125,38
2320,38
11,38
1000,37
900,37
2204,37
2415,37
715,36
2281,36
1029,36
803,36
1988,36
2941,36
2307,36
1936,36
659,36
2585,36
386,35
2032,35
1886,35
2013,35
2466,35
2215,35
2412,34
1924,34
2750,34
2056,34
2433,34
977,34
3107,34
17,34
2197,33
907,33
2685,33
810,33
2994,33
2130,33
1127,33
1824,32
1968,32
578,32
668,32
943,32
2140,32
774,32
676,32
1232,32
237,32
1743,32
1759,32
2912,32
334,32
1018,32
397,31
1812,31
183,31
2028,31
768,31
2740,31
957,31
1864,31
904,31
671,30
953,30
2280,30
1761,30
1603,30
2062,30
501,30
2007,30
2105,30
2240,30
2255,30
1520,30
2131,30
111,30
652,30
2423,30
80,29
1574,29
1725,29
2613,29
2256,29
1714,29
2626,29
2878,29
1202,29
2167,29
830,29
27,29
3084,29
2208,29
934,29
785,29
2473,28
2257,28
2283,28
2714,28
330,28
1893,28
2175,28
988,28
623,28
2260,28
2597,28
1098,28
1160,28
2292,28
161,28
968,28
405,28
0,28
2359,28
1825,28
281,27
434,27
962,27
55,27
1032,27
735,27
947,27
1939,27
2805,27
814,27
897,27
896,26
329,26
1773,26
2647,26
701,26
603,26
2456,26
867,26
1591,26
960,26
1575,26
382,26
2081,26
2651,26
893,26
2334,25
855,25
2354,25
3045,25
930,25
118,25
176,25
2666,25
2757,25
1708,25
2338,25
2445,25
1881,25
199,25
508,25
2514,25
571,25
1035,25
2584,25
2981,24
2149,24
2934,24
2319,24
2336,24
90,24
263,24
2127,24
2667,24
1860,24
2960,24
2001,24
2701,24
422,24
20,24
2470,24
644,23
1868,23
2453,23
1227,23
1872,23
2684,23
79,23
2152,23
1297,23
706,23
2096,23
418,23
1277,23
2324,23
1414,23
2029,23
1405,23
2364,23
1928,23
2560,23
2876,22
3020,22
2564,22
1015,22
1270,22
1840,22
2484,22
1690,22
53,22
2294,22
892,22
225,22
1785,22
817,22
1113,22
2527,22
1079,22
440,22
562,22
2579,22
2483,22
1711,21
2774,21
2046,21
437,21
2417,21
1966,21
1395,21
1899,21
1002,21
2286,21
2400,21
1107,21
850,21
73,21
3062,21
1729,21
2363,21
122,21
1298,21
1948,21
1478,21
3065,21
2607,21
2754,21
771,21
1050,21
1550,20
1960,20
2653,20
2057,20
568,20
2176,20
704,20
565,20
2544,20
614,20
2609,20
559,20
577,20
2241,20
2416,20
77,20
873,20
2623,20
759,20
3006,20
2976,20
1788,20
1828,20
1627,20
2488,20
2789,20
168,20
1667,20
1945,19
1815,19
2799,19
2524,19
857,19
3000,19
2386,19
515,19
2610,19
1855,19
2275,19
549,19
1605,19
967,19
2621,19
2231,19
2711,19
468,19
1340,19
1565,19
2630,19
165,19
3075,19
1400,19
2671,19
2719,19
645,19
2137,19
1294,18
2248,18
569,18
687,18
2622,18
635,18
971,18
725,18
2536,18
709,18
2531,18
3059,18
2468,18
412,18
2756,18
889,18
2793,18
2605,18
1972,18
1016,18
1843,18
2343,18
660,18
433,18
783,18
920,18
1327,18
2261,18
798,18
472,18
1954,18
1613,18
1043,17
1467,17
1547,17
234,17
1078,17
2839,17
1926,17
260,17
1014,17
951,17
1231,17
984,17
1651,17
1037,17
1418,17
1462,17
2370,17
940,17
1571,17
2529,17
375,17
585,17
246,17
975,17
2588,17
741,17
1307,17
2773,17
1210,17
2775,17
1800,17
2085,17
2758,17
2843,17
151,17
2749,17
2872,17
2958,17
2169,16
2521,16
2699,16
790,16
1326,16
82,16
436,16
2520,16
3014,16
3015,16
85,16
634,16
903,16
2479,16
2267,16
2065,16
1197,16
871,16
96,16
2525,16
34,16
799,16
950,16
718,16
1697,16
1769,16
2776,16
1619,16
2971,16
1831,16
2437,16
1328,16
561,16
1772,15
2259,15
1257,15
2619,15
1942,15
1746,15
1792,15
2418,15
700,15
627,15
2887,15
2627,15
2538,15
2562,15
1601,15
1404,15
2196,15
8,15
719,15
49,15
2325,15
1047,15
1527,15
243,15
605,15
1054,15
432,15
748,15
1138,15
877,15
789,15
393,15
103,15
1798,15
936,15
1771,14
1782,14
1222,14
2436,14
1871,14
1569,14
1238,14
1424,14
323,14
2347,14
1013,14
2893,14
3024,14
1056,14
1005,14
262,14
267,14
1157,14
2306,14
125,14
567,14
1287,14
1539,14
3011,14
691,14
2158,14
244,14
2211,14
499,14
777,14
2205,14
573,14
2827,14
1132,14
425,14
2316,14
2753,14
3054,14
1833,14
781,14
2424,14
128,14
737,14
2769,14
1266,13
364,13
1516,13
2990,13
2587,13
1839,13
1243,13
2565,13
917,13
1063,13
2435,13
1760,13
908,13
419,13
890,13
616,13
880,13
581,13
2207,13
1118,13
2409,13
384,13
2616,13
2710,13
705,13
2495,13
2731,13
964,13
2291,13
2147,13
295,13
786,13
3067,13
106,13
1166,13
2352,13
1781,13
2848,13
1787,13
1940,13
1421,13
1561,13
2212,13
1170,13
843,13
294,13
925,13
2826,13
2177,13
1022,13
2612,13
2258,13
1272,12
2974,12
400,12
2318,12
2835,12
973,12
222,12
