epoch,experiment,loss,sig2b_est0,sig2b_est1,sig2b_est2,sig2b_est3,sig2b_est4,sig2b_grad0,sig2b_grad1,sig2b_grad2,sig2b_grad3,sig2b_grad4,sig2e_est,sig2e_grad,val_loss
0,0,210.71376037597656,1.1513232,1.2796267,1.3012825,1.3278326,1.3287541,-0.31980002,-2.322116,0.018100739,0.11479205,0.11479205,1.3618369,-4.0345855,177.25672912597656
1,0,181.03041076660156,1.1911354,1.4660633,1.5097017,1.5762064,1.5884409,-0.34519798,-1.6734229,0.08989954,0.09736857,0.09736857,1.4732563,6.2821274,170.11927795410156
2,0,175.0823516845703,1.1792861,1.6103227,1.680111,1.7898698,1.8186618,-0.35845518,-1.395719,0.10190815,0.08498597,0.08498597,1.476494,7.8505554,166.87181091308594
3,0,171.99810791015625,1.1448945,1.7211274,1.826509,1.9870676,2.0309758,-0.43219334,-1.2010962,0.10260975,0.07594317,0.07594317,1.4198723,7.97775,164.07156372070312
4,0,169.61985778808594,1.1004391,1.8092036,1.9605047,2.177687,2.236554,-0.5051758,-1.0830059,0.12796387,0.06643543,0.06643543,1.3472227,8.330885,163.19142150878906
5,0,167.93569946289062,1.0493771,1.8865789,2.0812495,2.355939,2.4348578,-0.6102236,-1.0142815,0.16896084,0.061242074,0.061242074,1.2893355,7.133113,162.511474609375
6,0,167.113525390625,1.0210117,1.9458951,2.1906455,2.5247607,2.6291864,-0.660847,-0.94511676,0.16840065,0.052576482,0.052576482,1.2684102,7.7921534,162.11068725585938
7,0,166.31297302246094,0.9959277,1.9899019,2.2829354,2.6880083,2.8138046,-0.6857273,-0.9249212,0.18340069,0.04780084,0.04780084,1.2449024,6.2536006,162.1770782470703
8,0,165.60739135742188,0.97002274,2.0260105,2.364491,2.8382971,2.9935138,-0.80677366,-0.8875814,0.18609887,0.04731226,0.04731226,1.2241471,5.20682,161.24520874023438
9,0,164.9813232421875,0.95732135,2.0422816,2.4315696,2.9767084,3.1673272,-0.7653285,-0.87176156,0.17979208,0.044383347,0.044383347,1.2055672,5.3882866,161.42538452148438
10,0,164.63177490234375,0.95173275,2.0560572,2.491295,3.1038032,3.3315156,-0.73232716,-0.85815936,0.17235821,0.042117774,0.042117774,1.2011892,6.118971,160.72366333007812
11,0,164.41065979003906,0.9478358,2.0660415,2.5415456,3.222518,3.4870658,-0.8035863,-0.84007853,0.18093705,0.043040454,0.043040454,1.1996723,5.3489103,160.87086486816406
12,0,163.92037963867188,0.94149953,2.0650213,2.583934,3.3224146,3.6267893,-0.7955041,-0.8604624,0.18374652,0.043413877,0.043413877,1.1903741,6.208239,160.75430297851562
13,0,163.57470703125,0.9365356,2.0713196,2.6144676,3.4172966,3.7621114,-0.8017697,-0.83780855,0.17825633,0.0409216,0.0409216,1.1818329,5.3767776,160.38302612304688
14,0,163.5523223876953,0.92775464,2.0664299,2.644564,3.5008736,3.8859322,-0.7991389,-0.8654003,0.18171299,0.03981793,0.03981793,1.1758118,4.365445,161.05892944335938
15,0,163.2085723876953,0.92340344,2.0663733,2.6665673,3.5767622,3.9983282,-0.8631675,-0.8479132,0.17869088,0.04175654,0.04175654,1.1729807,5.2547317,159.9497833251953
16,0,162.85157775878906,0.91587156,2.0611458,2.6832664,3.6428828,4.1023474,-0.90713525,-0.87313,0.18678051,0.040514797,0.040514797,1.1597987,5.747099,159.9385528564453
17,0,162.6925506591797,0.91707665,2.0571728,2.6943808,3.6994512,4.1966043,-0.89056504,-0.8755549,0.17643327,0.041780412,0.041780412,1.1560568,5.2837253,160.04617309570312
18,0,162.6256866455078,0.913754,2.0453606,2.7023747,3.74616,4.280122,-0.8615055,-0.8745767,0.17734426,0.03966838,0.03966838,1.1590805,6.074527,159.92025756835938
19,0,162.67185974121094,0.91605616,2.0444386,2.7041047,3.787748,4.352243,-0.88973176,-0.8884103,0.18087769,0.03986475,0.03986475,1.1564397,5.3497972,159.86233520507812
20,0,162.3097381591797,0.91009384,2.0433748,2.712934,3.8228967,4.4200664,-0.8798461,-0.855084,0.1759437,0.040059507,0.040059507,1.1444806,5.6144314,159.83811950683594
21,0,162.45950317382812,0.90249974,2.038416,2.7174027,3.8574698,4.4837656,-0.91546893,-0.8791606,0.17705181,0.040835917,0.040835917,1.1513789,5.869158,159.9366912841797
22,0,162.29330444335938,0.9011858,2.0349894,2.718571,3.8864257,4.5416393,-0.8740308,-0.8982793,0.17433935,0.039607823,0.039607823,1.1464947,4.2156086,160.33773803710938
23,0,162.09991455078125,0.9050474,2.0263393,2.7120929,3.9022853,4.5908823,-0.9288396,-0.89097524,0.1753731,0.04044926,0.04044926,1.14488,5.015623,159.89736938476562
24,0,162.0606231689453,0.90419155,2.0254583,2.7166753,3.9220924,4.6344957,-0.92186075,-0.90604436,0.1728338,0.038624257,0.038624257,1.145222,5.9039593,159.88861083984375
25,0,162.07888793945312,0.9069009,2.0205703,2.720227,3.9389513,4.6747255,-0.8564361,-0.95255166,0.18245745,0.039145768,0.039145768,1.1376017,5.225624,160.0616455078125
26,0,161.91656494140625,0.9053866,2.0187292,2.720416,3.9526742,4.7081747,-0.9087865,-0.9312659,0.17468211,0.03962469,0.03962469,1.1336402,4.722328,159.8563232421875
27,0,161.8507080078125,0.9064846,2.0139596,2.7169,3.9629493,4.7406106,-0.9375824,-0.9144899,0.18220615,0.04061076,0.04061076,1.1349213,3.9806895,159.92889404296875
28,0,162.0227508544922,0.90609324,2.012199,2.7147908,3.974577,4.767123,-0.89670104,-0.9158903,0.17925614,0.039814472,0.039814472,1.1431694,4.516057,159.72723388671875
29,0,161.79861450195312,0.9006264,2.0086148,2.717416,3.9840472,4.7882757,-1.0193865,-0.881791,0.17801303,0.040709376,0.040709376,1.1336013,3.3508174,159.44676208496094
30,0,161.83248901367188,0.9051674,2.0049322,2.716026,3.9891057,4.809148,-0.8649462,-0.93514276,0.1787855,0.040201724,0.040201724,1.1382776,5.2428308,160.2376251220703
31,0,161.916259765625,0.9077562,2.006595,2.7166808,3.990926,4.82889,-0.8306191,-0.91488665,0.17156845,0.039313316,0.039313316,1.1407015,6.511602,160.3030242919922
32,0,161.57952880859375,0.9047861,2.00709,2.714966,3.9956038,4.846508,-0.9392696,-0.93439317,0.1814512,0.039690614,0.039690614,1.1297098,4.42799,159.90614318847656
