,mode,N,sig2e,sig2b0_spatial,sig2b1_spatial,q_spatial,experiment,exp_type,mse,sig2e_est,sig2b_spatial_est0,sig2b_spatial_est1,n_epochs,time
1,spatial,5000,1,1,1,1000,0,ohe,3.540458432,,,,50,6.692534447
2,spatial,5000,1,1,1,1000,0,ignore,3.974015952,,,,50,1.930029869
3,spatial,5000,1,1,1,1000,0,embed,3.751786954,,,,50,2.259680033
4,spatial,5000,1,1,1,1000,0,lmm,2.078064645,1.145220995,1.118810654,0.842003345,50,10.46133947
5,spatial,5000,1,1,1,1000,0,svdkl,4.504122606,0.693247199,0.614937663,0.821873665,50,8.312250614
6,spatial,5000,1,1,1,1000,0,cnn,4.844156659,,,,50,42.78312993
7,spatial,5000,1,1,1,1000,1,ohe,3.110221128,,,,50,4.296312094
8,spatial,5000,1,1,1,1000,1,ignore,3.696628761,,,,50,1.974722862
9,spatial,5000,1,1,1,1000,1,embed,3.216141654,,,,50,2.282408476
10,spatial,5000,1,1,1,1000,1,lmm,1.700036743,1.147069216,1.13764739,0.88527596,50,9.368271589
11,spatial,5000,1,1,1,1000,1,svdkl,4.182118593,0.693247199,0.615679979,0.823231578,50,6.964155436
12,spatial,5000,1,1,1,1000,1,cnn,4.520790296,,,,50,38.80610275
13,spatial,5000,1,1,1,1000,2,ohe,3.264530437,,,,50,4.404037237
14,spatial,5000,1,1,1,1000,2,ignore,3.674291208,,,,50,1.969316244
15,spatial,5000,1,1,1,1000,2,embed,3.345760543,,,,50,2.310348034
16,spatial,5000,1,1,1,1000,2,lmm,1.63725109,1.144295931,1.135082841,0.86915797,50,9.423377275
17,spatial,5000,1,1,1,1000,2,svdkl,4.423948176,0.693247199,0.615255237,0.824890614,50,7.032968044
18,spatial,5000,1,1,1,1000,2,cnn,4.816389607,,,,50,39.02422523
19,spatial,5000,1,1,1,1000,3,ohe,3.043551899,,,,50,4.331567764
20,spatial,5000,1,1,1,1000,3,ignore,3.799513375,,,,50,2.010201693
21,spatial,5000,1,1,1,1000,3,embed,3.270883428,,,,50,2.325479269
22,spatial,5000,1,1,1,1000,3,lmm,2.013186029,1.151204944,1.137026072,0.861005247,50,9.399102211
23,spatial,5000,1,1,1,1000,3,svdkl,4.459223797,0.693247199,0.614994586,0.822541416,50,7.091199875
24,spatial,5000,1,1,1,1000,3,cnn,4.838407922,,,,50,39.00844765
25,spatial,5000,1,1,1,1000,4,ohe,3.265463917,,,,50,4.350873947
26,spatial,5000,1,1,1,1000,4,ignore,3.924047048,,,,50,1.983738661
27,spatial,5000,1,1,1,1000,4,embed,3.505663384,,,,50,2.293343544
28,spatial,5000,1,1,1,1000,4,lmm,2.207788406,1.147086143,1.126683593,0.867294312,50,9.436471462
29,spatial,5000,1,1,1,1000,4,svdkl,4.312723519,0.693247199,0.615003586,0.822738945,50,7.007922173
30,spatial,5000,1,1,1,1000,4,cnn,4.760056139,,,,50,39.07661915
31,spatial,10000,1,1,1,1000,0,ohe,2.455130069,,,,50,5.544338703
32,spatial,10000,1,1,1,1000,0,ignore,3.58508449,,,,50,2.556363344
33,spatial,10000,1,1,1,1000,0,embed,2.944390611,,,,50,3.030657768
34,spatial,10000,1,1,1,1000,0,lmm,1.46343036,1.22140944,0.976396322,0.876699805,50,21.07565641
35,spatial,10000,1,1,1,1000,0,svdkl,4.22334799,0.693247199,0.570624232,0.927079201,50,13.848665
36,spatial,10000,1,1,1,1000,0,cnn,4.389533251,,,,50,76.30036163
