,mode,N,sig2e,sig2b0_spatial,sig2b1_spatial,q_spatial,experiment,exp_type,mse,sig2e_est,sig2b_spatial_est0,sig2b_spatial_est1,n_epochs,time
1,spatial,100000,1,1,1,100,0,ohe,1.218266118,,,,50,12.98036432
2,spatial,100000,1,1,1,100,0,ignore,1.405670045,,,,50,9.327378988
3,spatial,100000,1,1,1,100,0,embed,1.307415348,,,,50,12.3579905
4,spatial,100000,1,1,1,100,0,lmm,1.08074067,1.164142847,1.548803687,1.481606841,50,123.2297077
5,spatial,100000,1,1,1,100,0,svdkl,4.759765611,0.693247199,0.551303506,0.673818946,50,125.6535702
6,spatial,100000,1,1,1,100,0,cnn,4.743016262,,,,50,723.0294385
7,spatial,100000,1,1,1,100,1,ohe,1.255449971,,,,50,10.55749035
8,spatial,100000,1,1,1,100,1,ignore,1.344323352,,,,50,9.338690519
9,spatial,100000,1,1,1,100,1,embed,1.304526637,,,,50,12.10112739
10,spatial,100000,1,1,1,100,1,lmm,1.11123524,1.17931664,1.093421221,0.961705983,50,121.4053726
11,spatial,100000,1,1,1,100,1,svdkl,4.42788358,0.693247199,0.491512954,0.664267302,50,127.0628216
12,spatial,100000,1,1,1,100,1,cnn,4.415172892,,,,50,718.7413378
13,spatial,100000,1,1,1,100,2,ohe,1.198856293,,,,50,10.5988822
14,spatial,100000,1,1,1,100,2,ignore,1.578300012,,,,50,10.09166622
15,spatial,100000,1,1,1,100,2,embed,1.221698335,,,,50,11.94586682
16,spatial,100000,1,1,1,100,2,lmm,1.079483677,1.167849183,0.859320819,1.627290249,50,122.4261196
17,spatial,100000,1,1,1,100,2,svdkl,4.226030119,0.693247199,0.536532104,0.706374884,50,126.8862491
18,spatial,100000,1,1,1,100,2,cnn,4.233500409,,,,50,718.8138323
19,spatial,100000,1,1,1,100,3,ohe,1.2188803,,,,50,10.40716457
20,spatial,100000,1,1,1,100,3,ignore,1.726780667,,,,50,9.190202475
21,spatial,100000,1,1,1,100,3,embed,1.258255101,,,,50,11.83651066
22,spatial,100000,1,1,1,100,3,lmm,1.097224929,1.167159557,0.786730886,1.254412055,50,122.0809858
23,spatial,100000,1,1,1,100,3,svdkl,4.268083716,0.693247199,0.545355022,0.774136782,50,126.6783071
24,spatial,100000,1,1,1,100,3,cnn,4.247927393,,,,50,717.9004502
25,spatial,100000,1,1,1,100,4,ohe,1.263587798,,,,50,10.37559533
26,spatial,100000,1,1,1,100,4,ignore,1.628866758,,,,50,9.237482071
27,spatial,100000,1,1,1,100,4,embed,1.214298923,,,,50,12.01558208
28,spatial,100000,1,1,1,100,4,lmm,1.115285099,1.141406059,1.173450112,1.256191254,50,121.061002
29,spatial,100000,1,1,1,100,4,svdkl,4.751643733,0.693247199,0.565464854,0.7573542,50,126.7148383
