epoch,experiment,loss,sig2b_est0,sig2b_est1,sig2b_est2,sig2b_est3,sig2b_est4,sig2b_grad0,sig2b_grad1,sig2b_grad2,sig2b_grad3,sig2b_grad4,sig2e_est,sig2e_grad,val_loss
0,1,615.2026978,2.2669306,2.3720605,2.4713163,2.5375326,2.6662276,-3.9182065,-2.9175735,-5.1731677,-4.6800466,-9.522878,1.5334508,-2.5780103,163.2455597
1,1,114.3600159,3.0729938,3.2909696,3.5009196,3.6233134,3.788121,-0.68501896,-0.5765989,-1.1849456,-1.0515049,-2.156183,1.6397076,-0.19275454,86.48925781
2,1,75.18157959,3.8616424,4.2537165,4.642931,4.828415,5.079564,0.09603053,-0.1796357,-0.3127792,-0.2853391,-0.65750563,1.6490092,0.11497655,68.1378479
3,1,64.37173462,4.323902,5.1351695,5.88136,6.168051,6.631354,0.14761807,0.11182381,0.005499929,-0.03547334,-0.08189203,1.2640133,0.5952598,61.83264542
4,1,59.74542236,4.385854,5.709596,7.0579476,7.4752812,8.4602785,0.10825043,0.03473796,-0.04123026,-0.037742227,-0.01144585,0.5243061,0.59878093,58.38200378
5,1,57.26254654,4.28968,5.8325434,7.693863,8.269591,9.8457365,0.09350616,-0.007825121,-0.00267601,0.010617494,0.03197527,0.39742845,0.5049172,56.71733856
6,1,55.88719177,4.1285577,5.808235,7.962329,8.58612,10.598247,0.06616849,0.010770075,0.016210556,0.011647612,0.03320396,0.3791019,0.5048822,55.67710495
7,1,54.98989868,3.9712744,5.6933923,7.9947896,8.668604,11.020536,0.12124205,0.03264934,0.023976803,0.029576361,0.055262923,0.383156,0.7394556,54.8800621
8,1,54.29796982,3.7995822,5.522454,7.8204126,8.63116,11.0908,0.046283543,0.053637445,0.031217813,0.04543087,0.014249086,0.3231699,0.4418173,54.14828491
9,1,53.90763474,3.7112648,5.327459,7.7266364,8.437938,11.033676,0.0990119,0.08664635,0.08735219,0.08502715,0.06441775,0.29676867,1.1331834,54.09654236
10,1,53.4835434,3.5330365,5.120257,7.457928,8.217485,10.772344,0.1343224,0.097334325,0.105802834,0.049842253,0.069857955,0.3597918,0.8765217,53.81826019
11,1,53.22899246,3.419577,4.944335,7.2629075,8.065495,10.532211,0.14830002,0.070338696,0.061091542,0.047636725,0.07451832,0.35819495,1.2160221,53.38299942
12,1,52.92322159,3.267249,4.7452254,7.041028,7.828092,10.256589,0.019438148,0.012754142,0.030004025,-0.00385242,0.0366174,0.31928095,0.67988294,53.26593399
13,1,52.70895767,3.09608,4.5638742,6.762282,7.5360274,9.968823,-0.012311578,0.060147166,0.028370857,0.057147086,0.057136297,0.35127598,1.183323,53.10416031
14,1,52.57132339,3.0110865,4.4152985,6.5432124,7.294086,9.721017,0.10994381,0.073521376,0.024579525,0.005901635,0.011207104,0.32175475,0.7279384,52.87150574
15,1,52.38209534,2.922234,4.2460437,6.3548384,7.0426283,9.416357,0.15999818,0.056610942,0.10322952,0.08998607,0.09119582,0.35803586,1.4640702,52.35942078
16,1,52.1889801,2.783733,4.127007,6.1221666,6.8446813,9.186995,0.045443177,0.06434637,0.024223328,0.04959631,0.06880188,0.28990513,0.9444352,52.4991951
17,1,52.0703125,2.6849034,3.989229,5.9426765,6.6178446,8.944489,-0.04512787,0.024294734,-0.021946907,-0.01486367,-0.061960697,0.32458788,0.3693254,52.48774338
18,1,51.94808197,2.623976,3.8349504,5.7545505,6.408244,8.701871,0.07621801,0.03283453,-0.027760506,-0.011210799,0.002415657,0.32310173,0.44617522,52.2182045
19,1,51.81074142,2.4881465,3.7471547,5.613405,6.24813,8.483152,-0.040249348,0.008452177,-0.081727505,-0.0716548,-0.040756226,0.29944876,-0.91771233,52.02548218
20,1,51.651371,2.4031541,3.6114593,5.392181,6.0521417,8.260778,0.1594801,-0.04488814,-0.009910107,-0.026070654,0.041047573,0.2761308,0.9012692,52.11597061
21,1,51.57786942,2.346702,3.503888,5.2890835,5.8877935,8.054804,-0.08887148,-0.0359807,-0.2033205,-0.18597734,-0.15826416,0.2987558,-1.9839936,52.02220535
22,1,51.49275589,2.2744172,3.4272046,5.1261287,5.7309556,7.873897,0.07911539,0.08401537,0.07269597,0.024843901,0.000575066,0.31869113,0.7496356,51.83475113
23,1,51.37081909,2.1656654,3.3153298,4.990452,5.607401,7.6521497,-0.107352495,0.013424397,0.055357933,-0.042179987,-0.11518669,0.30676627,-1.3877314,51.70064926
24,1,51.20623779,2.1197758,3.2025576,4.8514295,5.4454484,7.4983597,0.04941058,0.050601363,0.040290833,-0.055322826,0.027325392,0.28193024,0.8524411,51.66742325
