store,n
0,31
725,31
707,31
708,31
712,31
713,31
714,31
716,31
717,31
719,31
720,31
721,31
722,31
723,31
724,31
726,31
704,31
727,31
728,31
729,31
730,31
731,31
732,31
733,31
734,31
736,31
737,31
739,31
740,31
741,31
706,31
703,31
744,31
684,31
666,31
667,31
671,31
672,31
673,31
674,31
675,31
677,31
678,31
679,31
680,31
681,31
682,31
685,31
702,31
686,31
687,31
688,31
689,31
690,31
691,31
692,31
694,31
695,31
696,31
697,31
698,31
699,31
742,31
745,31
508,31
798,31
784,31
785,31
786,31
787,31
788,31
789,31
790,31
791,31
792,31
793,31
794,31
795,31
797,31
799,31
782,31
800,31
801,31
802,31
806,31
807,31
808,31
809,31
810,31
811,31
812,31
813,31
815,31
816,31
783,31
781,31
746,31
761,31
747,31
748,31
750,31
751,31
752,31
753,31
754,31
755,31
756,31
757,31
758,31
759,31
760,31
762,31
780,31
763,31
764,31
766,31
767,31
768,31
769,31
771,31
772,31
773,31
775,31
776,31
778,31
779,31
665,31
664,31
663,31
565,31
551,31
552,31
553,31
555,31
556,31
1,31
558,31
559,31
560,31
561,31
562,31
563,31
564,31
566,31
549,31
567,31
568,31
569,31
571,31
573,31
575,31
576,31
577,31
578,31
579,31
580,31
581,31
582,31
550,31
548,31
662,31
527,31
510,31
512,31
514,31
515,31
516,31
518,31
519,31
520,31
522,31
523,31
524,31
525,31
526,31
528,31
547,31
529,31
530,31
531,31
532,31
534,31
535,31
536,31
537,31
540,31
542,31
543,31
544,31
545,31
583,31
584,31
585,31
644,31
625,31
626,31
627,31
629,31
630,31
631,31
633,31
634,31
638,31
639,31
640,31
641,31
642,31
646,31
587,31
647,31
648,31
650,31
651,31
652,31
653,31
654,31
655,31
656,31
657,31
658,31
660,31
661,31
624,31
623,31
622,31
621,31
588,31
589,31
590,31
591,31
592,31
593,31
594,31
595,31
596,31
598,31
599,31
600,31
601,31
602,31
604,31
605,31
606,31
607,31
608,31
609,31
612,31
613,31
614,31
615,31
616,31
617,31
620,31
817,31
818,31
820,31
1022,31
1006,31
1007,31
1009,31
1010,31
1012,31
1013,31
1014,31
1015,31
1016,31
1017,31
1019,31
1020,31
1021,31
1023,31
1004,31
1024,31
1025,31
1027,31
1028,31
1029,31
1030,31
1031,31
1032,31
1033,31
1034,31
1035,31
1036,31
1038,31
1005,31
1002,31
967,31
984,31
969,31
970,31
971,31
972,31
974,31
975,31
977,31
978,31
979,31
980,31
981,31
982,31
983,31
985,31
1001,31
986,31
987,31
989,31
990,31
991,31
992,31
993,31
994,31
995,31
996,31
997,31
998,31
1000,31
1039,31
1041,31
1042,31
1095,31
1080,31
1081,31
1082,31
1083,31
1084,31
1085,31
1086,31
1087,31
1088,31
1089,31
1090,31
1092,31
1094,31
1096,31
1043,31
1097,31
1098,31
1099,31
1100,31
1102,31
1104,31
1105,31
1107,31
1109,31
1110,31
1111,31
1112,31
1113,31
1078,31
1077,31
1076,31
1075,31
1044,31
1045,31
1046,31
1047,31
1049,31
1050,31
1051,31
1052,31
1053,31
1054,31
1056,31
