subject,n
65615,4
452824,4
98441,4
140506,4
456702,4
399663,4
343683,4
201085,4
77839,4
159756,4
418698,4
180088,4
180124,4
364264,4
418590,4
77642,4
289205,4
18346,4
201488,4
308722,4
220559,4
344261,4
456639,4
363204,4
201910,4
363047,4
236760,4
139384,4
97452,4
139177,4
276201,4
78953,4
345079,4
141214,4
289897,4
364556,4
307100,4
260618,4
58977,4
416694,4
75676,4
197904,4
401627,4
13658,4
181808,4
21565,4
291719,4
379797,4
291695,4
366011,4
460104,4
236279,4
99023,4
268517,4
341791,4
257983,4
99587,4
216486,4
220284,4
342449,4
76963,4
272315,4
77335,4
418143,4
3096,4
57176,4
307864,4
245375,4
287982,4
284068,4
360701,4
347657,4
81571,4
81403,4
176279,4
221177,4
422808,4
249411,4
97228,4
383778,4
136877,4
346839,4
383713,4
422411,4
52454,4
215251,4
23054,4
94979,4
284926,4
135948,4
135715,4
135448,4
17543,4
94108,4
123342,4
135004,4
231553,4
82834,4
15105,4
313114,4
49507,4
239647,4
95841,4
286163,4
286175,4
120285,4
309850,4
224046,4
362541,4
271883,4
287622,4
398513,4
245498,4
345513,4
160221,4
54135,4
54124,4
160378,4
96698,4
228324,4
177788,4
52706,4
160493,4
345998,4
120386,4
9233,4
177639,4
177428,4
310757,4
346270,4
286741,4
80516,4
22785,4
397382,4
137241,4
311287,4
143860,4
143949,4
27529,4
36851,4
187078,4
218259,4
371383,4
298164,4
251947,4
336164,4
65957,4
21435,4
187309,4
191189,4
149287,4
301734,4
12547,4
259554,4
410778,4
28518,4
191860,4
336461,4
186949,4
410938,4
411185,4
252853,4
266908,4
37952,4
297308,4
332600,4
234266,4
442974,4
411731,4
375556,4
302881,4
191029,4
69790,4
333630,4
372554,4
373039,4
334505,4
20004,4
408044,4
150783,4
443477,4
372783,4
463809,4
334759,4
234827,4
299579,4
67812,4
188332,4
259343,4
235018,4
298761,4
67561,4
218525,4
235031,4
267282,4
150223,4
67379,4
151629,4
190330,4
29097,4
301280,4
273939,4
187831,4
67039,4
335436,4
192575,4
332494,4
457810,4
196427,4
154434,4
266431,4
304410,4
145403,4
60877,4
368035,4
377678,4
434643,4
145059,4
60675,4
60634,4
442460,4
415191,4
434525,4
196519,4
194946,4
1314,4
217168,4
250939,4
367363,4
196884,4
275180,4
224789,4
114556,4
59436,4
182690,4
366874,4
197329,4
292833,4
275299,4
304375,4
73350,4
192703,4
62473,4
11389,4
252979,4
369942,4
193091,4
412379,4
19465,4
28197,4
193411,4
147010,4
253059,4
38324,4
376237,4
303425,4
376440,4
225193,4
368528,4
457643,4
38460,4
295785,4
194129,4
194306,4
73046,4
103343,4
36239,4
241635,4
368656,4
226861,4
217491,4
368547,4
11036,4
349317,4
334427,4
132843,4
320149,4
316364,4
354884,4
353063,4
351405,4
229923,4
319039,4
248480,4
428869,4
45297,4
247620,4
214196,4
453964,4
91438,4
352120,4
127041,4
89610,4
128224,4
358247,4
171177,4
129549,4
172578,4
165406,4
429973,4
214887,4
126962,4
33676,4
464705,4
464383,4
129991,4
427531,4
48293,4
85337,4
1829,4
211117,4
164331,4
42419,4
90891,4
355135,4
209422,4
209526,4
431410,4
207847,4
431704,4
356802,4
209570,4
223036,4
428954,4
15906,4
15317,4
173862,4
167935,4
25022,4
356116,4
428366,4
15141,4
316229,4
282448,4
45988,4
351844,4
439890,4
431810,4
16237,4
134039,4
42905,4
126572,4
7867,4
92149,4
86014,4
354408,4
269763,4
42921,4
170527,4
316144,4
264220,4
440549,4
270699,4
229012,4
356439,4
222515,4
130441,4
23706,4
322931,4
85842,4
454358,3
166817,3
154316,3
167081,3
153792,3
331723,3
153776,3
153787,3
331389,3
320235,3
154343,3
320240,3
19275,3
331977,3
166783,3
154447,3
153681,3
451993,3
331861,3
320213,3
331545,3
153893,3
331785,3
331579,3
154124,3
16709,3
154504,3
153920,3
331594,3
320147,3
19357,3
154106,3
331727,3
154093,3
452023,3
154078,3
154162,3
331539,3
166830,3
19375,3
167078,3
331641,3
154273,3
16684,3
451997,3
154270,3
331850,3
16688,3
331464,3
154233,3
331525,3
16721,3
320117,3
452058,3
331537,3
452109,3
331072,3
154508,3
155660,3
155906,3
155883,3
166527,3
155840,3
330042,3
330058,3
330082,3
155725,3
330200,3
155420,3
155616,3
155524,3
155516,3
330328,3
166619,3
330357,3
330360,3
155476,3
155920,3
155922,3
329907,3
156015,3
156270,3
156266,3
18892,3
156239,3
18898,3
156202,3
320578,3
329748,3
452406,3
329844,3
320575,3
329853,3
166450,3
156029,3
156027,3
156016,3
320517,3
454313,3
155394,3
331218,3
331133,3
331027,3
166673,3
331031,3
19200,3
319973,3
452152,3
166709,3
19217,3
154619,3
330446,3
154602,3
154587,3
154567,3
154559,3
166782,3
154552,3
154550,3
154548,3
166662,3
330987,3
19184,3
320372,3
330487,3
166635,3
155285,3
155222,3
330617,3
19114,3
330661,3
155129,3
452222,3
452217,3
19146,3
330817,3
330819,3
154968,3
154893,3
154878,3
154874,3
153663,3
163450,3
153653,3
333647,3
151980,3
19769,3
151966,3
19774,3
19777,3
318899,3
451651,3
151858,3
318854,3
333692,3
19832,3
151783,3
318836,3
451619,3
151733,3
333773,3
318808,3
333782,3
333802,3
333812,3
318986,3
151998,3
333491,3
152014,3
451740,3
333191,3
333243,3
167941,3
319185,3
333251,3
152265,3
168065,3
168092,3
152263,3
19714,3
152244,3
454578,3
152241,3
318995,3
333321,3
19736,3
152054,3
168190,3
318800,3
333828,3
332044,3
151085,3
19904,3
334117,3
151247,3
151206,3
318511,3
318491,3
451519,3
334287,3
151110,3
168743,3
318774,3
334323,3
16334,3
334367,3
334396,3
318325,3
318313,3
454738,3
168990,3
150975,3
151413,3
151432,3
151441,3
168703,3
168454,3
318747,3
451592,3
333879,3
318719,3
16396,3
454668,3
333890,3
