,N,sig2e,sig2b,q,deep,experiment,exp_type,mse,sig2e_est,sig2b_est,n_epochs,time
1,100000,1,0.1,100,TRUE,0,ohe,1.227083904,,,15,84.04211307
2,100000,1,0.1,100,TRUE,0,lmm,1.15631467,1.119290829,0.079712875,41,370.7249231
3,100000,1,0.1,100,TRUE,0,ignore,1.208307248,,,21,114.8845253
4,100000,1,0.1,100,TRUE,0,embed,1.170928018,,,40,304.7175701
5,100000,1,0.1,100,TRUE,1,ohe,1.208518024,,,21,114.7747536
6,100000,1,0.1,100,TRUE,1,lmm,1.116396147,1.098766327,0.122554176,62,563.3916299
7,100000,1,0.1,100,TRUE,1,ignore,1.261052424,,,18,99.64807129
8,100000,1,0.1,100,TRUE,1,embed,1.170455888,,,21,166.3756073
9,100000,1,0.1,100,TRUE,2,ohe,1.200265101,,,21,115.4159856
10,100000,1,0.1,100,TRUE,2,lmm,1.113562918,1.129010797,0.08922635,46,574.1537478
11,100000,1,0.1,100,TRUE,2,ignore,1.27796086,,,16,107.8109398
12,100000,1,0.1,100,TRUE,2,embed,1.195997506,,,26,212.2574892
13,100000,1,0.1,100,TRUE,3,ohe,1.263161842,,,16,108.832762
14,100000,1,0.1,100,TRUE,3,lmm,1.101811287,1.10988462,0.104200728,60,976.2290604
15,100000,1,0.1,100,TRUE,3,ignore,1.201840034,,,44,309.2365434
16,100000,1,0.1,100,TRUE,3,embed,1.152356256,,,27,241.9657416
17,100000,1,0.1,100,TRUE,4,ohe,1.147889293,,,31,217.8441949
18,100000,1,0.1,100,TRUE,4,lmm,1.086268066,1.123543978,0.084447272,56,901.2905138
19,100000,1,0.1,100,TRUE,4,ignore,1.230455166,,,35,239.0323598
20,100000,1,0.1,100,TRUE,4,embed,1.139192518,,,25,219.4987547
21,100000,1,0.1,100,TRUE,5,ohe,1.156774658,,,49,339.5388772
22,100000,1,0.1,100,TRUE,5,lmm,1.087999483,1.114302158,0.069205843,53,856.5347359
23,100000,1,0.1,100,TRUE,5,ignore,1.199441051,,,18,125.8580296
24,100000,1,0.1,100,TRUE,5,embed,1.201851711,,,14,139.3567502
25,100000,1,0.1,100,TRUE,6,ohe,1.182946016,,,15,103.5245349
26,100000,1,0.1,100,TRUE,6,lmm,1.203125391,1.138305783,0.145469278,37,596.3145835
27,100000,1,0.1,100,TRUE,6,ignore,1.25360419,,,44,307.7782893
28,100000,1,0.1,100,TRUE,6,embed,1.182229905,,,24,237.7544672
29,100000,1,0.1,100,TRUE,7,ohe,1.197742377,,,22,159.0002885
30,100000,1,0.1,100,TRUE,7,lmm,1.128328306,1.124720097,0.096621439,58,937.3548374
31,100000,1,0.1,100,TRUE,7,ignore,1.239328661,,,13,91.82010174
32,100000,1,0.1,100,TRUE,7,embed,1.192045109,,,13,130.1461079
33,100000,1,0.1,100,TRUE,8,ohe,1.174257217,,,30,215.4718511
34,100000,1,0.1,100,TRUE,8,lmm,1.11917682,1.131132483,0.087617181,68,1101.872306
35,100000,1,0.1,100,TRUE,8,ignore,1.31195375,,,14,98.59754682
36,100000,1,0.1,100,TRUE,8,embed,1.204503447,,,20,193.5222876
37,100000,1,0.1,100,TRUE,9,ohe,1.222475929,,,27,192.3018208
38,100000,1,0.1,100,TRUE,9,lmm,1.137448026,1.145676732,0.130205885,48,776.4119661
39,100000,1,0.1,100,TRUE,9,ignore,1.306902729,,,54,377.8451965
40,100000,1,0.1,100,TRUE,9,embed,1.183426841,,,34,318.5894763
41,100000,1,0.1,1000,TRUE,0,ohe,1.356902047,,,13,77.28896999
42,100000,1,0.1,1000,TRUE,0,lmm,1.147574604,1.09966445,0.116867796,84,1378.29888
