id,N,sig2e,sig2b,q,deep,experiment,exp_type,mse,sig2e_est,sig2b_est,n_epochs,time
1,100000,1,0.1,100,TRUE,0,embed,1.137586457,,,33,261.8823459
2,100000,1,0.1,100,TRUE,0,ignore,1.209774428,,,45,239.257993
3,100000,1,0.1,100,FALSE,0,lme4,2.985145648,2.90960509,0.091771778,,0.689968824
4,100000,1,0.1,100,TRUE,0,lmm,1.15129118,1.143809915,0.125898153,30,494.2035124
5,100000,1,0.1,100,TRUE,0,menet,1.21585651,1.178297679,,122,1925.013793
6,100000,1,0.1,100,TRUE,0,ohe,1.309248386,,,20,147.8630285
7,100000,1,0.1,100,TRUE,1,embed,1.156826818,,,31,257.5595593
8,100000,1,0.1,100,TRUE,1,ignore,1.258203457,,,29,152.0605092
9,100000,1,0.1,100,FALSE,1,lme4,2.864819376,2.898003144,0.112003527,,0.714997053
10,100000,1,0.1,100,TRUE,1,lmm,1.189309126,1.18050015,0.046534121,17,282.5879705
11,100000,1,0.1,100,TRUE,1,menet,1.139683,1.12412334,,102,1743.889179
12,100000,1,0.1,100,TRUE,1,ohe,1.158319237,,,36,265.1796439
13,100000,1,0.1,100,TRUE,2,embed,1.14579915,,,28,236.9535317
14,100000,1,0.1,100,TRUE,2,ignore,1.260128088,,,20,109.3419468
15,100000,1,0.1,100,FALSE,2,lme4,2.865031102,2.914873648,0.082714054,,0.865214109
16,100000,1,0.1,100,TRUE,2,lmm,1.154092819,1.130036592,0.08537522,44,617.037255
17,100000,1,0.1,100,TRUE,2,menet,1.163789581,1.123249271,,59,984.945668
18,100000,1,0.1,100,TRUE,2,ohe,1.30885659,,,21,157.0613832
19,100000,1,0.1,100,TRUE,3,embed,1.125860868,,,33,284.4434137
20,100000,1,0.1,100,TRUE,3,ignore,1.343935285,,,42,231.8760517
21,100000,1,0.1,100,FALSE,3,lme4,2.98981435,2.950858274,0.107519109,,0.665997982
22,100000,1,0.1,100,TRUE,3,lmm,1.121261455,1.137408733,0.063780978,30,274.2828228
23,100000,1,0.1,100,TRUE,3,menet,1.174529257,1.18315398,,97,1657.445508
24,100000,1,0.1,100,TRUE,3,ohe,1.175268333,,,27,144.6557679
25,100000,1,0.1,100,TRUE,4,embed,1.174228589,,,16,136.1756835
26,100000,1,0.1,100,TRUE,4,ignore,1.235506427,,,23,126.6724751
27,100000,1,0.1,100,FALSE,4,lme4,2.929324058,2.932889421,0.088907629,,0.892511845
28,100000,1,0.1,100,TRUE,4,lmm,1.071851306,1.124349117,0.113583893,60,535.8937814
29,100000,1,0.1,100,TRUE,4,menet,1.116421429,1.089151143,,100,1610.743314
30,100000,1,0.1,100,TRUE,4,ohe,1.147195338,,,29,154.2447481
31,100000,1,0.1,1000,TRUE,0,embed,1.210893073,,,17,158.2434328
32,100000,1,0.1,1000,TRUE,0,ignore,1.2144368,,,37,197.4130347
33,100000,1,0.1,1000,FALSE,0,lme4,2.986302639,2.908179285,0.10813553,,0.773005962
34,100000,1,0.1,1000,TRUE,0,lmm,1.126168574,1.127180338,0.082297482,43,388.1868639
35,100000,1,0.1,1000,TRUE,0,menet,1.153575606,1.111887381,,259,2883.162629
36,100000,1,0.1,1000,TRUE,0,ohe,1.299108902,,,16,92.87795925
37,100000,1,0.1,1000,TRUE,1,embed,1.200118828,,,17,140.6902506
38,100000,1,0.1,1000,TRUE,1,ignore,1.167657,,,51,294.7852988
39,100000,1,0.1,1000,FALSE,1,lme4,2.908156882,2.87235004,0.088992096,,0.923128128
40,100000,1,0.1,1000,TRUE,1,lmm,1.135738757,1.124940991,0.125274122,38,344.9550509
41,100000,1,0.1,1000,TRUE,1,menet,1.516172752,1.448601302,,95,1049.404261
42,100000,1,0.1,1000,TRUE,1,ohe,1.312674906,,,14,81.38131022
43,100000,1,0.1,1000,TRUE,2,embed,1.243204813,,,14,108.5442371
44,100000,1,0.1,1000,TRUE,2,ignore,1.238601185,,,44,227.5426345
45,100000,1,0.1,1000,FALSE,2,lme4,2.911780074,2.918393516,0.115950023,,0.778079033
46,100000,1,0.1,1000,TRUE,2,lmm,1.138837745,1.154518723,0.116195157,38,343.2925997
47,100000,1,0.1,1000,TRUE,2,menet,1.268627255,1.250053257,,369,4191.246765
48,100000,1,0.1,1000,TRUE,2,ohe,1.340643883,,,17,97.99437737
49,100000,1,0.1,1000,TRUE,3,embed,1.303712556,,,15,114.505667
50,100000,1,0.1,1000,TRUE,3,ignore,1.269021118,,,26,135.818743
