,mode,N,sig2e,sig2b0,q0,experiment,exp_type,mse,sig2e_est,sig2b_est0,n_epochs,time
1,intercepts,100000,1,0.1,100,0,embed,1.181330959,,,17,28.79990935
2,intercepts,100000,1,0.1,100,0,ignore,1.244059209,,,26,31.8409543
3,intercepts,100000,1,0.1,100,0,lme4,2.985145648,2.90960509,0.091771778,,0.689968824
4,intercepts,100000,1,0.1,100,0,lmm,1.083408699,1.1114825,0.117039,58,188.7256234
5,intercepts,100000,1,0.1,100,0,menet,1.21585651,1.178297679,,122,1925.013793
6,intercepts,100000,1,0.1,100,0,ohe,1.197729406,,,29,37.87545896
7,intercepts,100000,1,0.1,100,1,embed,1.175397481,,,24,40.11967826
8,intercepts,100000,1,0.1,100,1,ignore,1.276261083,,,23,28.39912009
9,intercepts,100000,1,0.1,100,1,lme4,2.864819376,2.898003144,0.112003527,,0.714997053
10,intercepts,100000,1,0.1,100,1,lmm,1.064036952,1.1328506,0.084678575,44,146.5829244
11,intercepts,100000,1,0.1,100,1,menet,1.139683,1.12412334,,102,1743.889179
12,intercepts,100000,1,0.1,100,1,ohe,1.211321119,,,30,37.90336609
13,intercepts,100000,1,0.1,100,2,embed,1.125015119,,,26,43.62298703
14,intercepts,100000,1,0.1,100,2,ignore,1.190677784,,,28,34.12964749
15,intercepts,100000,1,0.1,100,2,lme4,2.865031102,2.914873648,0.082714054,,0.865214109
16,intercepts,100000,1,0.1,100,2,lmm,1.114905393,1.1472234,0.1305314,37,117.8811145
17,intercepts,100000,1,0.1,100,2,menet,1.163789581,1.123249271,,59,984.945668
18,intercepts,100000,1,0.1,100,2,ohe,1.20208292,,,25,31.75247693
19,intercepts,100000,1,0.1,100,3,embed,1.147876444,,,33,55.15844965
20,intercepts,100000,1,0.1,100,3,ignore,1.243164708,,,29,35.55870676
21,intercepts,100000,1,0.1,100,3,lme4,2.98981435,2.950858274,0.107519109,,0.665997982
22,intercepts,100000,1,0.1,100,3,lmm,1.104791069,1.1802939,0.10428861,28,89.57511663
23,intercepts,100000,1,0.1,100,3,menet,1.174529257,1.18315398,,97,1657.445508
24,intercepts,100000,1,0.1,100,3,ohe,1.129061939,,,45,56.10897613
25,intercepts,100000,1,0.1,100,4,embed,1.15175482,,,19,32.48499322
26,intercepts,100000,1,0.1,100,4,ignore,1.239321594,,,25,31.02365184
27,intercepts,100000,1,0.1,100,4,lme4,2.929324058,2.932889421,0.088907629,,0.892511845
28,intercepts,100000,1,0.1,100,4,lmm,1.1101483,1.1367612,0.13586581,35,110.8505449
29,intercepts,100000,1,0.1,100,4,menet,1.116421429,1.089151143,,100,1610.743314
30,intercepts,100000,1,0.1,100,4,ohe,1.167405031,,,27,34.18951178
31,intercepts,100000,1,0.1,1000,0,embed,1.214888434,,,16,27.67762661
32,intercepts,100000,1,0.1,1000,0,ignore,1.210231865,,,29,42.05134988
33,intercepts,100000,1,0.1,1000,0,lme4,2.986302639,2.908179285,0.10813553,,0.773005962
34,intercepts,100000,1,0.1,1000,0,lmm,1.077025004,1.1133295,0.08813093,53,168.2624631
35,intercepts,100000,1,0.1,1000,0,menet,1.153575606,1.111887381,,259,2883.162629
36,intercepts,100000,1,0.1,1000,0,ohe,1.288586835,,,15,25.29995847
37,intercepts,100000,1,0.1,1000,1,embed,1.20104078,,,17,28.8896904
38,intercepts,100000,1,0.1,1000,1,ignore,1.269081422,,,21,26.27338338
39,intercepts,100000,1,0.1,1000,1,lme4,2.908156882,2.87235004,0.088992096,,0.923128128
40,intercepts,100000,1,0.1,1000,1,lmm,1.086190985,1.1197863,0.09816823,47,149.17573
41,intercepts,100000,1,0.1,1000,1,menet,1.516172752,1.448601302,,95,1049.404261
42,intercepts,100000,1,0.1,1000,1,ohe,1.26591525,,,15,44.50758839
43,intercepts,100000,1,0.1,1000,2,embed,1.202986529,,,20,33.67744923
44,intercepts,100000,1,0.1,1000,2,ignore,1.172982915,,,32,39.24325728
45,intercepts,100000,1,0.1,1000,2,lme4,2.911780074,2.918393516,0.115950023,,0.778079033
46,intercepts,100000,1,0.1,1000,2,lmm,1.117486248,1.1208938,0.101073235,42,134.049608
47,intercepts,100000,1,0.1,1000,2,menet,1.268627255,1.250053257,,369,4191.246765
48,intercepts,100000,1,0.1,1000,2,ohe,1.28003364,,,18,29.75329614
49,intercepts,100000,1,0.1,1000,3,embed,1.239482143,,,26,43.45748901
50,intercepts,100000,1,0.1,1000,3,ignore,1.214387699,,,29,35.50500393
51,intercepts,100000,1,0.1,1000,3,lme4,2.947643585,2.896315256,0.091209337,,0.750085831
52,intercepts,100000,1,0.1,1000,3,lmm,1.117510725,1.1217334,0.108251296,74,229.4907563
53,intercepts,100000,1,0.1,1000,3,menet,1.41849771,1.351084622,,258,2828.945484
54,intercepts,100000,1,0.1,1000,3,ohe,1.268463439,,,14,24.12293577
55,intercepts,100000,1,0.1,1000,4,embed,1.214497589,,,19,32.49015689
56,intercepts,100000,1,0.1,1000,4,ignore,1.243970403,,,62,74.45671368
57,intercepts,100000,1,0.1,1000,4,lme4,2.901089078,2.889040607,0.106357133,,0.970669031
58,intercepts,100000,1,0.1,1000,4,lmm,1.072692871,1.1055254,0.09282005,65,203.6723466
59,intercepts,100000,1,0.1,1000,4,menet,1.287996749,1.249694454,,316,3538.398721
60,intercepts,100000,1,0.1,1000,4,ohe,1.284100427,,,17,44.45794678
61,intercepts,100000,1,0.1,10000,0,embed,1.579371157,,,13,22.50138211
62,intercepts,100000,1,0.1,10000,0,ignore,1.195134515,,,40,48.43624139
63,intercepts,100000,1,0.1,10000,0,lme4,3.016533801,2.90340262,0.099397775,,0.837144852
64,intercepts,100000,1,0.1,10000,0,lmm,1.207567359,1.1598018,0.1100888,21,74.17700601
65,intercepts,100000,1,0.1,10000,0,menet,1.431604757,1.103697648,,300,3138.078084
66,intercepts,100000,1,0.1,10000,0,ohe,1.511753111,,,12,78.66681981
67,intercepts,100000,1,0.1,10000,1,embed,1.587812173,,,14,24.19467354
68,intercepts,100000,1,0.1,10000,1,ignore,1.212798338,,,30,36.87335634
69,intercepts,100000,1,0.1,10000,1,lme4,2.958160852,2.943630549,0.084637369,,1.203196049
70,intercepts,100000,1,0.1,10000,1,lmm,1.179668365,1.1164219,0.11275014,65,207.6604309
71,intercepts,100000,1,0.1,10000,1,menet,1.40943757,1.151623022,,300,3123.503956
72,intercepts,100000,1,0.1,10000,1,ohe,1.588982774,,,12,78.23847175
73,intercepts,100000,1,0.1,10000,2,embed,1.608262258,,,14,24.15408087
74,intercepts,100000,1,0.1,10000,2,ignore,1.250939608,,,27,33.33890343
75,intercepts,100000,1,0.1,10000,2,lme4,2.973782356,2.912070273,0.108562541,,0.835553169
76,intercepts,100000,1,0.1,10000,2,lmm,1.171008313,1.148503,0.1123782,26,88.57756257
77,intercepts,100000,1,0.1,10000,2,menet,1.309017401,1.061808251,,300,3125.046499
78,intercepts,100000,1,0.1,10000,2,ohe,1.629234778,,,12,84.1326201
79,intercepts,100000,1,0.1,10000,3,embed,1.55432312,,,14,24.24689865
80,intercepts,100000,1,0.1,10000,3,ignore,1.214316375,,,25,30.72044635
81,intercepts,100000,1,0.1,10000,3,lme4,2.909489902,2.874621085,0.114332915,,0.993036032
82,intercepts,100000,1,0.1,10000,3,lmm,1.205171263,1.1588843,0.099480435,21,91.41216731
83,intercepts,100000,1,0.1,10000,3,menet,1.397901088,1.139196536,,300,3087.33669
84,intercepts,100000,1,0.1,10000,3,ohe,1.541125627,,,12,83.81414604
85,intercepts,100000,1,0.1,10000,4,embed,1.592080596,,,13,22.50794578
86,intercepts,100000,1,0.1,10000,4,ignore,1.22451436,,,23,28.59648705
87,intercepts,100000,1,0.1,10000,4,lme4,2.944321709,2.889924575,0.09636323,,0.824572086
88,intercepts,100000,1,0.1,10000,4,lmm,1.138236373,1.1180573,0.08470529,82,261.3272488
89,intercepts,100000,1,0.1,10000,4,menet,2.698144287,1.265712917,,173,1764.840173
90,intercepts,100000,1,0.1,10000,4,ohe,1.554503098,,,12,81.14016747
91,intercepts,100000,1,1,100,0,embed,1.200445136,,,17,29.49790478
92,intercepts,100000,1,1,100,0,ignore,2.035531068,,,22,27.55279183
93,intercepts,100000,1,1,100,0,lme4,2.903698173,2.924997198,1.010650306,,0.919994831
94,intercepts,100000,1,1,100,0,lmm,1.098478738,1.1268462,1.2289437,47,148.1494792
95,intercepts,100000,1,1,100,0,menet,1.14828156,1.12908819,,76,1198.255023
96,intercepts,100000,1,1,100,0,ohe,1.218035105,,,31,38.9015696
