,mode,N,sig2e,sig2b0,sig2b1,sig2b2,q0,q1,q2,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,n_epochs,time
1,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,0,ohe,1.602354676,,,,,16,63.25661802
2,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,0,ignore,2.050167355,,,,,54,67.20213127
3,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,0,embed,1.47251075,,,,,16,37.42317653
4,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,1,ohe,1.629304288,,,,,15,59.57242942
5,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,1,ignore,2.058082288,,,,,22,28.27179098
6,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,1,embed,1.458898508,,,,,17,39.39925146
7,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,2,ohe,1.638760953,,,,,18,66.2373271
8,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,2,ignore,2.102346573,,,,,33,41.69421268
9,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,2,embed,1.480254033,,,,,15,34.60809827
10,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,3,ohe,1.632397661,,,,,16,61.99816394
11,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,3,ignore,2.084506159,,,,,35,44.35853982
12,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,3,embed,1.509433216,,,,,16,36.85749221
13,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,4,ohe,1.581274604,,,,,15,58.74633884
14,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,4,ignore,2.023715531,,,,,54,66.94456935
15,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,4,embed,1.470841767,,,,,16,36.48772788
16,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,0,ohe,1.906755123,,,,,15,58.95432758
17,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,0,ignore,4.850861224,,,,,34,41.6349566
18,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,0,embed,1.651260384,,,,,20,44.7797873
19,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,1,ohe,1.84168329,,,,,18,65.49074507
20,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,1,ignore,4.756207586,,,,,43,53.27524734
21,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,1,embed,1.633355351,,,,,15,34.32975745
22,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,2,ohe,1.866384006,,,,,20,70.32258749
23,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,2,ignore,4.757558196,,,,,32,40.01572371
24,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,2,embed,1.671067275,,,,,13,30.18722677
25,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,3,ohe,1.894381124,,,,,17,63.04882383
26,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,3,ignore,4.90096612,,,,,21,26.40622258
27,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,3,embed,1.602129794,,,,,16,36.12438202
28,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,4,ohe,1.856788564,,,,,16,60.71213436
29,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,4,ignore,4.972327307,,,,,27,34.33870721
30,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,4,embed,1.576842399,,,,,16,36.94552875
31,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,0,ohe,1.829548611,,,,,32,97.29665756
32,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,0,ignore,4.808595006,,,,,30,37.28453851
33,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,0,embed,1.559542083,,,,,15,33.99252033
34,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,1,ohe,1.822147347,,,,,17,62.97054648
35,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,1,ignore,4.601059822,,,,,42,52.11102748
36,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,1,embed,1.618113709,,,,,16,36.15171266
37,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,2,ohe,1.812125901,,,,,16,60.44584775
38,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,2,ignore,4.807892815,,,,,29,35.95066929
39,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,2,embed,1.57586751,,,,,15,34.26971316
40,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,3,ohe,1.784931583,,,,,18,65.43575954
41,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,3,ignore,4.598226144,,,,,19,24.18644953
