,N,sig2e,sig2b0,sig2b1,q0,q1,deep,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,n_epochs,time
1,100000,1,0.5,0.5,10000,10000,TRUE,0,ohe,1.794023115,,,,13,255.9338923
2,100000,1,0.5,0.5,10000,10000,TRUE,0,lmm,1.293830352,1.139890432,0.488618433,0.526332974,26,475.764395
3,100000,1,0.5,0.5,10000,10000,TRUE,0,ignore,2.159230908,,,,48,253.6271288
4,100000,1,0.5,0.5,10000,10000,TRUE,0,embed,1.786570971,,,,13,122.5922844
5,100000,1,0.5,0.5,10000,10000,TRUE,1,ohe,1.807122617,,,,15,298.214601
6,100000,1,0.5,0.5,10000,10000,TRUE,1,lmm,1.303785727,1.13736248,0.494343489,0.484055132,54,807.8572221
7,100000,1,0.5,0.5,10000,10000,TRUE,1,ignore,2.191139693,,,,41,226.787046
8,100000,1,0.5,0.5,10000,10000,TRUE,1,embed,1.766854599,,,,13,130.5007007
9,100000,1,0.5,0.5,10000,10000,TRUE,2,ohe,1.880173657,,,,16,312.4966106
10,100000,1,0.5,0.5,10000,10000,TRUE,2,lmm,1.318667184,1.138581634,0.511171401,0.498250484,61,818.6705067
11,100000,1,0.5,0.5,10000,10000,TRUE,2,ignore,2.122334457,,,,24,124.1464026
12,100000,1,0.5,0.5,10000,10000,TRUE,2,embed,1.802223798,,,,14,131.8848951
13,100000,1,0.5,0.5,10000,10000,TRUE,3,ohe,1.8473516,,,,13,252.8371263
14,100000,1,0.5,0.5,10000,10000,TRUE,3,lmm,1.275713446,1.151892304,0.482642561,0.488531828,26,469.3460193
15,100000,1,0.5,0.5,10000,10000,TRUE,3,ignore,2.045684243,,,,40,213.8101661
16,100000,1,0.5,0.5,10000,10000,TRUE,3,embed,1.793794379,,,,13,127.9889064
17,100000,1,0.5,0.5,10000,10000,TRUE,4,ohe,1.832585421,,,,12,238.8298233
18,100000,1,0.5,0.5,10000,10000,TRUE,4,lmm,1.2963461,1.083823562,0.525125206,0.486090124,50,691.1471527
19,100000,1,0.5,0.5,10000,10000,TRUE,4,ignore,2.123644905,,,,41,216.0680404
20,100000,1,0.5,0.5,10000,10000,TRUE,4,embed,1.859776401,,,,14,131.6358438
21,100000,1,0.5,5,10000,10000,TRUE,0,ohe,2.512927384,,,,13,254.9755952
22,100000,1,0.5,5,10000,10000,TRUE,0,lmm,1.381143629,1.102920771,0.475907862,5.058680534,40,579.2403858
23,100000,1,0.5,5,10000,10000,TRUE,0,ignore,6.745868707,,,,32,167.8344698
24,100000,1,0.5,5,10000,10000,TRUE,0,embed,2.329203846,,,,15,141.9279871
25,100000,1,0.5,5,10000,10000,TRUE,1,ohe,2.520546844,,,,16,295.5322037
26,100000,1,0.5,5,10000,10000,TRUE,1,lmm,1.324560838,1.157657266,0.496285826,5.030180454,33,510.958936
27,100000,1,0.5,5,10000,10000,TRUE,1,ignore,6.777893734,,,,19,100.4243667
28,100000,1,0.5,5,10000,10000,TRUE,1,embed,2.156567934,,,,15,140.1128845
29,100000,1,0.5,5,10000,10000,TRUE,2,ohe,2.409991647,,,,12,238.863385
30,100000,1,0.5,5,10000,10000,TRUE,2,lmm,1.366773396,1.128987312,0.502981246,4.981786728,39,597.7983835
31,100000,1,0.5,5,10000,10000,TRUE,2,ignore,6.67189213,,,,20,105.4711654
32,100000,1,0.5,5,10000,10000,TRUE,2,embed,2.082526246,,,,16,150.984019
33,100000,1,0.5,5,10000,10000,TRUE,3,ohe,2.569393381,,,,17,306.7223022
