id,mode,N,sig2e,sig2b,q,experiment,exp_type,mse,sig2e_est,sig2b_est,n_epochs,time
1,intercepts,100000,1,0.1,100,0,ohe,1.22496495,,,19,31.20763969
2,intercepts,100000,1,0.1,100,0,ignore,1.260081128,,,59,81.65513277
3,intercepts,100000,1,0.1,100,0,embed,1.157244622,,,37,83.44292951
4,intercepts,100000,1,0.1,100,0,lmm,1.192573516,1.129289031,1.201910019,21,70.50199413
5,intercepts,100000,1,0.1,100,1,ohe,1.123946408,,,52,73.63809872
6,intercepts,100000,1,0.1,100,1,ignore,1.266565654,,,25,35.40614557
7,intercepts,100000,1,0.1,100,1,embed,1.13211802,,,27,50.80624652
8,intercepts,100000,1,0.1,100,1,lmm,1.137364178,1.107938409,1.234053254,20,66.17477512
9,intercepts,100000,1,0.1,100,2,ohe,1.187509948,,,19,27.73298335
10,intercepts,100000,1,0.1,100,2,ignore,1.252933324,,,38,54.38975668
11,intercepts,100000,1,0.1,100,2,embed,1.116567174,,,44,82.88764739
12,intercepts,100000,1,0.1,100,2,lmm,1.096311099,1.085617781,0.738211274,41,154.5980442
13,intercepts,100000,1,0.1,100,3,ohe,1.215364119,,,23,33.37200594
14,intercepts,100000,1,0.1,100,3,ignore,1.308744923,,,32,44.90251374
15,intercepts,100000,1,0.1,100,3,embed,1.187763547,,,17,32.75961566
16,intercepts,100000,1,0.1,100,3,lmm,1.188940083,1.108761549,1.269060969,23,73.69758129
17,intercepts,100000,1,0.1,100,4,ohe,1.212139194,,,26,38.0888164
18,intercepts,100000,1,0.1,100,4,ignore,1.276036004,,,20,28.62787318
19,intercepts,100000,1,0.1,100,4,embed,1.18956953,,,20,37.96697545
20,intercepts,100000,1,0.1,100,4,lmm,1.09213174,1.077208638,0.73167783,43,126.2323601
21,intercepts,100000,1,1,100,0,ohe,1.246858261,,,18,26.41120768
22,intercepts,100000,1,1,100,0,ignore,3.46864156,,,32,45.45468783
23,intercepts,100000,1,1,100,0,embed,1.323946655,,,21,40.1895802
24,intercepts,100000,1,1,100,0,lmm,1.13897561,1.093334198,3.477022171,25,79.64037204
25,intercepts,100000,1,1,100,1,ohe,1.259702178,,,15,22.26365542
26,intercepts,100000,1,1,100,1,ignore,3.502294694,,,53,73.42944479
27,intercepts,100000,1,1,100,1,embed,1.236721138,,,17,33.54502726
28,intercepts,100000,1,1,100,1,lmm,1.112236373,1.117988586,3.408098221,27,84.25797796
29,intercepts,100000,1,1,100,2,ohe,1.250273275,,,18,26.26131582
30,intercepts,100000,1,1,100,2,ignore,2.668221746,,,42,58.16688824
31,intercepts,100000,1,1,100,2,embed,1.26288898,,,16,30.85479522
32,intercepts,100000,1,1,100,2,lmm,1.145185766,1.088819861,2.377090693,46,134.9199953
33,intercepts,100000,1,1,100,3,ohe,1.184996698,,,31,43.45951962
34,intercepts,100000,1,1,100,3,ignore,2.154394299,,,42,57.76203322
35,intercepts,100000,1,1,100,3,embed,1.232495846,,,39,72.08125877
36,intercepts,100000,1,1,100,3,lmm,1.105901554,1.074451923,1.751662374,46,133.7662084
37,intercepts,100000,1,1,100,4,ohe,1.209809999,,,39,54.3656373
38,intercepts,100000,1,1,100,4,ignore,2.7585129,,,25,34.99654579
39,intercepts,100000,1,1,100,4,embed,1.191409883,,,21,39.6194005
40,intercepts,100000,1,1,100,4,lmm,1.110970454,1.063580632,2.294701576,45,132.6504803
41,intercepts,100000,1,10,100,0,ohe,1.709260993,,,34,47.60844922
42,intercepts,100000,1,10,100,0,ignore,31.0873528,,,36,49.660115
43,intercepts,100000,1,10,100,0,embed,2.268414135,,,60,110.4846914
44,intercepts,100000,1,10,100,0,lmm,1.171049262,1.055840969,10.74768829,52,154.8867562
45,intercepts,100000,1,10,100,1,ohe,1.663446224,,,46,64.40205145
46,intercepts,100000,1,10,100,1,ignore,22.21992437,,,37,50.89175773
47,intercepts,100000,1,10,100,1,embed,1.790541302,,,34,63.02721143
48,intercepts,100000,1,10,100,1,lmm,1.152494328,1.117009759,8.192828178,27,83.56547856
49,intercepts,100000,1,10,100,2,ohe,1.771626959,,,14,20.49793935
50,intercepts,100000,1,10,100,2,ignore,22.95458855,,,31,42.39801502
51,intercepts,100000,1,10,100,2,embed,1.991763528,,,26,49.13816547
52,intercepts,100000,1,10,100,2,lmm,1.149238596,1.086287022,9.733718872,40,118.0067513
53,intercepts,100000,1,10,100,3,ohe,1.435612672,,,39,54.15436411
54,intercepts,100000,1,10,100,3,ignore,11.97508162,,,22,30.45951152
55,intercepts,100000,1,10,100,3,embed,1.706568458,,,21,39.77964401
56,intercepts,100000,1,10,100,3,lmm,1.088423138,1.064744592,6.433815002,44,127.6774716
57,intercepts,100000,1,10,100,4,ohe,2.710956735,,,14,22.04471707
58,intercepts,100000,1,10,100,4,ignore,30.54880621,,,23,32.2394774
59,intercepts,100000,1,10,100,4,embed,2.061487328,,,32,59.61600065
60,intercepts,100000,1,10,100,4,lmm,1.094735834,1.077016592,11.06022358,42,123.2879462
61,intercepts,100000,1,0.1,1000,0,ohe,1.351415636,,,20,42.94276834
62,intercepts,100000,1,0.1,1000,0,ignore,2.453490153,,,37,52.06368661
63,intercepts,100000,1,0.1,1000,0,embed,1.316303368,,,21,42.46811938
64,intercepts,100000,1,0.1,1000,0,lmm,1.228889938,0.274056286,1.08566165,13,49.96485591
65,intercepts,100000,1,0.1,1000,1,ohe,1.36392854,,,19,35.17950058
66,intercepts,100000,1,0.1,1000,1,ignore,2.99413516,,,26,42.24092174
67,intercepts,100000,1,0.1,1000,1,embed,1.328478532,,,20,39.4413836
68,intercepts,100000,1,0.1,1000,1,lmm,1.257829882,0.280047655,1.178050876,13,48.43740988
69,intercepts,100000,1,0.1,1000,2,ohe,1.386905474,,,14,27.38687205
70,intercepts,100000,1,0.1,1000,2,ignore,2.43117101,,,34,47.98641896
71,intercepts,100000,1,0.1,1000,2,embed,1.325647948,,,26,49.33419514
72,intercepts,100000,1,0.1,1000,2,lmm,1.291237162,0.273965269,1.04112649,14,50.39502335
73,intercepts,100000,1,0.1,1000,3,ohe,1.379871483,,,16,30.01853633
74,intercepts,100000,1,0.1,1000,3,ignore,3.454390346,,,36,49.87511945
75,intercepts,100000,1,0.1,1000,3,embed,1.467320821,,,15,29.11782455
76,intercepts,100000,1,0.1,1000,3,lmm,1.274281183,0.282747418,1.170156717,14,51.19220996
77,intercepts,100000,1,0.1,1000,4,ohe,1.458701069,,,16,30.90792465
78,intercepts,100000,1,0.1,1000,4,ignore,3.335311324,,,88,121.1185277
79,intercepts,100000,1,0.1,1000,4,embed,1.383487402,,,17,32.8068397
80,intercepts,100000,1,0.1,1000,4,lmm,1.330892749,0.26506266,1.14448595,14,49.71758795
81,intercepts,100000,1,1,1000,0,ohe,2.028272296,,,15,28.42404389
82,intercepts,100000,1,1,1000,0,ignore,18.16597941,,,25,34.90032673
83,intercepts,100000,1,1,1000,0,embed,1.740344255,,,62,113.9555132
84,intercepts,100000,1,1,1000,0,lmm,1.288604923,0.304627359,2.021709204,15,55.17140627
85,intercepts,100000,1,1,1000,1,ohe,1.659644111,,,57,93.19428182
86,intercepts,100000,1,1,1000,1,ignore,19.41842062,,,20,27.96412754
87,intercepts,100000,1,1,1000,1,embed,2.339928585,,,19,35.63922381
88,intercepts,100000,1,1,1000,1,lmm,1.316210213,0.287173897,2.055003166,15,52.66208029
89,intercepts,100000,1,1,1000,2,ohe,2.269805444,,,17,31.19715333
90,intercepts,100000,1,1,1000,2,ignore,21.42917632,,,25,34.72001982
91,intercepts,100000,1,1,1000,2,embed,2.406018411,,,17,32.30684686
92,intercepts,100000,1,1,1000,2,lmm,1.219904103,0.289393246,2.07793355,16,55.18984103
93,intercepts,100000,1,1,1000,3,ohe,1.907788653,,,18,32.56245279
94,intercepts,100000,1,1,1000,3,ignore,22.88638529,,,37,51.24695349
95,intercepts,100000,1,1,1000,3,embed,2.683681112,,,40,73.90645027
96,intercepts,100000,1,1,1000,3,lmm,1.263203909,0.29666847,2.134599209,16,55.67210746
97,intercepts,100000,1,1,1000,4,ohe,1.948928348,,,18,32.37986445
98,intercepts,100000,1,1,1000,4,ignore,22.86724011,,,39,53.29371262
99,intercepts,100000,1,1,1000,4,embed,1.941439177,,,24,45.61823392
100,intercepts,100000,1,1,1000,4,lmm,1.236450104,0.294040591,2.219681025,15,52.64932203
101,intercepts,100000,1,10,1000,0,ohe,4.892063368,,,13,24.61530662
102,intercepts,100000,1,10,1000,0,ignore,133.2252545,,,37,50.79883575
103,intercepts,100000,1,10,1000,0,embed,6.119982459,,,12,23.20119858
104,intercepts,100000,1,10,1000,0,lmm,1.341790552,0.310303867,4.081188679,20,65.63348794
105,intercepts,100000,1,10,1000,1,ohe,8.549434041,,,12,23.10850191
106,intercepts,100000,1,10,1000,1,ignore,149.0710204,,,22,30.63566136
107,intercepts,100000,1,10,1000,1,embed,10.46130267,,,11,21.37327957
108,intercepts,100000,1,10,1000,1,lmm,1.28884006,0.313785017,4.285954475,20,65.25344276
109,intercepts,100000,1,10,1000,2,ohe,5.064418478,,,13,24.75508928
110,intercepts,100000,1,10,1000,2,ignore,183.2360789,,,23,32.68113089
111,intercepts,100000,1,10,1000,2,embed,13.70600351,,,11,21.30545378
112,intercepts,100000,1,10,1000,2,lmm,1.367710166,0.316111147,4.54201746,20,64.53817677
113,intercepts,100000,1,10,1000,3,ohe,6.807547585,,,12,23.03426123
114,intercepts,100000,1,10,1000,3,ignore,185.8176045,,,29,39.66168952
115,intercepts,100000,1,10,1000,3,embed,10.62931885,,,11,21.37846661
116,intercepts,100000,1,10,1000,3,lmm,1.349180256,0.319634259,4.541106701,20,65.55513549
117,intercepts,100000,1,10,1000,4,ohe,4.951792896,,,12,23.27128553
118,intercepts,100000,1,10,1000,4,ignore,154.2265393,,,17,23.82273078
119,intercepts,100000,1,10,1000,4,embed,11.67139632,,,11,21.28841901
120,intercepts,100000,1,10,1000,4,lmm,1.269335676,0.306859642,4.350932121,20,65.14069748
121,intercepts,100000,1,0.1,10000,0,ohe,3.171505744,,,15,89.4989922
122,intercepts,100000,1,0.1,10000,0,ignore,20.47021145,,,24,32.98143077
123,intercepts,100000,1,0.1,10000,0,embed,2.452947735,,,28,51.87016916
124,intercepts,100000,1,0.1,10000,0,lmm,2.261429701,0.089509599,0.268945545,14,95.51904964
125,intercepts,100000,1,0.1,10000,1,ohe,3.058935823,,,17,94.39284229
126,intercepts,100000,1,0.1,10000,1,ignore,18.63620867,,,37,49.7736814
127,intercepts,100000,1,0.1,10000,1,embed,2.63509665,,,24,44.49922562
128,intercepts,100000,1,0.1,10000,1,lmm,2.168986655,0.106064893,0.268360764,14,95.62230182
129,intercepts,100000,1,0.1,10000,2,ohe,2.725035311,,,13,84.36607337
130,intercepts,100000,1,0.1,10000,2,ignore,18.61504907,,,41,55.56390977
131,intercepts,100000,1,0.1,10000,2,embed,2.684295688,,,28,83.58049059
132,intercepts,100000,1,0.1,10000,2,lmm,2.240908057,0.120993838,0.255780518,14,96.55172729
133,intercepts,100000,1,0.1,10000,3,ohe,2.807232214,,,18,105.8255203
134,intercepts,100000,1,0.1,10000,3,ignore,17.93671586,,,27,37.9978013
135,intercepts,100000,1,0.1,10000,3,embed,2.592627556,,,25,47.25052452
136,intercepts,100000,1,0.1,10000,3,lmm,2.287610942,0.098291263,0.232280657,14,97.65972805
137,intercepts,100000,1,0.1,10000,4,ohe,2.579425306,,,22,123.0967655
138,intercepts,100000,1,0.1,10000,4,ignore,19.83414394,,,40,55.45335102
