,mode,N,sig2e,sig2b0,sig2b1,sig2b2,q0,q1,q2,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,n_epochs,time
1,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,0,ohe,3.336350233,,,,,20,75.66386151
2,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,0,ignore,31.34639206,,,,,40,56.70007205
3,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,0,embed,2.841105211,,,,,38,95.75384665
4,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,0,lmm,1.862309609,0.150119498,0.832853913,0.742727399,0.701412797,15,69.09489417
5,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,1,ohe,3.223771957,,,,,26,85.16937256
6,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,1,ignore,30.32452966,,,,,41,58.04746795
7,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,1,embed,2.684635638,,,,,33,84.47290897
8,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,1,lmm,1.783001339,0.150924891,0.535019159,0.755100012,0.702118874,15,96.12268734
9,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,2,ohe,3.481437307,,,,,14,56.6306951
10,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,2,ignore,32.40640078,,,,,30,43.19281435
11,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,2,embed,2.331041085,,,,,20,51.83267951
12,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,2,lmm,1.764741171,0.147536561,1.234652996,0.70763278,0.670142114,15,67.11844587
13,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,3,ohe,3.266756478,,,,,18,65.68807578
14,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,3,ignore,31.64631208,,,,,31,44.20105386
15,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,3,embed,2.787363098,,,,,25,64.19327593
16,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,3,lmm,1.688213038,0.157969087,0.743567824,0.644307077,0.737346947,15,66.75315428
17,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,4,ohe,3.372179594,,,,,28,89.80045104
18,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,4,ignore,34.61380132,,,,,31,44.62373471
19,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,4,embed,2.882984803,,,,,32,80.33121538
20,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,4,lmm,1.733099147,0.149085239,1.143904328,0.840078235,0.686492682,15,66.02891755
21,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,0,ohe,7.809853996,,,,,14,56.24246478
22,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,0,ignore,156.2492621,,,,,24,34.73909044
23,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,0,embed,9.556211054,,,,,12,31.35832787
24,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,0,lmm,1.882236901,0.167375833,0.885210693,0.542911947,1.675456762,24,97.38401794
25,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,1,ohe,4.121095327,,,,,27,87.09847188
26,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,1,ignore,221.8913257,,,,,20,28.77965355
27,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,1,embed,14.16516822,,,,,12,31.44286394
28,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,1,lmm,1.923575759,0.178955957,0.596219063,0.520133734,2.070590019,25,99.03839207
29,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,2,ohe,8.001037126,,,,,14,56.40760398
30,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,2,ignore,182.336032,,,,,24,34.30979204
31,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,2,embed,10.53773188,,,,,13,33.92752862
32,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,2,lmm,1.954559172,0.17817302,0.725694537,0.592012167,1.761803746,25,99.5185883
33,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,3,ohe,6.399481209,,,,,17,63.50302529
34,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,3,ignore,196.3115111,,,,,24,34.7019577
35,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,3,embed,10.66960278,,,,,12,31.35304308
36,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,3,lmm,1.832966352,0.182528704,0.642239153,0.5212093,1.871192098,25,100.7663026
37,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,4,ohe,6.658390567,,,,,14,56.30966568
38,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,4,ignore,179.2420545,,,,,20,28.78079033
39,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,4,embed,10.87195111,,,,,12,31.56515718
40,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,4,lmm,1.871785429,0.173658714,0.65846628,0.632848561,1.863227367,23,92.9104073
41,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,0,ohe,6.759216573,,,,,13,53.30968332
42,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,0,ignore,124.2253781,,,,,28,40.13740826
43,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,0,embed,7.660630863,,,,,12,31.21199799
