id,N,sig2e,sig2b,q,deep,experiment,exp_type,mse,sig2e_est,sig2b_est,n_epochs,time
0,100000,1,0.1,100,TRUE,0,embed,1.149111373,,,48,386.4780385
1,100000,1,0.1,100,TRUE,1,embed,1.144127692,,,40,310.8081064
2,100000,1,0.1,100,TRUE,2,embed,1.27835236,,,16,119.7757573
3,100000,1,0.1,100,TRUE,0,embed,1.185172514,,,16,128.0893223
4,100000,1,0.1,100,TRUE,1,embed,1.176799437,,,34,271.9328437
5,100000,1,0.1,1000,TRUE,0,embed,1.351166249,,,26,200.8387525
6,100000,1,0.1,1000,TRUE,1,embed,1.551794102,,,26,199.5415032
7,100000,1,0.1,1000,TRUE,2,embed,1.448876644,,,50,408.7468817
8,100000,1,0.1,1000,TRUE,0,embed,1.381299823,,,24,183.2967303
9,100000,1,0.1,1000,TRUE,1,embed,1.394864983,,,15,120.1027391
10,100000,1,0.1,10000,TRUE,0,embed,3.107025658,,,20,165.1996098
11,100000,1,0.1,10000,TRUE,1,embed,3.700019332,,,38,304.7058511
12,100000,1,0.1,10000,TRUE,2,embed,3.190752593,,,26,225.1514564
13,100000,1,0.1,10000,TRUE,0,embed,3.322721796,,,36,298.5708537
14,100000,1,0.1,10000,TRUE,1,embed,3.612127602,,,24,201.668299
15,100000,1,1,100,TRUE,0,embed,1.251286436,,,23,173.1842554
16,100000,1,1,100,TRUE,1,embed,1.395312966,,,15,114.7799108
17,100000,1,1,100,TRUE,2,embed,1.397026819,,,19,146.5807509
18,100000,1,1,100,TRUE,0,embed,1.248933271,,,22,262.9363663
19,100000,1,1,100,TRUE,1,embed,1.280570131,,,41,450.1719134
20,100000,1,1,1000,TRUE,0,embed,3.956155382,,,23,191.2581613
21,100000,1,1,1000,TRUE,1,embed,1.956448338,,,39,308.480057
22,100000,1,1,1000,TRUE,2,embed,2.375699886,,,29,240.643074
23,100000,1,1,1000,TRUE,0,embed,2.267781146,,,38,288.5126781
24,100000,1,1,1000,TRUE,1,embed,2.259019438,,,30,229.6757944
25,100000,1,1,10000,TRUE,0,embed,17.31454026,,,26,207.7964919
26,100000,1,1,10000,TRUE,1,embed,11.53132757,,,43,351.7105577
27,100000,1,1,10000,TRUE,0,embed,13.41077784,,,31,268.6175961
28,100000,1,1,10000,TRUE,1,embed,17.55472221,,,30,261.0797777
29,100000,1,10,100,TRUE,0,embed,2.495044769,,,22,168.2577178
30,100000,1,10,100,TRUE,1,embed,1.922090956,,,27,201.6892736
31,100000,1,10,100,TRUE,2,embed,1.624519423,,,47,350.6539364
32,100000,1,10,100,TRUE,0,embed,3.450703923,,,32,258.5243304
33,100000,1,10,100,TRUE,1,embed,2.675125444,,,31,235.5245914
34,100000,1,10,1000,TRUE,0,embed,7.544871167,,,46,366.811842
35,100000,1,10,1000,TRUE,1,embed,9.354711607,,,42,334.0309975
36,100000,1,10,1000,TRUE,2,embed,7.287934897,,,20,150.3934169
37,100000,1,10,1000,TRUE,0,embed,12.42948968,,,11,85.57385731
38,100000,1,10,1000,TRUE,1,embed,9.753615553,,,12,99.17621756
39,100000,1,10,10000,TRUE,0,embed,99.95741199,,,29,346.7403219
40,100000,1,10,10000,TRUE,0,embed,86.20463894,,,50,608.2510345
41,100000,1,10,10000,TRUE,0,embed,86.98478738,,,42,505.8292282
42,100000,1,0.1,100,TRUE,0,ignore,1.540216783,,,27,140.5448749
43,100000,1,0.1,100,TRUE,1,ignore,1.332078869,,,42,223.1863534
44,100000,1,0.1,100,TRUE,2,ignore,1.343093592,,,38,201.8742886
45,100000,1,0.1,100,TRUE,0,ignore,1.465601717,,,43,227.0877812
46,100000,1,0.1,100,TRUE,1,ignore,1.408833982,,,41,217.6308234
47,100000,1,0.1,1000,TRUE,0,ignore,4.597814328,,,21,110.2324803
48,100000,1,0.1,1000,TRUE,1,ignore,5.883467587,,,31,165.3282356
49,100000,1,0.1,1000,TRUE,2,ignore,5.228353371,,,47,244.932735
50,100000,1,0.1,1000,TRUE,0,ignore,5.078389394,,,21,114.3387804
51,100000,1,0.1,1000,TRUE,1,ignore,3.807796656,,,34,183.9633989
52,100000,1,0.1,10000,TRUE,0,ignore,35.12358606,,,32,170.1465068
53,100000,1,0.1,10000,TRUE,1,ignore,34.58366466,,,22,117.6105328
54,100000,1,0.1,10000,TRUE,2,ignore,34.1471065,,,42,234.1166525
55,100000,1,0.1,10000,TRUE,0,ignore,36.79762985,,,39,211.103462
56,100000,1,0.1,10000,TRUE,1,ignore,34.78219439,,,25,138.2935343
57,100000,1,1,100,TRUE,0,ignore,2.92623026,,,36,191.2354231
58,100000,1,1,100,TRUE,1,ignore,3.855228,,,29,154.6431801
59,100000,1,1,100,TRUE,2,ignore,6.434734353,,,25,138.3394239
60,100000,1,1,100,TRUE,0,ignore,3.134948309,,,26,225.181555
61,100000,1,1,100,TRUE,1,ignore,4.277831124,,,28,222.3604863
62,100000,1,1,1000,TRUE,0,ignore,38.68083055,,,32,176.2936845
63,100000,1,1,1000,TRUE,1,ignore,24.75749501,,,25,136.1294777
64,100000,1,1,1000,TRUE,2,ignore,36.09249306,,,33,177.5093102
65,100000,1,1,1000,TRUE,0,ignore,39.9232172,,,34,184.1496434
66,100000,1,1,1000,TRUE,1,ignore,38.53900192,,,29,153.3395665
67,100000,1,1,10000,TRUE,0,ignore,351.3676169,,,28,145.7443128
68,100000,1,1,10000,TRUE,1,ignore,316.4174582,,,27,143.0860031
69,100000,1,1,10000,TRUE,0,ignore,346.7587798,,,20,109.2970083
70,100000,1,1,10000,TRUE,1,ignore,350.2340822,,,36,191.9461524
71,100000,1,10,100,TRUE,0,ignore,23.00631472,,,21,115.4232876
72,100000,1,10,100,TRUE,1,ignore,27.56981557,,,19,100.1363957
73,100000,1,10,100,TRUE,2,ignore,15.44772118,,,31,163.1400354
74,100000,1,10,100,TRUE,0,ignore,52.59377514,,,29,154.8704271
75,100000,1,10,100,TRUE,1,ignore,44.06611551,,,25,135.3354127
76,100000,1,10,1000,TRUE,0,ignore,335.6010499,,,27,142.689508
77,100000,1,10,1000,TRUE,1,ignore,372.63081,,,28,145.0815487
78,100000,1,10,1000,TRUE,2,ignore,257.2589325,,,38,198.391933
79,100000,1,10,1000,TRUE,0,ignore,277.3055254,,,32,172.6604078
80,100000,1,10,1000,TRUE,1,ignore,379.4146355,,,42,222.7358632
81,100000,1,10,10000,TRUE,0,ignore,3343.789277,,,30,237.8415549
82,100000,1,10,10000,TRUE,0,ignore,3199.725404,,,15,121.8136787
83,100000,1,10,10000,TRUE,0,ignore,3468.379248,,,12,96.02770042
84,100000,1,0.1,100,TRUE,1,lme4,2.955338749,2.941437282,0.697909816,0,0.716346979
85,100000,1,0.1,100,TRUE,2,lme4,2.878039053,2.92961248,0.71715585,0,0.694582224
86,100000,1,0.1,100,TRUE,3,lme4,2.893372705,2.888669021,0.522959302,0,0.908639908
87,100000,1,0.1,100,TRUE,4,lme4,2.854564319,2.908046333,0.167954129,0,0.67999506
88,100000,1,0.1,100,TRUE,5,lme4,2.95616587,2.910496773,0.356007803,0,0.860131979
89,100000,1,0.1,1000,TRUE,1,lme4,2.988017899,2.916657711,4.313885224,0,0.732441902
90,100000,1,0.1,1000,TRUE,2,lme4,2.910367728,2.912445625,2.878537874,0,0.936137915
