,mode,N,sig2e,sig2b0,q0,experiment,exp_type,mse,sig2e_est,sig2b_est0,n_epochs,time
1,intercepts,100000,1,0.1,100,0,embed,1.271156952,,,21,35.44355536
2,intercepts,100000,1,0.1,100,0,ignore,1.698171246,,,31,42.04903531
3,intercepts,100000,1,0.1,100,0,lmm,1.196335473,1.1112458,1.8646791,16,70.46945262
4,intercepts,100000,1,0.1,100,0,menet,1.237579982,1.224582448,,53,804.1124201
5,intercepts,100000,1,0.1,100,0,ohe,1.209083111,,,31,40.22604465
6,intercepts,100000,1,0.1,100,1,embed,1.127596125,,,51,83.94956017
7,intercepts,100000,1,0.1,100,1,ignore,1.598911327,,,21,26.11632895
8,intercepts,100000,1,0.1,100,1,lme4,2.955338749,2.941437282,0.697909816,0,0.716346979
9,intercepts,100000,1,0.1,100,1,lmm,1.168428848,1.1139728,1.6020486,23,80.27883744
10,intercepts,100000,1,0.1,100,1,menet,1.572574019,1.51883078,,38,505.3695214
11,intercepts,100000,1,0.1,100,1,ohe,1.184874718,,,25,32.13331246
12,intercepts,100000,1,0.1,100,2,embed,1.163276543,,,19,32.54710054
13,intercepts,100000,1,0.1,100,2,ignore,1.488756548,,,40,82.99668121
14,intercepts,100000,1,0.1,100,2,lme4,2.878039053,2.92961248,0.71715585,0,0.694582224
15,intercepts,100000,1,0.1,100,2,lmm,1.134774279,1.039368,0.6675445,54,170.3503478
16,intercepts,100000,1,0.1,100,2,menet,1.103328823,1.09579315,,57,695.8253467
17,intercepts,100000,1,0.1,100,2,ohe,1.1480177,,,26,33.57884979
18,intercepts,100000,1,0.1,100,3,embed,1.151628027,,,28,47.0678134
19,intercepts,100000,1,0.1,100,3,ignore,1.297371516,,,31,38.15846062
20,intercepts,100000,1,0.1,100,3,lme4,2.893372705,2.888669021,0.522959302,0,0.908639908
21,intercepts,100000,1,0.1,100,3,lmm,1.098456513,1.0837036,1.0222899,39,126.403722
22,intercepts,100000,1,0.1,100,3,menet,1.20259502,1.216570176,,90,1046.856428
23,intercepts,100000,1,0.1,100,3,ohe,1.207536681,,,15,21.89741516
24,intercepts,100000,1,0.1,100,4,embed,1.139031333,,,64,105.2142985
25,intercepts,100000,1,0.1,100,4,ignore,1.301814384,,,44,53.87226892
26,intercepts,100000,1,0.1,100,4,lme4,2.854564319,2.908046333,0.167954129,0,0.67999506
27,intercepts,100000,1,0.1,100,4,lmm,1.136683891,1.1205932,1.7063313,24,83.20321536
28,intercepts,100000,1,0.1,100,4,menet,1.138281,1.116503338,,78,940.6235425
29,intercepts,100000,1,0.1,100,4,ohe,1.188077586,,,25,31.90038824
30,intercepts,100000,1,0.1,100,5,lme4,2.95616587,2.910496773,0.356007803,0,0.860131979
31,intercepts,100000,1,0.1,1000,0,embed,1.336792166,,,22,37.77797556
