,mode,N,sig2e,sig2b0,sig2b1,sig2b2,q0,q1,q2,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,n_epochs,time
1,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,0,ohe,3.605755631,,,,,24,81.79676509
2,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,0,ignore,59.8757547,,,,,25,31.98045015
3,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,0,embed,3.045460368,,,,,59,132.236815
4,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,1,ohe,4.137090363,,,,,26,84.99953675
5,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,1,ignore,64.18668184,,,,,32,40.41645503
6,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,1,embed,4.405870754,,,,,35,78.41059995
7,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,2,ohe,4.8362608,,,,,13,54.44421101
8,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,2,ignore,61.07703403,,,,,37,47.11309791
9,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,2,embed,3.707993383,,,,,25,56.52806258
10,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,3,ohe,4.659578798,,,,,14,56.82369494
11,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,3,ignore,64.03082487,,,,,27,34.3932302
12,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,3,embed,3.864793938,,,,,37,82.63294816
13,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,4,ohe,4.563046252,,,,,14,56.89225149
14,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,4,ignore,60.89897279,,,,,19,25.0810163
15,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,4,embed,3.240779171,,,,,42,93.21113467
16,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,0,ohe,13.9570341,,,,,14,56.61057472
17,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,0,ignore,360.2019895,,,,,21,26.65887094
18,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,0,embed,14.32202171,,,,,20,47.0521841
19,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,1,ohe,16.455528,,,,,15,59.9494884
20,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,1,ignore,345.703792,,,,,38,47.70350432
21,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,1,embed,18.81838406,,,,,13,29.89155889
22,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,2,ohe,12.90975632,,,,,14,56.93866801
23,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,2,ignore,319.1943187,,,,,25,31.54323316
24,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,2,embed,12.14033137,,,,,13,30.33275747
