,mode,N,sig2e,sig2b0,sig2b1,sig2b2,q0,rho0,rho1,deep,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,rho_est0,rho_est1,n_epochs,time
1,slopes,100000,1,0.5,0.5,0.5,10000,0.5,0.5,TRUE,0,ohe,1.59263731,,,,,,,12,141.944768
2,slopes,100000,1,0.5,0.5,0.5,10000,0.5,0.5,TRUE,0,lmm,1.213900212,1.121392846,0.518544674,0.588930905,0.190926224,0.374851018,0.98245728,57,1995.875377
3,slopes,100000,1,0.5,0.5,0.5,10000,0.5,0.5,TRUE,0,ignore,1.751154396,,,,,,,23,129.2531419
4,slopes,100000,1,0.5,0.5,0.5,10000,0.5,0.5,TRUE,0,embed,1.587024582,,,,,,,13,137.1683462
5,slopes,100000,1,0.5,0.5,0.5,10000,0.5,0.5,TRUE,1,ohe,1.671058036,,,,,,,12,141.1494091
6,slopes,100000,1,0.5,0.5,0.5,10000,0.5,0.5,TRUE,1,lmm,1.277750057,1.145864248,0.51250571,0.731265604,0.440630376,0.443584085,0.249473706,38,1678.882201
7,slopes,100000,1,0.5,0.5,0.5,10000,0.5,0.5,TRUE,1,ignore,1.722338483,,,,,,,30,158.9408393
8,slopes,100000,1,0.5,0.5,0.5,10000,0.5,0.5,TRUE,1,embed,1.662715275,,,,,,,14,118.4293902
9,slopes,100000,1,0.5,0.5,0.5,10000,0.5,0.5,TRUE,2,ohe,1.616806998,,,,,,,12,137.7880621
10,slopes,100000,1,0.5,0.5,0.5,10000,0.5,0.5,TRUE,2,lmm,1.188459122,1.113797307,0.511527658,0.517663479,0.197245955,0.681110084,-0.04436202,47,1810.116415
11,slopes,100000,1,0.5,0.5,0.5,10000,0.5,0.5,TRUE,2,ignore,1.784528913,,,,,,,28,152.7733495
12,slopes,100000,1,0.5,0.5,0.5,10000,0.5,0.5,TRUE,2,embed,1.594529494,,,,,,,14,123.7459986
13,slopes,100000,1,0.5,0.5,0.5,10000,0.5,0.5,TRUE,3,ohe,1.637287606,,,,,,,13,154.4007208
14,slopes,100000,1,0.5,0.5,0.5,10000,0.5,0.5,TRUE,3,lmm,1.20701116,1.117307425,0.543337107,0.569298685,1.146139383,0.270912796,0.706380725,30,1509.640395
15,slopes,100000,1,0.5,0.5,0.5,10000,0.5,0.5,TRUE,3,ignore,1.697777847,,,,,,,29,163.301111
16,slopes,100000,1,0.5,0.5,0.5,10000,0.5,0.5,TRUE,3,embed,1.627002751,,,,,,,13,128.6351697
17,slopes,100000,1,0.5,0.5,0.5,10000,0.5,0.5,TRUE,4,ohe,1.665791492,,,,,,,13,145.1388249
18,slopes,100000,1,0.5,0.5,0.5,10000,0.5,0.5,TRUE,4,lmm,1.238812042,1.148595691,0.51345098,0.637193859,0.536501825,0.41090098,0.367210299,33,1564.551481
19,slopes,100000,1,0.5,0.5,0.5,10000,0.5,0.5,TRUE,4,ignore,1.811045976,,,,,,,38,202.2250104
20,slopes,100000,1,0.5,0.5,0.5,10000,0.5,0.5,TRUE,4,embed,1.690612315,,,,,,,14,119.2650483
21,slopes,100000,1,0.5,0.5,5,10000,0.5,0.5,TRUE,0,ohe,1.680849302,,,,,,,12,136.8352239
22,slopes,100000,1,0.5,0.5,5,10000,0.5,0.5,TRUE,0,lmm,1.235049487,1.128779769,0.525868297,0.688261211,4.080449104,0.162748262,0.7483477,45,1727.174728
23,slopes,100000,1,0.5,0.5,5,10000,0.5,0.5,TRUE,0,ignore,1.806474455,,,,,,,29,154.3551977
24,slopes,100000,1,0.5,0.5,5,10000,0.5,0.5,TRUE,0,embed,1.656244219,,,,,,,13,115.5715444
25,slopes,100000,1,0.5,0.5,5,10000,0.5,0.5,TRUE,1,ohe,1.663300104,,,,,,,13,149.8490777
26,slopes,100000,1,0.5,0.5,5,10000,0.5,0.5,TRUE,1,lmm,1.281319096,1.18534708,0.501951873,1.486758351,3.160149574,0.25359115,0.388217151,21,1334.493229
27,slopes,100000,1,0.5,0.5,5,10000,0.5,0.5,TRUE,1,ignore,1.874154114,,,,,,,30,159.6011212
28,slopes,100000,1,0.5,0.5,5,10000,0.5,0.5,TRUE,1,embed,1.660466405,,,,,,,13,112.2656186
29,slopes,100000,1,0.5,0.5,5,10000,0.5,0.5,TRUE,2,ohe,1.704180856,,,,,,,13,145.3561025
30,slopes,100000,1,0.5,0.5,5,10000,0.5,0.5,TRUE,2,lmm,1.270939133,1.160218835,0.49728784,0.906458557,3.309108257,0.222609192,0.644568622,31,1493.272613
31,slopes,100000,1,0.5,0.5,5,10000,0.5,0.5,TRUE,2,ignore,1.933813175,,,,,,,24,128.9344287
32,slopes,100000,1,0.5,0.5,5,10000,0.5,0.5,TRUE,2,embed,1.678109878,,,,,,,13,111.307076
33,slopes,100000,1,0.5,0.5,5,10000,0.5,0.5,TRUE,3,ohe,1.645742134,,,,,,,12,137.3319798
34,slopes,100000,1,0.5,0.5,5,10000,0.5,0.5,TRUE,3,lmm,1.277448554,1.087264776,0.506412446,1.080289841,3.292538643,0.16826655,0.716546297,41,1666.825784
35,slopes,100000,1,0.5,0.5,5,10000,0.5,0.5,TRUE,3,ignore,1.841540392,,,,,,,23,122.490608
36,slopes,100000,1,0.5,0.5,5,10000,0.5,0.5,TRUE,3,embed,1.605918833,,,,,,,13,112.6402888
37,slopes,100000,1,0.5,0.5,5,10000,0.5,0.5,TRUE,4,ohe,1.667058421,,,,,,,12,137.4793768
38,slopes,100000,1,0.5,0.5,5,10000,0.5,0.5,TRUE,4,lmm,1.266865986,1.157906413,0.50640583,1.113387346,4.235351086,0.264762044,0.478789389,39,1615.751398
39,slopes,100000,1,0.5,0.5,5,10000,0.5,0.5,TRUE,4,ignore,1.932002052,,,,,,,38,204.4044857
40,slopes,100000,1,0.5,0.5,5,10000,0.5,0.5,TRUE,4,embed,1.675558574,,,,,,,14,122.5480349
41,slopes,100000,1,0.5,5,0.5,10000,0.5,0.5,TRUE,0,ohe,1.768166458,,,,,,,13,146.0272796
42,slopes,100000,1,0.5,5,0.5,10000,0.5,0.5,TRUE,0,lmm,1.299878235,1.13665545,0.504139602,4.852617264,1.591856837,0.440190941,0.452131391,44,1741.160317
43,slopes,100000,1,0.5,5,0.5,10000,0.5,0.5,TRUE,0,ignore,2.201738306,,,,,,,15,80.68640637
44,slopes,100000,1,0.5,5,0.5,10000,0.5,0.5,TRUE,0,embed,1.689406081,,,,,,,13,113.0643942
45,slopes,100000,1,0.5,5,0.5,10000,0.5,0.5,TRUE,1,ohe,1.766965304,,,,,,,13,146.6109297
46,slopes,100000,1,0.5,5,0.5,10000,0.5,0.5,TRUE,1,lmm,1.2550909,1.141873002,0.477071613,4.564943314,2.712295055,0.587512851,0.012051351,54,1872.581107
47,slopes,100000,1,0.5,5,0.5,10000,0.5,0.5,TRUE,1,ignore,2.152621748,,,,,,,22,118.7101126
48,slopes,100000,1,0.5,5,0.5,10000,0.5,0.5,TRUE,1,embed,1.696691095,,,,,,,14,122.8838685
49,slopes,100000,1,0.5,5,0.5,10000,0.5,0.5,TRUE,2,ohe,1.682024261,,,,,,,13,145.9291387
50,slopes,100000,1,0.5,5,0.5,10000,0.5,0.5,TRUE,2,lmm,1.265985764,1.133651137,0.488554955,5.151314259,2.68700552,0.57692486,-0.039989281,29,1482.512929
51,slopes,100000,1,0.5,5,0.5,10000,0.5,0.5,TRUE,2,ignore,2.134194093,,,,,,,33,174.0080287
52,slopes,100000,1,0.5,5,0.5,10000,0.5,0.5,TRUE,2,embed,1.691205398,,,,,,,13,113.2350004
53,slopes,100000,1,0.5,5,0.5,10000,0.5,0.5,TRUE,3,ohe,1.70207791,,,,,,,13,144.2554331
54,slopes,100000,1,0.5,5,0.5,10000,0.5,0.5,TRUE,3,lmm,1.278615416,1.137061,0.518236756,5.315698147,3.279731989,0.4236826,0.374507964,38,1586.633311
55,slopes,100000,1,0.5,5,0.5,10000,0.5,0.5,TRUE,3,ignore,1.989506162,,,,,,,39,210.2504554
56,slopes,100000,1,0.5,5,0.5,10000,0.5,0.5,TRUE,3,embed,1.706804323,,,,,,,14,122.6147003
57,slopes,100000,1,0.5,5,0.5,10000,0.5,0.5,TRUE,4,ohe,1.679977944,,,,,,,14,152.8738494
58,slopes,100000,1,0.5,5,0.5,10000,0.5,0.5,TRUE,4,lmm,1.218031585,1.141954064,0.511267781,4.305027485,3.046586037,0.679278731,-0.060672153,64,1981.447727
59,slopes,100000,1,0.5,5,0.5,10000,0.5,0.5,TRUE,4,ignore,2.131335655,,,,,,,38,204.2681391
60,slopes,100000,1,0.5,5,0.5,10000,0.5,0.5,TRUE,4,embed,1.725590699,,,,,,,14,121.4285891
61,slopes,100000,1,0.5,5,5,10000,0.5,0.5,TRUE,0,ohe,1.749070297,,,,,,,12,136.4479468
62,slopes,100000,1,0.5,5,5,10000,0.5,0.5,TRUE,0,lmm,1.283165582,1.166511774,0.489753932,4.635183811,3.896128178,0.548945367,0.601334453,37,1563.272848
63,slopes,100000,1,0.5,5,5,10000,0.5,0.5,TRUE,0,ignore,2.180082903,,,,,,,27,146.1268582
64,slopes,100000,1,0.5,5,5,10000,0.5,0.5,TRUE,0,embed,1.738047488,,,,,,,14,120.9338956
65,slopes,100000,1,0.5,5,5,10000,0.5,0.5,TRUE,1,ohe,1.690789418,,,,,,,13,144.9231017
66,slopes,100000,1,0.5,5,5,10000,0.5,0.5,TRUE,1,lmm,1.295757234,1.090507746,0.529667974,5.241257668,5.448754787,0.556962371,0.368408382,56,1933.659853
67,slopes,100000,1,0.5,5,5,10000,0.5,0.5,TRUE,1,ignore,2.276321508,,,,,,,32,169.6772075
68,slopes,100000,1,0.5,5,5,10000,0.5,0.5,TRUE,1,embed,1.803274554,,,,,,,14,117.6026387
69,slopes,100000,1,0.5,5,5,10000,0.5,0.5,TRUE,2,ohe,1.70569657,,,,,,,13,148.1770179
70,slopes,100000,1,0.5,5,5,10000,0.5,0.5,TRUE,2,lmm,1.259052664,1.161329985,0.479067862,5.302390575,4.18679142,0.495758474,0.531685829,33,1576.266909
71,slopes,100000,1,0.5,5,5,10000,0.5,0.5,TRUE,2,ignore,2.131045968,,,,,,,46,243.1109555
72,slopes,100000,1,0.5,5,5,10000,0.5,0.5,TRUE,2,embed,1.672234438,,,,,,,13,111.2189949
73,slopes,100000,1,0.5,5,5,10000,0.5,0.5,TRUE,3,ohe,1.680661138,,,,,,,14,153.5286443
74,slopes,100000,1,0.5,5,5,10000,0.5,0.5,TRUE,3,lmm,1.252787703,1.122700334,0.477973372,5.26966095,6.317713737,0.505896688,0.47955659,36,1562.98788
75,slopes,100000,1,0.5,5,5,10000,0.5,0.5,TRUE,3,ignore,2.189138783,,,,,,,13,68.55591846
76,slopes,100000,1,0.5,5,5,10000,0.5,0.5,TRUE,3,embed,1.708528432,,,,,,,13,109.8831291
77,slopes,100000,1,0.5,5,5,10000,0.5,0.5,TRUE,4,ohe,1.710558657,,,,,,,12,138.2557523
78,slopes,100000,1,0.5,5,5,10000,0.5,0.5,TRUE,4,lmm,1.293124521,1.115502238,0.511383653,5.465189934,5.453698158,0.392012537,0.480955273,46,1728.910915
79,slopes,100000,1,0.5,5,5,10000,0.5,0.5,TRUE,4,ignore,2.128243724,,,,,,,50,267.6409423
80,slopes,100000,1,0.5,5,5,10000,0.5,0.5,TRUE,4,embed,1.709050694,,,,,,,14,116.8877394
81,slopes,100000,1,5,0.5,0.5,10000,0.5,0.5,TRUE,0,ohe,2.147428806,,,,,,,17,180.2558239
82,slopes,100000,1,5,0.5,0.5,10000,0.5,0.5,TRUE,0,lmm,1.394146353,1.148487687,5.010275841,0.579964936,0.574930072,0.314287037,0.353261441,25,1430.062241
83,slopes,100000,1,5,0.5,0.5,10000,0.5,0.5,TRUE,0,ignore,6.4022597,,,,,,,59,312.0646513
84,slopes,100000,1,5,0.5,0.5,10000,0.5,0.5,TRUE,0,embed,1.85990864,,,,,,,17,144.0281122
85,slopes,100000,1,5,0.5,0.5,10000,0.5,0.5,TRUE,1,ohe,2.086075196,,,,,,,15,163.2409892
86,slopes,100000,1,5,0.5,0.5,10000,0.5,0.5,TRUE,1,lmm,1.29409936,1.123422146,5.061577797,0.454571575,1.258394122,0.514959633,0.498842865,31,1528.41604
87,slopes,100000,1,5,0.5,0.5,10000,0.5,0.5,TRUE,1,ignore,6.765272817,,,,,,,21,113.3674495
88,slopes,100000,1,5,0.5,0.5,10000,0.5,0.5,TRUE,1,embed,1.95519188,,,,,,,15,129.736865
89,slopes,100000,1,5,0.5,0.5,10000,0.5,0.5,TRUE,2,ohe,2.197553869,,,,,,,13,146.2235112
90,slopes,100000,1,5,0.5,0.5,10000,0.5,0.5,TRUE,2,lmm,1.32699544,1.152467608,4.951239586,0.655477941,0.742932677,0.332828641,0.704520524,34,1562.50569
91,slopes,100000,1,5,0.5,0.5,10000,0.5,0.5,TRUE,2,ignore,6.475622814,,,,,,,41,217.3297853
92,slopes,100000,1,5,0.5,0.5,10000,0.5,0.5,TRUE,2,embed,2.038536158,,,,,,,17,144.8939207
93,slopes,100000,1,5,0.5,0.5,10000,0.5,0.5,TRUE,3,ohe,2.066207216,,,,,,,15,161.3891549
94,slopes,100000,1,5,0.5,0.5,10000,0.5,0.5,TRUE,3,lmm,1.252794813,1.14094007,4.992477894,0.869200408,0.526789606,0.348880351,0.409588814,36,1609.982872
95,slopes,100000,1,5,0.5,0.5,10000,0.5,0.5,TRUE,3,ignore,6.508881527,,,,,,,35,188.1090212
96,slopes,100000,1,5,0.5,0.5,10000,0.5,0.5,TRUE,3,embed,1.91808551,,,,,,,17,145.2635517
97,slopes,100000,1,5,0.5,0.5,10000,0.5,0.5,TRUE,4,ohe,1.948431173,,,,,,,14,154.8415895
98,slopes,100000,1,5,0.5,0.5,10000,0.5,0.5,TRUE,4,lmm,1.326488278,1.149126172,4.98414135,0.582847178,0.24038358,0.505903065,0.216478452,26,1417.562339
99,slopes,100000,1,5,0.5,0.5,10000,0.5,0.5,TRUE,4,ignore,6.526506349,,,,,,,39,206.028558
100,slopes,100000,1,5,0.5,0.5,10000,0.5,0.5,TRUE,4,embed,1.883555835,,,,,,,14,118.8876736
101,slopes,100000,1,5,0.5,5,10000,0.5,0.5,TRUE,0,ohe,2.137647818,,,,,,,12,138.1865454
102,slopes,100000,1,5,0.5,5,10000,0.5,0.5,TRUE,0,lmm,1.274088397,1.112460136,4.974114418,1.09401834,5.085020065,0.425374806,0.427727729,53,1835.484642
103,slopes,100000,1,5,0.5,5,10000,0.5,0.5,TRUE,0,ignore,6.931757096,,,,,,,20,110.3740807
104,slopes,100000,1,5,0.5,5,10000,0.5,0.5,TRUE,0,embed,1.936362704,,,,,,,15,127.4803202
105,slopes,100000,1,5,0.5,5,10000,0.5,0.5,TRUE,1,ohe,2.083432187,,,,,,,13,146.1905119
106,slopes,100000,1,5,0.5,5,10000,0.5,0.5,TRUE,1,lmm,1.328167366,1.125765443,5.215135098,0.89331764,4.532703876,0.262377709,0.585628867,50,1823.495999
107,slopes,100000,1,5,0.5,5,10000,0.5,0.5,TRUE,1,ignore,6.82141982,,,,,,,28,149.3150725
108,slopes,100000,1,5,0.5,5,10000,0.5,0.5,TRUE,1,embed,2.019730714,,,,,,,15,129.424619
109,slopes,100000,1,5,0.5,5,10000,0.5,0.5,TRUE,2,ohe,2.114342654,,,,,,,14,154.1507161
110,slopes,100000,1,5,0.5,5,10000,0.5,0.5,TRUE,2,lmm,1.279256305,1.133642912,4.942966461,1.456023574,2.895354271,0.296780705,0.568370223,31,1497.906203
111,slopes,100000,1,5,0.5,5,10000,0.5,0.5,TRUE,2,ignore,6.629043864,,,,,,,23,120.8587427
112,slopes,100000,1,5,0.5,5,10000,0.5,0.5,TRUE,2,embed,2.063579321,,,,,,,18,153.2113562
113,slopes,100000,1,5,0.5,5,10000,0.5,0.5,TRUE,3,ohe,2.23460444,,,,,,,16,172.8136466
114,slopes,100000,1,5,0.5,5,10000,0.5,0.5,TRUE,3,lmm,1.334350005,1.146428585,4.860020638,0.947860837,4.299998283,0.483204335,0.37923789,31,1524.905612
115,slopes,100000,1,5,0.5,5,10000,0.5,0.5,TRUE,3,ignore,6.510193984,,,,,,,22,117.7705231
116,slopes,100000,1,5,0.5,5,10000,0.5,0.5,TRUE,3,embed,2.003928849,,,,,,,19,161.5994549
117,slopes,100000,1,5,0.5,5,10000,0.5,0.5,TRUE,4,ohe,2.204298585,,,,,,,13,147.8570566
118,slopes,100000,1,5,0.5,5,10000,0.5,0.5,TRUE,4,lmm,1.237320714,1.149868369,5.178391933,0.972068787,3.836023808,0.302462608,0.580472231,39,1639.009477
119,slopes,100000,1,5,0.5,5,10000,0.5,0.5,TRUE,4,ignore,6.954399858,,,,,,,20,107.1637957
120,slopes,100000,1,5,0.5,5,10000,0.5,0.5,TRUE,4,embed,1.923960612,,,,,,,16,138.1566012
121,slopes,100000,1,5,5,0.5,10000,0.5,0.5,TRUE,0,ohe,2.246477684,,,,,,,18,189.467689
122,slopes,100000,1,5,5,0.5,10000,0.5,0.5,TRUE,0,lmm,1.33514731,1.186368108,4.949129105,4.770857334,2.436074018,0.538410425,0.302751511,18,1316.922397
123,slopes,100000,1,5,5,0.5,10000,0.5,0.5,TRUE,0,ignore,7.44352579,,,,,,,33,173.8309617
124,slopes,100000,1,5,5,0.5,10000,0.5,0.5,TRUE,0,embed,2.168148282,,,,,,,20,168.6461225
125,slopes,100000,1,5,5,0.5,10000,0.5,0.5,TRUE,1,ohe,2.204024827,,,,,,,13,143.7211318
126,slopes,100000,1,5,5,0.5,10000,0.5,0.5,TRUE,1,lmm,1.346795784,1.138870955,4.992007256,4.070575237,2.570273638,0.684733391,0.049155261,35,1604.869768
127,slopes,100000,1,5,5,0.5,10000,0.5,0.5,TRUE,1,ignore,7.246991092,,,,,,,22,116.458215
128,slopes,100000,1,5,5,0.5,10000,0.5,0.5,TRUE,1,embed,2.012491974,,,,,,,16,135.5927162
129,slopes,100000,1,5,5,0.5,10000,0.5,0.5,TRUE,2,ohe,2.064276693,,,,,,,15,158.9302733
130,slopes,100000,1,5,5,0.5,10000,0.5,0.5,TRUE,2,lmm,1.325768147,1.116369724,4.913825512,5.067163944,2.043305635,0.432873011,0.460777432,45,1741.991302
131,slopes,100000,1,5,5,0.5,10000,0.5,0.5,TRUE,2,ignore,7.244678389,,,,,,,25,133.3735287
132,slopes,100000,1,5,5,0.5,10000,0.5,0.5,TRUE,2,embed,2.101787828,,,,,,,20,169.0912497
133,slopes,100000,1,5,5,0.5,10000,0.5,0.5,TRUE,3,ohe,2.061650486,,,,,,,13,145.9046121
134,slopes,100000,1,5,5,0.5,10000,0.5,0.5,TRUE,3,lmm,1.29128805,1.156713128,5.026031017,4.21275425,2.631673813,0.673263967,-0.165935487,35,1623.63082
135,slopes,100000,1,5,5,0.5,10000,0.5,0.5,TRUE,3,ignore,7.175383098,,,,,,,40,214.3905716
136,slopes,100000,1,5,5,0.5,10000,0.5,0.5,TRUE,3,embed,2.035027353,,,,,,,14,118.5367682
137,slopes,100000,1,5,5,0.5,10000,0.5,0.5,TRUE,4,ohe,2.153253341,,,,,,,14,154.4893162
138,slopes,100000,1,5,5,0.5,10000,0.5,0.5,TRUE,4,lmm,1.30442679,1.125003695,4.920872688,4.617593765,3.118269444,0.54348582,0.133783832,42,1697.579139
139,slopes,100000,1,5,5,0.5,10000,0.5,0.5,TRUE,4,ignore,7.262645044,,,,,,,20,107.7364826
140,slopes,100000,1,5,5,0.5,10000,0.5,0.5,TRUE,4,embed,1.991307013,,,,,,,16,136.1297972
141,slopes,100000,1,5,5,5,10000,0.5,0.5,TRUE,0,ohe,2.256199056,,,,,,,13,146.7606955
142,slopes,100000,1,5,5,5,10000,0.5,0.5,TRUE,0,lmm,1.292169862,1.121123433,4.993155479,5.077275276,5.487578869,0.447948247,0.435972631,47,1773.123905
143,slopes,100000,1,5,5,5,10000,0.5,0.5,TRUE,0,ignore,7.319241619,,,,,,,18,95.75684595
144,slopes,100000,1,5,5,5,10000,0.5,0.5,TRUE,0,embed,2.114067033,,,,,,,20,172.0093043
145,slopes,100000,1,5,5,5,10000,0.5,0.5,TRUE,1,ohe,2.080086102,,,,,,,13,165.9296563
146,slopes,100000,1,5,5,5,10000,0.5,0.5,TRUE,1,lmm,1.346865412,1.116504431,4.851233482,4.793908119,5.601304531,0.473728478,0.40456146,40,1676.583865
147,slopes,100000,1,5,5,5,10000,0.5,0.5,TRUE,1,ignore,7.194878888,,,,,,,37,212.7252786
148,slopes,100000,1,5,5,5,10000,0.5,0.5,TRUE,1,embed,2.035483731,,,,,,,15,135.3915191
149,slopes,100000,1,5,5,5,10000,0.5,0.5,TRUE,2,ohe,2.236642446,,,,,,,14,156.1408832
150,slopes,100000,1,5,5,5,10000,0.5,0.5,TRUE,2,lmm,1.318375808,1.159623623,5.010055065,5.186044693,5.054304123,0.485232651,0.566902399,29,1525.907265
151,slopes,100000,1,5,5,5,10000,0.5,0.5,TRUE,2,ignore,7.428865617,,,,,,,20,107.1134553
152,slopes,100000,1,5,5,5,10000,0.5,0.5,TRUE,2,embed,1.977703975,,,,,,,16,138.557579
153,slopes,100000,1,5,5,5,10000,0.5,0.5,TRUE,3,ohe,2.302275665,,,,,,,14,151.9577689
154,slopes,100000,1,5,5,5,10000,0.5,0.5,TRUE,3,lmm,1.331279099,1.117188573,5.08862257,4.915839195,5.841436386,0.5235551,0.454952717,34,1589.511808
155,slopes,100000,1,5,5,5,10000,0.5,0.5,TRUE,3,ignore,7.887213303,,,,,,,25,135.1182165
156,slopes,100000,1,5,5,5,10000,0.5,0.5,TRUE,3,embed,2.095659047,,,,,,,15,127.4315567
157,slopes,100000,1,5,5,5,10000,0.5,0.5,TRUE,4,ohe,1.947551111,,,,,,,17,182.5096693
158,slopes,100000,1,5,5,5,10000,0.5,0.5,TRUE,4,lmm,1.328444786,1.146706104,5.028048515,5.363428593,5.202756405,0.498448074,0.327881426,25,1419.961126
159,slopes,100000,1,5,5,5,10000,0.5,0.5,TRUE,4,ignore,7.688701376,,,,,,,25,132.4703672
160,slopes,100000,1,5,5,5,10000,0.5,0.5,TRUE,4,embed,2.10744734,,,,,,,18,157.4908628
