,mode,N,sig2e,sig2b0,sig2b1,sig2b2,q0,rho0,rho1,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,rho_est0,rho_est1,n_epochs,time
1,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,0,ohe,1.718160525,,,,,,,13,90.8668828
2,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,0,ignore,1.636883477,,,,,,,26,35.85837889
3,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,0,embed,1.706140875,,,,,,,15,28.00884366
4,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,1,ohe,1.728360652,,,,,,,13,88.28696322
5,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,1,ignore,1.639493432,,,,,,,16,22.19089603
6,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,1,embed,1.786614881,,,,,,,14,26.21060586
7,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,2,ohe,1.66783004,,,,,,,12,84.01421714
8,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,2,ignore,1.603331485,,,,,,,21,28.88804603
9,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,2,embed,1.746473135,,,,,,,16,29.53910613
10,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,3,ohe,1.801337471,,,,,,,13,87.06325388
11,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,3,ignore,1.724157367,,,,,,,17,23.2292645
12,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,3,embed,1.684682187,,,,,,,15,27.47545075
13,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,4,ohe,1.787772143,,,,,,,13,86.13355565
14,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,4,ignore,1.665704556,,,,,,,29,38.80942249
15,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,4,embed,1.679645781,,,,,,,14,25.91161823
16,slopes,100000,1,0.3,0.3,3,10000,0.3,0.3,0,ohe,1.810961593,,,,,,,12,82.34508777
17,slopes,100000,1,0.3,0.3,3,10000,0.3,0.3,0,ignore,1.716408183,,,,,,,37,48.36535764
