,mode,N,sig2e,sig2b0,sig2b1,sig2b2,q0,rho0,rho1,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,rho_est0,rho_est1,n_epochs,time
1,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,0,embed,1.602411731,,,,,,,15,27.48112035
2,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,1,embed,1.664696614,,,,,,,14,25.74345994
3,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,2,embed,1.653552709,,,,,,,15,27.42901921
4,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,3,embed,1.608913286,,,,,,,15,27.63268852
5,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,4,embed,1.621346157,,,,,,,15,27.8519938
6,slopes,100000,1,0.3,0.3,3,10000,0.3,0.3,0,embed,1.617137729,,,,,,,14,25.81558967
7,slopes,100000,1,0.3,0.3,3,10000,0.3,0.3,1,embed,1.660230258,,,,,,,16,29.2007513
8,slopes,100000,1,0.3,0.3,3,10000,0.3,0.3,2,embed,1.633813005,,,,,,,14,25.99138975
9,slopes,100000,1,0.3,0.3,3,10000,0.3,0.3,3,embed,1.630484596,,,,,,,14,25.75205016
10,slopes,100000,1,0.3,0.3,3,10000,0.3,0.3,4,embed,1.676391834,,,,,,,15,27.38504076
11,slopes,100000,1,0.3,3,0.3,10000,0.3,0.3,0,embed,1.685748002,,,,,,,15,27.24921107
12,slopes,100000,1,0.3,3,0.3,10000,0.3,0.3,1,embed,1.688786926,,,,,,,15,27.35286188
13,slopes,100000,1,0.3,3,0.3,10000,0.3,0.3,2,embed,1.639115351,,,,,,,14,25.77652311
14,slopes,100000,1,0.3,3,0.3,10000,0.3,0.3,3,embed,1.636784758,,,,,,,14,25.51875114
15,slopes,100000,1,0.3,3,0.3,10000,0.3,0.3,4,embed,1.672818512,,,,,,,14,25.99895287
16,slopes,100000,1,0.3,3,3,10000,0.3,0.3,0,embed,1.67431956,,,,,,,14,25.79322886
17,slopes,100000,1,0.3,3,3,10000,0.3,0.3,1,embed,1.653901469,,,,,,,14,26.35825944
18,slopes,100000,1,0.3,3,3,10000,0.3,0.3,2,embed,1.655586733,,,,,,,14,25.8790555
19,slopes,100000,1,0.3,3,3,10000,0.3,0.3,3,embed,1.633602674,,,,,,,16,29.77582812
20,slopes,100000,1,0.3,3,3,10000,0.3,0.3,4,embed,1.691723604,,,,,,,15,27.21976614
21,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,0,embed,1.751325386,,,,,,,17,31.16986585
22,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,1,embed,1.85165744,,,,,,,16,29.30430007
23,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,2,embed,1.826047469,,,,,,,19,34.38881373
24,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,3,embed,1.831697272,,,,,,,15,28.04702234
25,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,4,embed,1.745019924,,,,,,,15,28.14499807
26,slopes,100000,1,3,0.3,3,10000,0.3,0.3,0,embed,1.855565898,,,,,,,16,29.84011722
27,slopes,100000,1,3,0.3,3,10000,0.3,0.3,1,embed,1.869265798,,,,,,,15,28.07781243
28,slopes,100000,1,3,0.3,3,10000,0.3,0.3,2,embed,1.823582337,,,,,,,16,29.78153062
29,slopes,100000,1,3,0.3,3,10000,0.3,0.3,3,embed,1.875741188,,,,,,,18,32.82540011
30,slopes,100000,1,3,0.3,3,10000,0.3,0.3,4,embed,1.973796426,,,,,,,16,29.18996453
31,slopes,100000,1,3,3,0.3,10000,0.3,0.3,0,embed,1.841905365,,,,,,,17,30.77938056
32,slopes,100000,1,3,3,0.3,10000,0.3,0.3,1,embed,1.858562096,,,,,,,18,32.43024945
33,slopes,100000,1,3,3,0.3,10000,0.3,0.3,2,embed,1.87871803,,,,,,,17,31.17519641
