,mode,N,sig2e,sig2b0,sig2b1,q0,deep,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,n_epochs,time
1,spatial,100000,1.0,0.1,0.1,100,True,0,ohe,1.1999718380284146,,,,31,57.72144317626953
2,spatial,100000,1.0,0.1,0.1,100,True,0,lmm,1.1051773562571705,1.1289587020874023,0.11662482470273972,3.161860227584839,56,321.1249635219574
3,spatial,100000,1.0,0.1,0.1,100,True,0,ignore,1.2685020241734046,,,,22,37.7327094078064
4,spatial,100000,1.0,0.1,0.1,100,True,0,embed,1.1445050194570068,,,,21,55.7741334438324
5,spatial,100000,1.0,0.1,0.1,100,True,1,ohe,1.2368436114093218,,,,21,37.479785203933716
6,spatial,100000,1.0,0.1,0.1,100,True,1,lmm,1.087814348536785,1.108820915222168,0.0898001417517662,0.06395816802978516,54,321.23802638053894
7,spatial,100000,1.0,0.1,0.1,100,True,1,ignore,1.2272519137707472,,,,40,68.11802840232849
8,spatial,100000,1.0,0.1,0.1,100,True,1,embed,1.1999882743650405,,,,49,121.54828524589539
9,spatial,100000,1.0,0.1,0.1,100,True,2,ohe,1.2343263678998804,,,,19,33.879279136657715
10,spatial,100000,1.0,0.1,0.1,100,True,2,lmm,1.0991283545744455,1.107982873916626,0.15225467085838318,0.9849058389663696,59,334.38678526878357
11,spatial,100000,1.0,0.1,0.1,100,True,2,ignore,1.2831332896441145,,,,23,39.57709455490112
12,spatial,100000,1.0,0.1,0.1,100,True,2,embed,1.2254952604096103,,,,49,123.04388523101807
13,spatial,100000,1.0,0.1,0.1,100,True,3,ohe,1.1869951478249867,,,,32,55.6708619594574
14,spatial,100000,1.0,0.1,0.1,100,True,3,lmm,1.1468581336305126,1.1067472696304321,0.13737162947654724,1.3409487009048462,49,293.9484429359436
15,spatial,100000,1.0,0.1,0.1,100,True,3,ignore,1.26002978872654,,,,68,113.98590564727783
16,spatial,100000,1.0,0.1,0.1,100,True,3,embed,1.2674745656577402,,,,17,44.71808695793152
17,spatial,100000,1.0,0.1,0.1,100,True,4,ohe,1.1861516417961924,,,,23,41.407535552978516
18,spatial,100000,1.0,0.1,0.1,100,True,4,lmm,1.0567820514199113,1.112736463546753,0.0836339220404625,0.02141483686864376,61,489.6534583568573
19,spatial,100000,1.0,0.1,0.1,100,True,4,ignore,1.230660893152459,,,,18,31.572409868240356
20,spatial,100000,1.0,0.1,0.1,100,True,4,embed,1.1473881205193683,,,,41,103.68286275863647
21,spatial,100000,1.0,0.1,1.0,100,True,0,ohe,1.1521325245187382,,,,33,58.68891429901123
22,spatial,100000,1.0,0.1,1.0,100,True,0,lmm,1.1064794222674983,1.143891453742981,0.1150844469666481,0.6768244504928589,31,187.5053141117096
23,spatial,100000,1.0,0.1,1.0,100,True,0,ignore,1.2222785663508415,,,,24,41.89171528816223
24,spatial,100000,1.0,0.1,1.0,100,True,0,embed,1.1013868794452688,,,,49,128.4060730934143
25,spatial,100000,1.0,0.1,1.0,100,True,1,ohe,1.1761608210085903,,,,39,66.80090355873108
26,spatial,100000,1.0,0.1,1.0,100,True,1,lmm,1.088365657892472,1.1088773012161255,0.10602890700101852,0.07755808532238007,55,310.5868241786957
27,spatial,100000,1.0,0.1,1.0,100,True,1,ignore,1.2235205809302827,,,,41,69.1955361366272
28,spatial,100000,1.0,0.1,1.0,100,True,1,embed,1.1869654510708552,,,,22,59.89060425758362
29,spatial,100000,1.0,0.1,1.0,100,True,2,ohe,1.2439696159369618,,,,26,46.01633071899414
30,spatial,100000,1.0,0.1,1.0,100,True,2,lmm,1.0916339060155595,1.1227136850357056,0.07902820408344269,0.67215895652771,27,166.46676397323608
31,spatial,100000,1.0,0.1,1.0,100,True,2,ignore,1.2876701884512782,,,,20,36.186118841171265
32,spatial,100000,1.0,0.1,1.0,100,True,2,embed,1.1879750816991081,,,,21,56.48469138145447
33,spatial,100000,1.0,0.1,1.0,100,True,3,ohe,1.232803145999346,,,,32,55.65957069396973
34,spatial,100000,1.0,0.1,1.0,100,True,3,lmm,1.1601011755308823,1.1237404346466064,0.13490137457847595,2.979517698287964,55,308.3497796058655
35,spatial,100000,1.0,0.1,1.0,100,True,3,ignore,1.2913943100251335,,,,41,71.62124562263489
36,spatial,100000,1.0,0.1,1.0,100,True,3,embed,1.2248559211298686,,,,50,129.9418077468872
37,spatial,100000,1.0,0.1,1.0,100,True,4,ohe,1.2622295506061503,,,,25,44.15317630767822
38,spatial,100000,1.0,0.1,1.0,100,True,4,lmm,1.1193753051550739,1.1282503604888916,0.10109949111938477,1.6348557472229004,46,271.953476190567
39,spatial,100000,1.0,0.1,1.0,100,True,4,ignore,1.2643748180730898,,,,22,39.55141091346741
40,spatial,100000,1.0,0.1,1.0,100,True,4,embed,1.2712735944181053,,,,17,46.086974143981934
41,spatial,100000,1.0,0.1,10.0,100,True,0,ohe,1.213862605844904,,,,40,69.30663418769836
42,spatial,100000,1.0,0.1,10.0,100,True,0,lmm,1.115938602054134,1.1359808444976807,0.1475892812013626,2.5324912071228027,44,252.32710933685303
43,spatial,100000,1.0,0.1,10.0,100,True,0,ignore,1.1938793858608425,,,,25,43.37390851974487
44,spatial,100000,1.0,0.1,10.0,100,True,0,embed,1.2809197269984918,,,,16,42.34707808494568
45,spatial,100000,1.0,0.1,10.0,100,True,1,ohe,1.2329010534312976,,,,31,55.024404525756836
46,spatial,100000,1.0,0.1,10.0,100,True,1,lmm,1.1029584713898648,1.1125439405441284,0.20329207181930542,2.3091182708740234,56,340.68090867996216
47,spatial,100000,1.0,0.1,10.0,100,True,1,ignore,1.2208257306709662,,,,40,69.13149523735046
48,spatial,100000,1.0,0.1,10.0,100,True,1,embed,1.216582255765358,,,,22,57.42407417297363
49,spatial,100000,1.0,0.1,10.0,100,True,2,ohe,1.2292123438439626,,,,22,42.40613007545471
50,spatial,100000,1.0,0.1,10.0,100,True,2,lmm,1.0954058964503517,1.1211134195327759,0.08200999349355698,0.6550571322441101,36,231.2077043056488
51,spatial,100000,1.0,0.1,10.0,100,True,2,ignore,1.1897126415791401,,,,31,55.72286534309387
52,spatial,100000,1.0,0.1,10.0,100,True,2,embed,1.1745646573352404,,,,24,66.64110445976257
53,spatial,100000,1.0,0.1,10.0,100,True,3,ohe,1.136047008684458,,,,57,99.3033037185669
54,spatial,100000,1.0,0.1,10.0,100,True,3,lmm,1.1169668751263757,1.1101746559143066,0.04919155314564705,0.9874659180641174,60,337.89407086372375
55,spatial,100000,1.0,0.1,10.0,100,True,3,ignore,1.2154442071710179,,,,29,48.968435764312744
56,spatial,100000,1.0,0.1,10.0,100,True,3,embed,1.1888209793217999,,,,22,59.18374752998352
57,spatial,100000,1.0,0.1,10.0,100,True,4,ohe,1.1780234404024372,,,,36,63.06277394294739
58,spatial,100000,1.0,0.1,10.0,100,True,4,lmm,1.0629046918700686,1.1234575510025024,0.13374048471450806,4.562936782836914,59,330.8844668865204
59,spatial,100000,1.0,0.1,10.0,100,True,4,ignore,1.2300031876316115,,,,21,37.26386475563049
60,spatial,100000,1.0,0.1,10.0,100,True,4,embed,1.1307124923821963,,,,52,134.67276978492737
61,spatial,100000,1.0,1.0,0.1,100,True,0,ohe,1.2771729754898191,,,,59,100.78232717514038
62,spatial,100000,1.0,1.0,0.1,100,True,0,lmm,1.0818432179173099,1.0958198308944702,0.8818248510360718,0.006442517973482609,64,366.72765374183655
63,spatial,100000,1.0,1.0,0.1,100,True,0,ignore,1.6528488588402401,,,,43,73.53224420547485
64,spatial,100000,1.0,1.0,0.1,100,True,0,embed,1.2736727543778124,,,,31,78.38853907585144
65,spatial,100000,1.0,1.0,0.1,100,True,1,ohe,1.2837084425244052,,,,36,62.636008739471436
66,spatial,100000,1.0,1.0,0.1,100,True,1,lmm,1.075217356719003,1.1283040046691895,0.9915444850921631,0.23382316529750824,37,220.67328786849976
67,spatial,100000,1.0,1.0,0.1,100,True,1,ignore,1.5685403258257486,,,,80,134.7221143245697
68,spatial,100000,1.0,1.0,0.1,100,True,1,embed,1.2395477321621435,,,,43,108.74641728401184
69,spatial,100000,1.0,1.0,0.1,100,True,2,ohe,1.1714225967292835,,,,55,95.0229160785675
70,spatial,100000,1.0,1.0,0.1,100,True,2,lmm,1.0806895208853322,1.129536509513855,1.0620522499084473,1.508331298828125,34,208.85003995895386
71,spatial,100000,1.0,1.0,0.1,100,True,2,ignore,1.625477717967635,,,,64,105.52289843559265
72,spatial,100000,1.0,1.0,0.1,100,True,2,embed,1.2047947598444315,,,,21,54.1458580493927
73,spatial,100000,1.0,1.0,0.1,100,True,3,ohe,1.289564714775588,,,,18,32.33732724189758
74,spatial,100000,1.0,1.0,0.1,100,True,3,lmm,1.084251711858567,1.120568871498108,0.9539046883583069,0.1904153674840927,62,348.2621557712555
75,spatial,100000,1.0,1.0,0.1,100,True,3,ignore,1.680408235395555,,,,100,168.68993210792542
76,spatial,100000,1.0,1.0,0.1,100,True,3,embed,1.317521335739478,,,,26,70.00633335113525
77,spatial,100000,1.0,1.0,0.1,100,True,4,ohe,1.2773198723068735,,,,23,40.56686878204346
78,spatial,100000,1.0,1.0,0.1,100,True,4,lmm,1.078544858754761,1.102381944656372,1.0465693473815918,0.06663639843463898,57,325.0103759765625
79,spatial,100000,1.0,1.0,0.1,100,True,4,ignore,1.4307858329746452,,,,88,148.47653579711914
80,spatial,100000,1.0,1.0,0.1,100,True,4,embed,1.2673202175969212,,,,18,48.73299217224121
81,spatial,100000,1.0,1.0,1.0,100,True,0,ohe,1.2854712617151112,,,,20,37.00834631919861
82,spatial,100000,1.0,1.0,1.0,100,True,0,lmm,1.0737294844907068,1.1271394491195679,0.9141559600830078,1.8099360466003418,40,233.47587847709656
83,spatial,100000,1.0,1.0,1.0,100,True,0,ignore,1.5324902864027168,,,,49,82.63226842880249
84,spatial,100000,1.0,1.0,1.0,100,True,0,embed,1.270207183044439,,,,32,82.39844703674316
85,spatial,100000,1.0,1.0,1.0,100,True,1,ohe,1.2508856830914175,,,,18,33.64820575714111
86,spatial,100000,1.0,1.0,1.0,100,True,1,lmm,1.0926998631758076,1.1164978742599487,1.175689458847046,2.422358751296997,47,278.04229831695557
87,spatial,100000,1.0,1.0,1.0,100,True,1,ignore,1.4144051472761723,,,,32,54.678428649902344
88,spatial,100000,1.0,1.0,1.0,100,True,1,embed,1.2844370550833015,,,,48,125.24689030647278
89,spatial,100000,1.0,1.0,1.0,100,True,2,ohe,1.1626153949027584,,,,30,52.569727659225464
90,spatial,100000,1.0,1.0,1.0,100,True,2,lmm,1.0744549978592834,1.1182868480682373,0.7883644104003906,1.1358435153961182,29,185.02380681037903
91,spatial,100000,1.0,1.0,1.0,100,True,2,ignore,1.5933969028874182,,,,41,68.69726252555847
92,spatial,100000,1.0,1.0,1.0,100,True,2,embed,1.2495053296409697,,,,30,76.86293888092041
93,spatial,100000,1.0,1.0,1.0,100,True,3,ohe,1.289929180358907,,,,16,28.77460241317749
94,spatial,100000,1.0,1.0,1.0,100,True,3,lmm,1.0795319817816076,1.1402157545089722,1.1653482913970947,1.0239710807800293,37,217.46363377571106
95,spatial,100000,1.0,1.0,1.0,100,True,3,ignore,1.3020959634900897,,,,71,119.943199634552
96,spatial,100000,1.0,1.0,1.0,100,True,3,embed,1.2758449478319376,,,,18,46.83526563644409
97,spatial,100000,1.0,1.0,1.0,100,True,4,ohe,1.2719282655095896,,,,26,45.79597783088684
98,spatial,100000,1.0,1.0,1.0,100,True,4,lmm,1.1093857893390595,1.123399257659912,0.93022620677948,1.56912362575531,53,299.21654987335205
99,spatial,100000,1.0,1.0,1.0,100,True,4,ignore,1.4292462961058765,,,,72,122.80052900314331
100,spatial,100000,1.0,1.0,1.0,100,True,4,embed,1.4323654882646595,,,,21,54.14445447921753
101,spatial,100000,1.0,1.0,10.0,100,True,0,ohe,1.2672502421685516,,,,16,29.71205449104309
102,spatial,100000,1.0,1.0,10.0,100,True,0,lmm,1.1192659435369883,1.1113531589508057,0.5738862156867981,2.2222964763641357,37,224.56414270401
103,spatial,100000,1.0,1.0,10.0,100,True,0,ignore,1.3165755634129994,,,,28,48.32617712020874
104,spatial,100000,1.0,1.0,10.0,100,True,0,embed,1.2266328156956883,,,,21,56.83282995223999
105,spatial,100000,1.0,1.0,10.0,100,True,1,ohe,1.2520482503588075,,,,29,51.18120360374451
106,spatial,100000,1.0,1.0,10.0,100,True,1,lmm,1.1030290859414742,1.1409083604812622,0.6655084490776062,1.282334566116333,35,209.56536531448364
107,spatial,100000,1.0,1.0,10.0,100,True,1,ignore,1.2201944910870486,,,,48,81.6171669960022
108,spatial,100000,1.0,1.0,10.0,100,True,1,embed,1.2331095563299876,,,,19,49.45623779296875
109,spatial,100000,1.0,1.0,10.0,100,True,2,ohe,1.2632340776582045,,,,27,48.02121019363403
110,spatial,100000,1.0,1.0,10.0,100,True,2,lmm,1.1328973999007144,1.1373183727264404,0.7351906299591064,4.1211748123168945,39,237.43702721595764
111,spatial,100000,1.0,1.0,10.0,100,True,2,ignore,1.2106280565740966,,,,66,110.84062957763672
112,spatial,100000,1.0,1.0,10.0,100,True,2,embed,1.209708860232498,,,,40,100.14408874511719
113,spatial,100000,1.0,1.0,10.0,100,True,3,ohe,1.4057751071406448,,,,29,51.49761724472046
114,spatial,100000,1.0,1.0,10.0,100,True,3,lmm,1.1211238744216852,1.1133167743682861,0.819605827331543,2.508668899536133,44,262.88797307014465
115,spatial,100000,1.0,1.0,10.0,100,True,3,ignore,1.3481860597264892,,,,20,34.9053111076355
116,spatial,100000,1.0,1.0,10.0,100,True,3,embed,1.4322928409608486,,,,34,89.28693842887878
117,spatial,100000,1.0,1.0,10.0,100,True,4,ohe,1.2591364067925759,,,,32,56.770010471343994
118,spatial,100000,1.0,1.0,10.0,100,True,4,lmm,1.1026688743172024,1.1576826572418213,0.9511880278587341,1.540999174118042,27,175.00403022766113
119,spatial,100000,1.0,1.0,10.0,100,True,4,ignore,1.292562387289942,,,,20,34.901041746139526
120,spatial,100000,1.0,1.0,10.0,100,True,4,embed,1.2720918596713113,,,,24,64.02942132949829
121,spatial,100000,1.0,10.0,0.1,100,True,0,ohe,1.4899816806611317,,,,41,70.75100612640381
122,spatial,100000,1.0,10.0,0.1,100,True,0,lmm,1.1027356699749786,1.1203382015228271,8.677555084228516,1.9053789377212524,49,279.9026367664337
123,spatial,100000,1.0,10.0,0.1,100,True,0,ignore,2.1568957941128457,,,,92,154.81015610694885
124,spatial,100000,1.0,10.0,0.1,100,True,0,embed,1.5188787914291981,,,,58,150.892183303833
125,spatial,100000,1.0,10.0,0.1,100,True,1,ohe,1.5160411457344507,,,,31,55.16233277320862
126,spatial,100000,1.0,10.0,0.1,100,True,1,lmm,1.113084636240715,1.1315191984176636,7.379290580749512,0.5596124529838562,47,280.0850193500519
127,spatial,100000,1.0,10.0,0.1,100,True,1,ignore,2.9230234944550437,,,,67,115.09949064254761
128,spatial,100000,1.0,10.0,0.1,100,True,1,embed,1.8717520366844946,,,,21,53.734766244888306
129,spatial,100000,1.0,10.0,0.1,100,True,2,ohe,1.7655265335929577,,,,21,38.46183681488037
130,spatial,100000,1.0,10.0,0.1,100,True,2,lmm,1.0994123662516075,1.1221387386322021,9.00688648223877,1.5495245456695557,46,273.4771511554718
131,spatial,100000,1.0,10.0,0.1,100,True,2,ignore,2.6046048111214644,,,,66,111.49747681617737
