,mode,N,sig2e,sig2b0,sig2b1,sig2b0_spatial,sig2b1_spatial,q0,q1,q_spatial,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,sig2b_spatial_est0,sig2b_spatial_est1,n_epochs,time
1,spatial_and_categoricals,100000,1,0.3,0.3,0.3,1,3000,3000,10000,0,ohe,1.832061002,,,,,,14,138.0005062
2,spatial_and_categoricals,100000,1,0.3,0.3,0.3,1,3000,3000,10000,0,ignore,1.983166967,,,,,,61,77.95972109
3,spatial_and_categoricals,100000,1,0.3,0.3,0.3,1,3000,3000,10000,0,embed,1.774958587,,,,,,17,40.97031307
4,spatial_and_categoricals,100000,1,0.3,0.3,0.3,1,3000,3000,10000,1,ohe,1.870781773,,,,,,14,133.6467855
5,spatial_and_categoricals,100000,1,0.3,0.3,0.3,1,3000,3000,10000,1,ignore,2.03297645,,,,,,25,32.6071279
6,spatial_and_categoricals,100000,1,0.3,0.3,0.3,1,3000,3000,10000,1,embed,1.746174627,,,,,,16,37.69864202
7,spatial_and_categoricals,100000,1,0.3,0.3,0.3,1,3000,3000,10000,2,ohe,1.884087038,,,,,,16,146.6855249
8,spatial_and_categoricals,100000,1,0.3,0.3,0.3,1,3000,3000,10000,2,ignore,2.052417448,,,,,,27,35.57398462
9,spatial_and_categoricals,100000,1,0.3,0.3,0.3,1,3000,3000,10000,2,embed,1.810327672,,,,,,22,51.46270204
10,spatial_and_categoricals,100000,1,0.3,0.3,0.3,1,3000,3000,10000,3,ohe,1.793233387,,,,,,16,140.279284
11,spatial_and_categoricals,100000,1,0.3,0.3,0.3,1,3000,3000,10000,3,ignore,2.145320222,,,,,,17,22.42174792
12,spatial_and_categoricals,100000,1,0.3,0.3,0.3,1,3000,3000,10000,3,embed,1.777209385,,,,,,18,43.23044181
13,spatial_and_categoricals,100000,1,0.3,0.3,0.3,1,3000,3000,10000,4,ohe,1.844993361,,,,,,15,135.0206225
14,spatial_and_categoricals,100000,1,0.3,0.3,0.3,1,3000,3000,10000,4,ignore,2.057221653,,,,,,30,37.99589849
15,spatial_and_categoricals,100000,1,0.3,0.3,0.3,1,3000,3000,10000,4,embed,1.796140355,,,,,,19,43.94369626
16,spatial_and_categoricals,100000,1,0.3,0.3,3,1,3000,3000,10000,0,ohe,2.163042401,,,,,,20,162.5485017
17,spatial_and_categoricals,100000,1,0.3,0.3,3,1,3000,3000,10000,0,ignore,2.888858115,,,,,,56,70.04088449
18,spatial_and_categoricals,100000,1,0.3,0.3,3,1,3000,3000,10000,0,embed,2.079886652,,,,,,24,54.89872313
19,spatial_and_categoricals,100000,1,0.3,0.3,3,1,3000,3000,10000,1,ohe,2.246830949,,,,,,16,140.1231565
20,spatial_and_categoricals,100000,1,0.3,0.3,3,1,3000,3000,10000,1,ignore,3.07080119,,,,,,52,65.11495638
21,spatial_and_categoricals,100000,1,0.3,0.3,3,1,3000,3000,10000,1,embed,2.064446356,,,,,,20,46.7287693
22,spatial_and_categoricals,100000,1,0.3,0.3,3,1,3000,3000,10000,2,ohe,2.335384779,,,,,,19,152.326026
