,mode,N,sig2e,sig2b0_spatial,sig2b1_spatial,q_spatial,experiment,exp_type,mse,sig2e_est,sig2b_spatial_est0,sig2b_spatial_est1,n_epochs,time
1,spatial,100000,1,0.1,0.1,100,0,ohe,1.227331265,,,,56,72.92618537
2,spatial,100000,1,0.1,0.1,100,0,ignore,1.250120434,,,,21,27.35067558
3,spatial,100000,1,0.1,0.1,100,0,embed,1.237227409,,,,16,28.15860605
4,spatial,100000,1,0.1,0.1,100,1,ohe,1.20919186,,,,32,42.23759699
5,spatial,100000,1,0.1,0.1,100,1,ignore,1.207325272,,,,41,51.52402139
6,spatial,100000,1,0.1,0.1,100,1,embed,1.247961914,,,,41,68.67548203
7,spatial,100000,1,0.1,0.1,100,2,ohe,1.241951597,,,,30,39.71602201
8,spatial,100000,1,0.1,0.1,100,2,ignore,1.233295978,,,,46,57.67125559
9,spatial,100000,1,0.1,0.1,100,2,embed,1.237381897,,,,19,32.9073081
10,spatial,100000,1,0.1,0.1,100,3,ohe,1.22625058,,,,28,36.92945027
11,spatial,100000,1,0.1,0.1,100,3,ignore,1.373563488,,,,24,30.6922524
12,spatial,100000,1,0.1,0.1,100,3,embed,1.257619573,,,,27,45.96582246
13,spatial,100000,1,0.1,0.1,100,4,ohe,1.213510282,,,,25,33.29785991
14,spatial,100000,1,0.1,0.1,100,4,ignore,1.34049422,,,,27,34.54010534
15,spatial,100000,1,0.1,0.1,100,4,embed,1.254382169,,,,22,38.30412745
16,spatial,100000,1,0.1,0.1,1000,0,ohe,1.275583094,,,,19,33.89834476
17,spatial,100000,1,0.1,0.1,1000,0,ignore,1.29102376,,,,49,61.78977633
18,spatial,100000,1,0.1,0.1,1000,0,embed,1.305214355,,,,22,37.59123254
19,spatial,100000,1,0.1,0.1,1000,1,ohe,1.304472346,,,,19,33.69861913
20,spatial,100000,1,0.1,0.1,1000,1,ignore,1.255156719,,,,40,52.00742412
21,spatial,100000,1,0.1,0.1,1000,1,embed,1.336762257,,,,26,44.5596292
22,spatial,100000,1,0.1,0.1,1000,2,ohe,1.302461128,,,,26,44.51243138
23,spatial,100000,1,0.1,0.1,1000,2,ignore,1.269607107,,,,39,49.41611695
24,spatial,100000,1,0.1,0.1,1000,2,embed,1.230714841,,,,17,29.73925972
25,spatial,100000,1,0.1,0.1,1000,3,ohe,1.295488958,,,,19,33.35985065
26,spatial,100000,1,0.1,0.1,1000,3,ignore,1.233106043,,,,28,35.87969756
27,spatial,100000,1,0.1,0.1,1000,3,embed,1.313310003,,,,18,31.252913
28,spatial,100000,1,0.1,0.1,1000,4,ohe,1.304235466,,,,16,28.75455284
29,spatial,100000,1,0.1,0.1,1000,4,ignore,1.283242744,,,,44,55.01120853
30,spatial,100000,1,0.1,0.1,1000,4,embed,1.282403634,,,,21,36.32216048
31,spatial,100000,1,0.1,0.1,10000,0,ohe,1.574784642,,,,14,91.33854938
32,spatial,100000,1,0.1,0.1,10000,0,ignore,1.309316839,,,,22,28.19522071
33,spatial,100000,1,0.1,0.1,10000,0,embed,1.607749605,,,,17,29.09579992
34,spatial,100000,1,0.1,0.1,10000,1,ohe,1.523186254,,,,13,88.73134041
35,spatial,100000,1,0.1,0.1,10000,1,ignore,1.319998845,,,,17,22.22303891
36,spatial,100000,1,0.1,0.1,10000,1,embed,1.570903291,,,,15,26.1436913
37,spatial,100000,1,0.1,0.1,10000,2,ohe,1.534173263,,,,14,84.38520312
38,spatial,100000,1,0.1,0.1,10000,2,ignore,1.258385616,,,,20,25.45142293
39,spatial,100000,1,0.1,0.1,10000,2,embed,1.581174124,,,,16,27.43254089
40,spatial,100000,1,0.1,0.1,10000,3,ohe,1.532317524,,,,14,87.94358683
41,spatial,100000,1,0.1,0.1,10000,3,ignore,1.226940711,,,,42,51.72370815
