,mode,N,sig2e,sig2b0,q0,p_censor,weibull_nu,weibull_lambda,experiment,exp_type,concordance,sig2e_est,sig2b_est0,weibull_nu_est,weibull_lambda_est,n_epochs,time
1,survival,100000,1,0.1,100,1,2,1,1,coxph,0.646970718,,0.841364855,,,0,4.772977829
2,survival,100000,1,0.1,100,1,2,1,2,coxph,0.647813861,,0.853746805,,,0,4.289367914
3,survival,100000,1,0.1,100,1,2,1,3,coxph,0.649167504,,0.894481607,,,0,4.557142973
4,survival,100000,1,0.1,100,10,2,1,1,coxph,0.649679119,,0.911293122,,,0,4.753762007
5,survival,100000,1,0.1,100,10,2,1,2,coxph,0.647492158,,0.82520708,,,0,3.988002062
6,survival,100000,1,0.1,100,10,2,1,3,coxph,0.651977271,,0.849599969,,,0,4.043998003
7,survival,100000,1,0.1,100,30,2,1,1,coxph,0.64616389,,0.720156864,,,0,4.034188986
8,survival,100000,1,0.1,100,30,2,1,2,coxph,0.648056271,,0.749349135,,,0,3.879997015
9,survival,100000,1,0.1,100,30,2,1,3,coxph,0.653781356,,0.708977899,,,0,4.243485928
10,survival,100000,1,0.1,1000,1,2,1,1,coxph,0.644884505,,0.04756041,,,0,80.69705486
11,survival,100000,1,0.1,1000,1,2,1,2,coxph,0.637855019,,0.039886998,,,0,71.73607206
12,survival,100000,1,0.1,1000,1,2,1,3,coxph,0.644243339,,0.042587185,,,0,72.22180295
13,survival,100000,1,0.1,1000,10,2,1,1,coxph,0.642213721,,0.04235723,,,0,61.48147678
14,survival,100000,1,0.1,1000,10,2,1,2,coxph,0.644227838,,0.0474688,,,0,73.8733511
15,survival,100000,1,0.1,1000,10,2,1,3,coxph,0.643833448,,0.043913439,,,0,71.09697294
16,survival,100000,1,0.1,1000,30,2,1,1,coxph,0.642079038,,0.044888405,,,0,55.01261997
17,survival,100000,1,0.1,1000,30,2,1,2,coxph,0.642253614,,0.042373106,,,0,49.67027402
18,survival,100000,1,0.1,1000,30,2,1,3,coxph,0.639133009,,0.046455901,,,0,54.77190685
