,mode,N,sig2e,sig2b0,sig2b1,q0,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,n_epochs,time
1,spatial,10000,1,0.1,0.1,100,0,lmm_known,1.167731618,1.337840199,0.066412114,1.252600551,41,40.31914616
2,spatial,10000,1,0.1,0.1,100,1,lmm_known,1.226248485,1.155937433,0.07798031,1.497046471,85,56.27091599
3,spatial,10000,1,0.1,0.1,100,2,lmm_known,1.254433427,1.144572258,0.13092503,1.254981518,101,64.26893258
4,spatial,10000,1,0.1,0.1,100,3,lmm_known,1.306264707,1.18425107,0.115204006,0.597586453,87,58.13643646
5,spatial,10000,1,0.1,0.1,100,4,lmm_known,1.249155048,1.325002313,0.126049042,1.215465188,58,44.19107866
6,spatial,10000,1,0.1,1,100,0,lmm_known,1.225486181,1.178652883,0.10042458,1.596434593,83,55.94790363
7,spatial,10000,1,0.1,1,100,1,lmm_known,1.254521736,1.264412761,0.081065632,1.149003386,62,45.79842663
8,spatial,10000,1,0.1,1,100,2,lmm_known,1.241630277,1.216688871,0.125966221,1.268439293,65,47.24505901
9,spatial,10000,1,0.1,1,100,3,lmm_known,1.215245849,1.304681897,0.117346093,1.029260159,72,50.97794676
10,spatial,10000,1,0.1,1,100,4,lmm_known,1.256344717,1.222848654,0.133821249,1.457369328,63,46.95280766
11,spatial,10000,1,0.1,10,100,0,lmm_known,1.309636695,1.312016606,0.053592298,1.369366407,44,37.24219584
12,spatial,10000,1,0.1,10,100,1,lmm_known,1.257999307,1.280945301,0.067138918,1.660135746,69,49.50486064
13,spatial,10000,1,0.1,10,100,2,lmm_known,1.254180714,1.240392447,0.08406318,1.310500264,65,48.3672452
14,spatial,10000,1,0.1,10,100,3,lmm_known,1.230749048,1.253356814,0.070921406,1.349456906,58,43.25564265
15,spatial,10000,1,0.1,10,100,4,lmm_known,1.23898829,1.226415038,0.08467304,1.040208936,70,50.61588192
16,spatial,10000,1,1,0.1,100,0,lmm_known,1.304437013,1.189026117,0.741312981,2.053045511,79,55.73924732
17,spatial,10000,1,1,0.1,100,1,lmm_known,1.323261558,1.263272047,1.109186172,1.11609304,70,53.29417396
18,spatial,10000,1,1,0.1,100,2,lmm_known,1.326010743,1.225329995,1.014319658,1.660333753,61,49.8598578
19,spatial,10000,1,1,0.1,100,3,lmm_known,1.190237284,1.270513177,1.183740377,0.976620615,54,45.94256759
20,spatial,10000,1,1,0.1,100,4,lmm_known,1.154460904,1.17668283,1.096268058,0.473072261,77,57.34530354
21,spatial,10000,1,1,1,100,0,lmm_known,1.134879748,1.179256797,1.132217407,0.516943574,83,57.02883148
22,spatial,10000,1,1,1,100,1,lmm_known,1.178678216,1.238350511,0.782310486,0.649486423,65,48.9335959
23,spatial,10000,1,1,1,100,2,lmm_known,1.141713954,1.281832337,0.952742577,0.986757219,52,43.32915521
24,spatial,10000,1,1,1,100,3,lmm_known,1.193498032,1.199333787,1.04114604,1.915718913,106,70.82196999
25,spatial,10000,1,1,1,100,4,lmm_known,1.228371905,1.269698501,1.018065572,0.82048136,63,46.78401351
26,spatial,10000,1,1,10,100,0,lmm_known,1.241139252,1.389103413,0.993436575,1.498550296,41,36.1737628
27,spatial,10000,1,1,10,100,1,lmm_known,1.162814231,1.26710701,0.690171599,1.716563702,53,41.01227808
28,spatial,10000,1,1,10,100,2,lmm_known,1.205943446,1.209922671,0.911310256,2.594475508,78,54.39821959
29,spatial,10000,1,1,10,100,3,lmm_known,1.21127389,1.178488374,0.511930048,1.945824981,73,50.86350322
30,spatial,10000,1,1,10,100,4,lmm_known,1.190826,1.153864741,1.130116582,2.06614089,65,47.66448474
31,spatial,10000,1,0.1,0.1,1000,0,lmm_known,1.254167962,1.175999641,0.087423645,1.038864851,68,49.84479642
32,spatial,10000,1,0.1,0.1,1000,1,lmm_known,1.245120405,1.191803217,0.12179435,0.763310373,70,50.63855457
33,spatial,10000,1,0.1,0.1,1000,2,lmm_known,1.280921854,1.270761132,0.102697328,0.702406108,57,44.00638151
34,spatial,10000,1,0.1,0.1,1000,3,lmm_known,1.202904251,1.213885307,0.108674265,0.438749969,80,56.02098155
35,spatial,10000,1,0.1,0.1,1000,4,lmm_known,1.255980926,1.172244906,0.084313653,0.983644247,84,57.70150423
36,spatial,10000,1,0.1,1,1000,0,lmm_known,1.208432094,1.138246655,0.11694064,1.162349105,90,60.48545504
37,spatial,10000,1,0.1,1,1000,1,lmm_known,1.244328391,1.137726068,0.078395903,0.53120178,98,65.20808482
38,spatial,10000,1,0.1,1,1000,2,lmm_known,1.263907758,1.244821429,0.098012134,1.343830943,66,49.05985904
39,spatial,10000,1,0.1,1,1000,3,lmm_known,1.220750616,1.189452887,0.091051526,0.638863325,66,48.96400928
40,spatial,10000,1,0.1,1,1000,4,lmm_known,1.336152519,1.187032104,0.118194744,1.215545535,79,55.14013171
41,spatial,10000,1,0.1,10,1000,0,lmm_known,1.154186194,1.216463804,0.081095055,1.837007761,62,48.02550054
42,spatial,10000,1,0.1,10,1000,1,lmm_known,1.241097453,1.165463567,0.124280319,3.103565693,83,56.5172677
43,spatial,10000,1,0.1,10,1000,2,lmm_known,1.153498223,1.173614979,0.113565326,2.686705589,85,58.06884503
44,spatial,10000,1,0.1,10,1000,3,lmm_known,1.266294847,1.132688522,0.056417722,1.589239001,80,55.35889077
45,spatial,10000,1,0.1,10,1000,4,lmm_known,1.211597141,1.230546951,0.099286228,2.119734287,88,59.8609519
46,spatial,10000,1,1,0.1,1000,0,lmm_known,1.325645933,1.224657774,0.897442937,0.224259198,76,53.68525743
47,spatial,10000,1,1,0.1,1000,1,lmm_known,1.353894863,1.255544305,0.99035728,0.119775251,76,54.36513066
48,spatial,10000,1,1,0.1,1000,2,lmm_known,1.208076413,1.173775196,1.032489181,0.135709792,82,57.17494965
49,spatial,10000,1,1,0.1,1000,3,lmm_known,1.37425731,1.301746964,1.016711116,0.037863903,60,50.29891944
50,spatial,10000,1,1,0.1,1000,4,lmm_known,1.332888303,1.18330276,0.984608948,0.179885745,75,53.91584802
51,spatial,10000,1,1,1,1000,0,lmm_known,1.247406716,1.214838147,1.144731283,1.193425417,70,50.71289992
52,spatial,10000,1,1,1,1000,1,lmm_known,1.207219872,1.209341407,1.111235142,0.823267877,80,55.63393211
53,spatial,10000,1,1,1,1000,2,lmm_known,1.289716457,1.216020823,0.911664307,1.01687336,79,54.35710239
54,spatial,10000,1,1,1,1000,3,lmm_known,1.257955567,1.254200697,1.08203721,0.807978034,56,44.06084085
55,spatial,10000,1,1,1,1000,4,lmm_known,1.176458818,1.194331169,1.065840483,0.741860271,71,51.2044692
56,spatial,10000,1,1,10,1000,0,lmm_known,1.273189577,1.212330461,1.158403635,4.300538063,82,56.15334463
57,spatial,10000,1,1,10,1000,1,lmm_known,1.168117321,1.181007147,0.693403244,3.643396378,75,53.18319082
58,spatial,10000,1,1,10,1000,2,lmm_known,1.133777,1.179523349,0.986612201,5.999342442,110,69.63234425
59,spatial,10000,1,1,10,1000,3,lmm_known,1.258831923,1.18947494,0.813072741,4.011814594,76,54.03045082
60,spatial,10000,1,1,10,1000,4,lmm_known,1.263820159,1.153985858,0.695807338,3.829395771,72,51.73129034
61,spatial,10000,1,0.1,0.1,10000,0,lmm_known,1.225573748,1.212939024,0.074700385,0.259799659,61,105.570704
62,spatial,10000,1,0.1,0.1,10000,1,lmm_known,1.222457717,1.197747231,0.086753406,0.358665287,78,112.0319736
63,spatial,10000,1,0.1,0.1,10000,2,lmm_known,1.324159028,1.24068296,0.116149597,0.175550908,68,108.9110622
64,spatial_embedded,10000,1,0.1,0.1,100,0,ohe,1.473996588,,,,64,19.87291622
65,spatial_embedded,10000,1,0.1,0.1,100,0,lmm,1.294417924,1.295444608,0.700960636,,70,47.02295423
66,spatial_embedded,10000,1,0.1,0.1,100,0,ignore,1.42099784,,,,74,14.87347341
67,spatial_embedded,10000,1,0.1,0.1,100,0,embed,1.473137571,,,,82,24.07668376
68,spatial_embedded,10000,1,0.1,0.1,100,1,ohe,1.373474058,,,,54,11.85887408
69,spatial_embedded,10000,1,0.1,0.1,100,1,lmm,1.277086265,1.371686101,0.74620688,,51,33.13983178
70,spatial_embedded,10000,1,0.1,0.1,100,1,ignore,1.35378421,,,,84,17.782377
71,spatial_embedded,10000,1,0.1,0.1,100,1,embed,1.361976122,,,,85,25.05472517
72,spatial_embedded,10000,1,0.1,0.1,100,2,ohe,1.41608199,,,,72,15.58165121
73,spatial_embedded,10000,1,0.1,0.1,100,2,lmm,1.369779513,1.372662067,0.673580348,,61,38.91762781
74,spatial_embedded,10000,1,0.1,0.1,100,2,ignore,1.345566887,,,,74,15.01564455
75,spatial_embedded,10000,1,0.1,0.1,100,2,embed,1.429292308,,,,66,19.67231703
76,spatial_embedded,10000,1,0.1,0.1,100,3,ohe,1.464870826,,,,59,13.44962096
77,spatial_embedded,10000,1,0.1,0.1,100,3,lmm,1.326477029,1.277049303,0.613174021,,85,53.63054252
