id,experiment,exp_type,deep,mse,sigma_e_est,sigma_b_est,n_epoch,time
0,0,embed,TRUE,0.156561296,,,35,1207.440903
1,0,ignore,TRUE,0.147866706,,,130,37.93702388
2,0,lmm,TRUE,0.138532164,0.069855317,0.077446334,16,81.79070377
3,0,menet,TRUE,0.146450893,0.047799825,,,
4,1,embed,TRUE,0.158138454,,,20,671.2801027
5,1,ignore,TRUE,0.163303629,,,95,28.09408736
6,1,lmm,TRUE,0.147655439,0.062400036,0.070345104,23,108.2155206
7,1,menet,TRUE,0.155827017,0.035632368,,,
8,2,embed,TRUE,0.157869229,,,19,615.3350699
9,2,ignore,TRUE,0.151199167,,,104,30.46664357
10,2,lmm,TRUE,0.139566294,0.065826811,0.07214085,18,89.26138091
11,2,menet,TRUE,0.153922674,0.035199136,,,
12,3,embed,TRUE,0.153264017,,,22,743.9726851
13,3,ignore,TRUE,0.154365198,,,105,30.93343639
14,3,lmm,TRUE,0.141761189,0.068706185,0.076714963,16,82.29760385
15,3,menet,TRUE,0.152575599,0.03695288,,,
16,4,embed,TRUE,0.163061967,,,27,887.1671262
17,4,ignore,TRUE,0.158523108,,,76,22.66463637
18,4,lmm,TRUE,0.144527085,0.066189945,0.069860734,25,115.47825
19,4,menet,TRUE,0.15892193,0.034074938,,,
