,experiment,exp_type,auc,sigma_b_est,n_epoch,time
1,0,ignore,0.789341911,,16,15.53983331
2,0,embed,0.767348723,,12,14.87027335
3,1,ignore,0.774385078,,34,31.33426547
4,1,embed,0.757800867,,12,14.42179799
5,2,ignore,0.798841161,,22,20.47660661
6,2,embed,0.755561796,,13,15.56457472
7,3,ignore,0.80216676,,24,22.43507099
8,3,embed,0.759448005,,12,14.53468156
9,4,ignore,0.802433428,,23,21.43318582
10,4,embed,0.754118662,,16,19.02141857
11,0,lmm,0.812883942,3.2237666,39,571.5326316
12,1,lmm,0.81060324,2.5389698,23,349.417043
13,2,lmm,0.809107554,3.8894224,61,943.040782
14,3,lmm,0.820988688,2.528431,26,398.1421123
15,4,lmm,0.821684921,2.7001157,27,412.5184872
