,experiment,exp_type,mse,sigma_e_est,sigma_b0_est,sigma_b0_est_spatial,sigma_b1_est_spatial,n_epoch,time
1,0,ignore,0.164201055,,,,,26,21.95158815
2,0,embed,0.171217746,,,,,134,150.4823987
3,1,ignore,0.159001396,,,,,33,26.5773859
4,1,embed,0.17578883,,,,,60,68.07677174
5,2,ignore,0.152764893,,,,,31,24.95654082
6,2,embed,0.162831318,,,,,72,81.46872687
7,3,ignore,0.150265222,,,,,37,29.22381163
8,3,embed,0.48448427,,,,,45,51.44959879
9,4,ignore,0.158669455,,,,,40,31.41986966
10,4,embed,0.171538731,,,,,84,94.9327364
11,0,lmm,0.141654076,0.044036224,0.095338345,0.003787932,1.4701046,20,175.7744157
12,1,lmm,0.139523192,0.048926096,0.09510004,0.004833481,1.5706744,19,156.3601274
13,2,lmm,0.139675233,0.050896313,0.09698774,0.000776024,4.4019012,39,193.4871333
14,3,lmm,0.133185057,0.05417645,0.096380174,0.011517102,1.507798,15,149.6842134
15,4,lmm,0.139889557,0.04884844,0.10314376,0.010364613,1.4377571,16,152.5756733
