,experiment,exp_type,mse,sigma_e_est,sigma_b0_est,sigma_b1_est,n_epoch,time
1,0,ignore,0.158538,,,,29,24.742738
2,0,embed,0.211256,,,,11,12.457375
3,1,ignore,0.16541,,,,14,12.209728
4,1,embed,0.177756,,,,19,20.556381
5,2,ignore,0.156667,,,,24,20.354775
6,2,embed,0.195673,,,,8,9.285582
7,3,ignore,0.149766,,,,29,24.380691
8,3,embed,0.19208,,,,10,11.349655
9,4,ignore,0.152112,,,,35,29.568988
10,4,embed,0.201778,,,,10,11.397816
11,0,lmm,0.154350942,0.13842556,0.018721242,1.3434016,18,42.95652819
12,1,lmm,0.150975324,0.14269257,0.003836469,1.5423337,18,42.29345894
13,2,lmm,0.149823574,0.1468773,0.009050283,1.5272025,18,42.26556063
14,3,lmm,0.145082903,0.14214985,0.007849487,1.5240616,19,43.89574289
15,4,lmm,0.149994494,0.14710282,0.004531749,1.4211191,16,38.94510031
16,0,lmm_embed,0.152755422,0.13319495,0.057668023,,32,60.89796972
17,1,lmm_embed,0.148099221,0.12753488,0.050761871,,48,87.90259075
18,2,lmm_embed,0.14745563,0.13252255,0.031022273,,45,83.17632079
19,3,lmm_embed,0.145094238,0.14289571,0.122234866,,33,62.31519341
20,4,lmm_embed,0.14746624,0.1326815,0.058696371,,48,87.55242014
21,0,svdkl,0.157845,,,,29,179.0281
22,1,svdkl,0.148411,,,,53,309.463441
23,2,svdkl,0.148738,,,,52,302.960194
24,3,svdkl,0.146245,,,,51,297.890099
25,4,svdkl,0.153059,,,,27,156.293344
26,0,cnn,0.158639268,,,,45,190.860781
27,1,cnn,0.150886338,,,,45,183.2828763
28,2,cnn,0.159543243,,,,50,203.752717
29,3,cnn,0.147057887,,,,41,166.8733671
30,4,cnn,0.152104438,,,,36,147.2949829
