,experiment,exp_type,mse,sigma_e_est,sigma_b0_est,sigma_b1_est,sigma_b2_est,n_epoch,time
0,0,ohe,5.118553155,,,,,45,140.9996877
1,0,ignore,9.452624667,,,,,34,63.31538939
2,0,embed,3.424597839,,,,,44,101.4704678
3,1,ohe,10.4328622,,,,,11,40.70488405
4,1,ignore,7.190479817,,,,,53,99.07691216
5,1,embed,4.011501692,,,,,64,147.8244889
6,2,ohe,3.956191505,,,,,63,191.4663815
7,2,ignore,6.843037771,,,,,29,53.71364021
8,2,embed,3.703867336,,,,,46,106.8317089
9,3,ohe,4.06248169,,,,,73,222.0580032
10,3,ignore,7.906267454,,,,,45,84.53891945
11,3,embed,3.455109546,,,,,46,107.0341763
12,4,ohe,4.442293608,,,,,83,249.7635005
13,4,ignore,7.06152405,,,,,52,98.01244807
14,4,embed,3.922723913,,,,,41,96.20977569
15,0,lmm,1.446964074,0.6143683,5.539425,5.430152,5.6234136,30,120.4588871
16,1,lmm,1.505866112,0.61507094,5.4450645,5.248902,5.392693,29,116.1564047
17,2,lmm,1.506003963,0.60164094,5.933623,6.035967,6.2957554,42,164.2950554
18,3,lmm,1.514311642,0.60191464,6.0718093,6.0524683,6.7937083,49,191.8987887
19,4,lmm,1.440545658,0.6130601,5.6315317,5.5436454,5.597544,32,127.4148281
20,0,lme4,1.785639531,0.614317286,6.206617167,7.176138917,8.992920175,0,4.572990179
21,1,lme4,1.769456408,0.611779096,6.232585319,7.157510944,8.758523248,0,4.143996
22,2,lme4,1.776169048,0.616894827,6.220898665,6.938445927,8.800808907,0,3.230000019
23,3,lme4,1.766593167,0.607222652,6.209972606,7.226746802,9.475605991,0,3.535968065
24,4,lme4,1.775904913,0.611779842,6.250061024,7.205440582,9.007445162,0,3.532963991
25,0,rnn,14.02076154,,,,,119,806.5694673
26,1,rnn,9.378583114,,,,,138,934.0506492
27,2,rnn,9.017072555,,,,,149,983.6998186
28,3,rnn,14.17630917,,,,,114,765.7124472
29,4,rnn,11.6976672,,,,,124,834.6201606
