,experiment,exp_type,mse,sigma_e_est,sigma_b0_est,sigma_b1_est,sigma_b2_est,n_epoch,time
0,0,ohe,5.20817709,,,,,11,52.98582721
1,0,ignore,6.736735815,,,,,48,114.1827836
2,0,embed,2.678612374,,,,,44,130.6617284
3,1,ohe,5.02235826,,,,,11,53.06156421
4,1,ignore,10.02198842,,,,,11,27.40177488
5,1,embed,3.043057703,,,,,27,80.36367297
6,2,ohe,5.25797723,,,,,11,51.4063096
7,2,ignore,8.848019992,,,,,11,27.3767736
8,2,embed,2.309844955,,,,,36,106.8410974
9,3,ohe,5.366070803,,,,,20,83.87220454
10,3,ignore,6.461044557,,,,,54,129.1511502
11,3,embed,4.831964025,,,,,42,125.1597168
12,4,ohe,3.720076369,,,,,33,132.6547718
13,4,ignore,6.839128052,,,,,46,109.3060644
14,4,embed,3.908386969,,,,,31,92.51763988
15,0,lmm,0.71382748,0.57473004,5.9966917,6.714285,4.8199973,38,195.6382895
16,1,lmm,0.730166334,0.57778335,6.057827,6.6064606,4.586656,36,184.0104833
17,2,lmm,0.689460868,0.5922056,5.968318,6.510396,4.592798,36,184.7701893
18,3,lmm,0.708557919,0.58946353,5.9104924,6.2472186,4.3936353,31,159.8833489
19,4,lmm,0.723494232,0.5793281,5.724191,6.0479445,4.106181,29,149.616683
20,0,lme4,0.715887554,0.604178601,6.350329829,8.657624047,6.502736246,0,5.386808872
21,1,lme4,0.721359196,0.602377907,6.393794257,8.77119475,6.452734719,0,6.451951981
22,2,lme4,0.722257834,0.600602483,6.388604589,8.943185724,6.653936655,0,5.873994112
23,3,lme4,0.736028023,0.604871491,6.324026341,8.373136584,6.239920977,0,7.252510786
24,4,lme4,0.705844427,0.604808622,6.449199456,8.75216771,6.50146705,0,5.941735983
25,0,rnn,8.558931903,,,,,129,890.4310701
26,1,rnn,8.172085995,,,,,135,932.3974466
27,2,rnn,8.24890546,,,,,134,924.3291814
28,3,rnn,7.521880524,,,,,172,1145.812778
29,4,rnn,9.679550467,,,,,125,845.0400658
