,experiment,exp_type,auc,sigma_b_est,n_epoch,time
1,0,ohe,0.684105525,,13,174.4638598
2,0,ignore,0.701857403,,19,38.84224916
3,0,embed,0.68452386,,12,34.61484575
4,1,ohe,0.68879594,,13,137.6285496
5,1,ignore,0.708851301,,30,60.09825373
6,1,embed,0.695527766,,13,37.80731344
7,2,ohe,0.685299635,,12,129.1371472
8,2,ignore,0.70782155,,16,32.27868795
9,2,embed,0.691942065,,12,35.26056075
10,3,ohe,0.67616556,,12,159.001193
11,3,ignore,0.702257217,,18,37.33701015
12,3,embed,0.683302383,,12,34.80519795
13,4,ohe,0.67341901,,13,138.4640279
14,4,ignore,0.704204989,,21,41.47822833
15,4,embed,0.687403917,,12,35.54527569
16,0,lmm,0.716948506,0.3006041,33,340.0293202
17,1,lmm,0.721881442,0.30224115,29,304.6937149
18,2,lmm,0.72304517,0.31823775,36,365.1546352
19,3,lmm,0.716205186,0.28753448,31,325.1257997
20,4,lmm,0.713428815,0.3136413,29,305.0485001
21,0,lme4,0.662923695,0.335728285,0,7947.715452
22,1,lme4,0.656404069,0.352571119,0,7934.554054
23,2,lme4,0.659954825,0.323937748,0,7930.878592
24,3,lme4,0.653818308,0.328220225,0,8030.988811
25,4,lme4,0.660741954,0.338702541,0,8061.572718
