,experiment,exp_type,mse,sigma_e_est,sigma_b0_est,sigma_b1_est,n_epoch,time
1,0,ignore,0.147273174,,,,67,106.3918929
2,0,embed,0.120527205,,,,55,105.1054015
3,1,ignore,0.151653063,,,,58,87.16608357
4,1,embed,0.119867377,,,,46,88.90359712
5,2,ignore,0.155673349,,,,53,80.71788931
6,2,embed,0.118132366,,,,52,99.4814024
7,3,ignore,0.150770702,,,,37,56.81441689
8,3,embed,0.113019041,,,,37,72.08572721
9,4,ignore,0.156841356,,,,45,69.81312871
10,4,embed,0.11982772,,,,44,85.78921747
11,0,lmm,0.109227246,0.07420102,0.10194556,1.00E-18,103,509.179112
12,1,lmm,0.110016863,0.07430019,0.1068353,1.00E-18,26,228.4430671
13,2,lmm,0.107029998,0.07316695,0.1001512,1.00E-18,152,676.8589752
14,3,lmm,0.103192205,0.07345217,0.11140571,1.00E-18,74,400.0219393
15,4,lmm,0.115283327,0.07445714,0.102710456,1.00E-18,33,255.731612
16,0,lmm_embed,0.13815126,0.14113978,0.426470369,,44,216.4912083
17,1,lmm_embed,0.134248591,0.13586007,0.184706956,,63,267.2908757
18,2,lmm_embed,0.137937301,0.13769034,0.207430959,,45,216.0469143
19,3,lmm_embed,0.132036742,0.13377488,0.170786008,,48,213.3875203
20,4,lmm_embed,0.139079949,0.1302628,0.193281114,,48,207.2218914
21,0,svdkl,0.147542,,,,60,653.990156
22,1,svdkl,0.150029,,,,50,533.522026
23,2,svdkl,0.155573,,,,52,554.529291
24,3,svdkl,0.142051,,,,66,700.103147
25,4,svdkl,0.150231,,,,42,447.583158
26,0,cnn,0.134058148,,,,48,405.6710188
27,1,cnn,0.137405803,,,,32,261.2014165
28,2,cnn,0.136514322,,,,36,294.7141979
29,3,cnn,0.13365029,,,,32,260.7000065
30,4,cnn,0.145499916,,,,23,189.3581645
