,experiment,exp_type,mse,sigma_e_est,sigma_b0_est,sigma_b1_est,n_epoch,time
1,0,ignore,0.033384,,,,36,44.976001
2,0,embed,0.031716,,,,53,74.799685
3,1,ignore,0.029853,,,,46,51.773581
4,1,embed,0.030837,,,,66,92.522783
5,2,ignore,0.043205,,,,47,52.515715
6,2,embed,0.034325,,,,43,59.683701
7,3,ignore,0.036276,,,,52,58.835747
8,3,embed,0.03169,,,,35,48.852754
9,4,ignore,0.02848,,,,93,100.414085
10,4,embed,0.0318,,,,72,96.923259
11,0,lmm,0.028752557,0.026720008,0.001842257,1.850265,19,80.08972549
12,1,lmm,0.024358652,0.20679933,0.023904324,8.578226,41,145.1163909
13,2,lmm,0.030026105,0.033991095,0.004182377,1.8317925,19,75.33439803
14,3,lmm,0.028724918,0.031874,0.001978124,3.0331805,31,112.0301487
15,4,lmm,0.02755668,0.034570325,0.005052495,3.5838442,35,124.4364934
16,0,svdkl,0.02558337,,,,294,2384.883372
17,1,svdkl,0.032323088,,,,63,512.9414911
18,2,svdkl,0.031219701,,,,94,766.3326263
19,3,svdkl,0.0316527,,,,97,794.0272408
20,4,svdkl,0.031532277,,,,102,833.1264515
21,0,lmm_embed,0.030791698,0.03750654,0.058079947,,29,74.98340607
22,1,lmm_embed,0.027079653,0.027651086,0.533685684,,68,167.403214
23,2,lmm_embed,0.027193464,0.028364222,0.347443819,,59,150.5850577
24,3,lmm_embed,0.02501952,0.19006577,0.266699374,,46,115.2676723
25,4,lmm_embed,0.026854803,0.026738849,0.822062016,,30,78.79076028
26,0,cnn,0.031089821,,,,51,304.7753696
27,1,cnn,0.028998329,,,,39,224.9747133
28,2,cnn,0.038145412,,,,42,243.3699849
29,3,cnn,0.027741761,,,,61,352.8344228
30,4,cnn,0.03400009,,,,26,151.1724761
