,mode,N,sig2e,sig2b0,q0,deep,experiment,exp_type,auc,sig2e_est,sig2b_est0,n_epochs,time
1,glmm,100000,1.0,0.1,100,True,0,ohe,0.790291217169592,,,18,118.01188349723816
2,glmm,100000,1.0,0.1,100,True,0,lmm,0.7988620344280429,,0.06311418116092682,20,483.3379075527191
3,glmm,100000,1.0,0.1,100,True,0,ignore,0.7949665404644302,,,25,156.8675994873047
4,glmm,100000,1.0,0.1,100,True,0,embed,0.7982410048778733,,,16,143.9026803970337
5,glmm,100000,1.0,0.1,100,True,1,ohe,0.7908303151805414,,,19,120.55556869506836
6,glmm,100000,1.0,0.1,100,True,1,lmm,0.7992807868679035,,0.05909265950322151,19,457.54019045829773
7,glmm,100000,1.0,0.1,100,True,1,ignore,0.7948316010752121,,,19,117.19470310211182
8,glmm,100000,1.0,0.1,100,True,1,embed,0.7968078898026444,,,23,208.8776695728302
9,glmm,100000,1.0,0.1,100,True,2,ohe,0.7891890279310645,,,20,127.30932426452637
10,glmm,100000,1.0,0.1,100,True,2,lmm,0.7947283876153117,,0.128362238407135,20,492.45675706863403
11,glmm,100000,1.0,0.1,100,True,2,ignore,0.7909047048125413,,,15,95.38472700119019
12,glmm,100000,1.0,0.1,100,True,2,embed,0.796276203565228,,,14,128.33829998970032
13,glmm,100000,1.0,0.1,100,True,3,ohe,0.7900743394792439,,,17,106.947190284729
14,glmm,100000,1.0,0.1,100,True,3,lmm,0.7963004932529957,,0.07337793707847595,20,489.0675666332245
15,glmm,100000,1.0,0.1,100,True,3,ignore,0.7938015621407594,,,20,127.11357712745667
16,glmm,100000,1.0,0.1,100,True,3,embed,0.792431816072379,,,27,246.34315752983093
17,glmm,100000,1.0,0.1,100,True,4,ohe,0.7815550351097835,,,25,159.41653966903687
18,glmm,100000,1.0,0.1,100,True,4,lmm,0.7954118017476709,,0.07722705602645874,24,590.3502652645111
19,glmm,100000,1.0,0.1,100,True,4,ignore,0.7893410636530362,,,22,137.53549599647522
