,experiment,exp_type,mse,sigma_e_est,sigma_b0_est,sigma_b1_est,n_epoch,time
0,0,ignore,1.442166677,,,,35,47.67737341
1,0,embed,1.144264818,,,,36,71.86621666
2,1,ignore,1.424630227,,,,41,55.68343806
3,1,embed,1.757945784,,,,23,46.26323366
4,2,ignore,1.410137984,,,,45,60.46605468
5,2,embed,1.1112672,,,,28,55.90552688
6,3,ignore,1.448025702,,,,36,48.60944772
7,3,embed,1.165548825,,,,27,54.33520794
8,4,ignore,1.469313012,,,,32,44.04838681
9,4,embed,1.139362668,,,,25,50.62223363
10,0,lmm,0.973011164,0.45991123,0.95076,0.26445022,40,174.0489848
11,1,lmm,0.997570439,0.47305954,0.94638765,0.27032003,15,94.78586078
12,2,lmm,0.942168747,0.4634359,0.9660993,0.27378973,36,158.6281183
13,3,lmm,0.986471064,0.44448787,0.94037795,0.2860964,32,148.5976303
14,4,lmm,0.970123094,0.46286577,0.9517462,0.27736902,32,146.3516579
15,0,lme4,1.018980746,0.584221872,0.750695674,0.41360752,0,33.44330001
16,1,lme4,0.997226801,0.587403709,0.755500094,0.370025289,0,32.61396623
17,2,lme4,0.962836254,0.592229597,0.762831087,0.382200294,0,33.02785206
18,3,lme4,0.985174946,0.588201193,0.759986148,0.379646013,0,33.69580698
19,4,lme4,0.976949948,0.587667166,0.764730255,0.382480603,0,36.24028087
