,experiment,exp_type,mse,sigma_e_est,sigma_b0_est,sigma_b1_est,n_epoch,time
0,0,ignore,3.170118829,,,,27,34.59929395
1,0,embed,1.839346645,,,,20,37.78143406
2,1,ignore,3.213652412,,,,15,19.71850824
3,1,embed,1.900296801,,,,16,31.1791687
4,2,ignore,3.19928518,,,,28,36.12498617
5,2,embed,1.854544229,,,,14,26.89175868
6,3,ignore,3.239463798,,,,25,32.23208857
7,3,embed,1.955735393,,,,17,32.51334381
8,4,ignore,3.278297066,,,,22,28.43449211
9,4,embed,1.92365917,,,,14,27.31357431
10,0,lmm,1.780040026,0.92436475,1.6843584,0.82243234,14,52.45152903
11,1,lmm,1.840351664,0.9324865,1.68706,0.7943703,13,48.86783266
12,2,lmm,1.757598466,0.9518728,1.7188268,0.76572174,29,95.21343565
13,3,lmm,1.841250925,0.91733915,1.6918863,0.8065158,15,55.10735488
14,4,lmm,1.852130045,0.99823886,1.6709216,0.6976312,55,167.9226286
15,0,lme4,1.82121402,1.145452708,0.609320398,1.378538071,0,42.13350606
16,1,lme4,1.772953532,1.140275008,0.628554644,1.374131627,0,48.14804697
17,2,lme4,1.789357698,1.151411616,0.611632007,1.381940788,0,44.41721702
18,3,lme4,1.802404273,1.169116691,0.589734067,1.382326532,0,45.3142159
19,4,lme4,1.803693912,1.160441292,0.598044052,1.375921288,0,44.71866202
