epoch,experiment,loss,sig2b_est0,sig2b_est1,sig2b_est2,sig2e_est,val_loss
0,0,1877.7216796875,1.4498563,1.575634,1.8581636,1.237364,523.6830444335938
1,0,377.3053894042969,1.6213714,1.8851876,2.2984002,1.2790358,282.6358337402344
2,0,233.92437744140625,1.7650126,2.1711361,2.6942356,1.298515,199.10549926757812
3,0,174.78485107421875,1.8923358,2.4583244,3.0963678,1.2938472,159.51083374023438
4,0,143.54727172851562,1.9924848,2.7491496,3.5257354,1.2461615,136.73513793945312
5,0,125.08292388916016,2.0447376,3.0469654,3.9972022,1.1144654,122.4925308227539
6,0,112.80751037597656,2.0220165,3.350995,4.5259557,0.81404203,114.51834869384766
7,0,104.49497985839844,1.8800275,3.6372528,5.130417,0.36007354,111.02325439453125
8,0,99.50035095214844,1.5206594,3.7550654,5.798814,0.26852974,107.37870025634766
9,0,95.69318389892578,1.2504654,3.6928105,6.524755,0.24642225,105.76446533203125
10,0,93.31139373779297,1.0742428,3.5920653,7.303369,0.24430235,103.79429626464844
11,0,91.46589660644531,0.96782917,3.4961503,8.099595,0.23645864,102.41099548339844
12,0,90.04808807373047,0.8842712,3.3627112,8.872317,0.2205979,102.31855010986328
13,0,89.27520751953125,0.81048477,3.275812,9.565602,0.2314439,101.55071258544922
14,0,88.5459976196289,0.7671707,3.1896753,10.1945305,0.2302068,100.85224914550781
15,0,87.61004638671875,0.7030216,3.0605102,10.644741,0.22465429,101.31903076171875
16,0,87.14466857910156,0.68014956,2.9196572,10.930699,0.21961369,100.14186096191406
17,0,86.60164642333984,0.63015,2.8350306,11.091909,0.21016113,100.96771240234375
18,0,86.18611145019531,0.62496054,2.7206752,11.207794,0.2121609,100.81472778320312
19,0,85.59293365478516,0.5773727,2.6175864,11.208392,0.20894329,100.43260192871094
20,0,85.19096374511719,0.55495757,2.5245183,11.215483,0.20352869,100.285400390625
21,0,84.86614990234375,0.52062243,2.4575932,11.176682,0.20214398,101.2597885131836
22,0,84.60195922851562,0.5221842,2.3815975,11.141105,0.19675843,101.00100708007812
23,0,84.39485931396484,0.48824963,2.3331058,11.110023,0.20182727,100.7567138671875
24,0,83.95382690429688,0.4756129,2.2436943,11.032833,0.20045944,100.56355285644531
25,0,83.56962585449219,0.45574218,2.190999,10.991578,0.19466223,100.93467712402344
26,0,83.38240051269531,0.44867408,2.136788,10.90138,0.19909783,100.51485443115234
0,1,1502.5064697265625,1.4708636,1.5596411,1.8553025,1.2376704,437.36114501953125
1,1,320.1669616699219,1.6742202,1.8587109,2.295119,1.2823592,247.0690460205078
2,1,205.13775634765625,1.8488657,2.132102,2.6897779,1.2997435,178.70559692382812
3,1,157.6764678955078,2.0021055,2.399634,3.0905197,1.285908,146.56007385253906
4,1,132.79396057128906,2.1226506,2.6640615,3.518565,1.2172195,128.3498077392578
5,1,117.81159210205078,2.1913025,2.9208016,3.9903142,1.0403216,117.15889739990234
6,1,107.48404693603516,2.171591,3.1666346,4.5229077,0.6581426,110.4927978515625
7,1,100.77622985839844,2.0088894,3.3391957,5.128557,0.2765178,108.8244857788086
8,1,96.04485321044922,1.6144084,3.2357528,5.7778883,0.24505793,106.09004211425781
9,1,92.94876098632812,1.4059224,3.0806878,6.4838095,0.22388287,104.810302734375
10,1,90.91544342041016,1.2409745,2.9604416,7.218977,0.22281358,104.08648681640625
11,1,89.29911804199219,1.151276,2.8163085,7.9459925,0.21128912,103.2232894897461
12,1,88.18074798583984,1.0607748,2.7146866,8.606716,0.20774156,103.03031158447266
13,1,87.28877258300781,0.9711927,2.589257,9.151404,0.19920008,102.1558609008789
14,1,86.60832977294922,0.9254533,2.4990036,9.560157,0.2022924,101.63005065917969
15,1,85.98981475830078,0.86597985,2.3981946,9.802162,0.20072114,102.69840240478516
16,1,85.3534927368164,0.8192066,2.2853382,9.931403,0.18645239,102.13838195800781
17,1,85.0892333984375,0.78401685,2.19854,9.983605,0.19696102,101.90245056152344
18,1,84.4776611328125,0.73510724,2.1054227,9.976372,0.19494618,102.1021728515625
19,1,84.00477600097656,0.7061626,2.0311444,9.970345,0.18579824,102.7263412475586
20,1,83.76777648925781,0.66293895,1.9565456,9.923411,0.18778545,102.01310729980469
21,1,83.30757141113281,0.6446829,1.8788202,9.837913,0.18001087,101.56806945800781
22,1,82.97303771972656,0.6092348,1.8227801,9.753682,0.18174694,102.54850769042969
23,1,82.64215850830078,0.5879441,1.7615333,9.699304,0.17886735,103.18550109863281
24,1,82.36153411865234,0.573779,1.711588,9.639375,0.17932142,102.9411849975586
25,1,82.08248901367188,0.5612703,1.6603234,9.591652,0.1767161,102.97511291503906
26,1,81.89714813232422,0.5331306,1.6139133,9.492311,0.17529516,103.37351989746094
27,1,81.53897094726562,0.5169529,1.572545,9.449645,0.16683225,103.07011413574219
28,1,81.24441528320312,0.49085462,1.5199966,9.329186,0.16556169,104.3227310180664
29,1,81.01070404052734,0.47866932,1.4907029,9.264751,0.17280123,103.61083984375
30,1,80.78961181640625,0.46859178,1.4540595,9.18663,0.16572316,103.66963958740234
31,1,80.70428466796875,0.45903158,1.4239882,9.127247,0.17035902,103.84278869628906
0,2,1650.7520751953125,1.4683872,1.5768763,1.8385395,1.23457,472.73236083984375
1,2,339.34063720703125,1.6618793,1.8924767,2.2659118,1.2729334,258.79827880859375
2,2,214.5623321533203,1.8257991,2.181722,2.6511412,1.287871,186.71971130371094
3,2,163.40350341796875,1.972754,2.470648,3.04352,1.2759238,151.5955047607422
4,2,136.29791259765625,2.0921392,2.763231,3.4639006,1.2148117,131.86495971679688
5,2,120.10863494873047,2.162416,3.0601554,3.9281008,1.0541831,119.46195220947266
6,2,109.26868438720703,2.151086,3.3561356,4.453211,0.7051055,112.39060974121094
7,2,101.9901123046875,2.001203,3.6076095,5.0534573,0.2885475,109.51487731933594
8,2,96.93709564208984,1.6247075,3.6211472,5.703968,0.2232905,107.45394134521484
9,2,93.81730651855469,1.3716412,3.5090098,6.411484,0.21888337,105.27763366699219
10,2,91.79440307617188,1.2260537,3.409099,7.156825,0.21265073,103.3434066772461
11,2,90.00064849853516,1.1012994,3.2523158,7.9060993,0.20360263,102.32266235351562
12,2,88.82898712158203,0.99848753,3.1427639,8.586668,0.20673971,101.22523498535156
13,2,87.94910430908203,0.94555056,3.0290143,9.195877,0.20787145,101.19084167480469
14,2,87.22293853759766,0.8678726,2.9248445,9.639639,0.2035489,99.61942291259766
15,2,86.5065689086914,0.8203477,2.7946634,9.924493,0.19954437,99.89410400390625
16,2,86.17274475097656,0.7903332,2.6818042,10.144634,0.19515112,100.12205505371094
17,2,85.68717193603516,0.7485917,2.5907662,10.228764,0.19496113,99.25151824951172
18,2,85.09786224365234,0.7034581,2.4877381,10.248933,0.18992236,99.05500030517578
19,2,84.64295196533203,0.6541329,2.370048,10.201555,0.1783941,100.23389434814453
20,2,84.25263977050781,0.63726985,2.312493,10.175892,0.18373398,100.35038757324219
