,experiment,exp_type,mse,sigma_e_est,sigma_b0_est,sigma_b1_est,n_epoch,time
0,0,ignore,0.293353996,,,,47,57.96948028
1,0,embed,0.2933609,,,,52,79.68557429
2,1,ignore,0.220646316,,,,40,49.06408262
3,1,embed,0.299470554,,,,42,65.31829262
4,2,ignore,0.296953457,,,,34,41.79969478
5,2,embed,0.09700884,,,,122,192.1399755
6,3,ignore,0.302703173,,,,43,53.47676921
7,3,embed,0.302704165,,,,27,43.03761649
8,4,ignore,0.309468285,,,,32,39.94373941
9,4,embed,0.306437088,,,,37,58.5593338
10,0,lmm,0.046734971,1.077976,1.0534785,1.033342,19,64.52520418
11,1,lmm,0.029673555,0.001886127,0.22962408,0.6705465,13,48.13344693
12,2,lmm,0.029424178,0.021088643,0.20808786,0.5510389,60,171.1698124
13,3,lmm,0.036415084,0.03147412,1.0078453,1.1390392,35,104.4771321
14,4,lmm,0.03341295,0.025347114,0.21580549,0.6032529,15,53.91732621
15,0,lmm_embed,0.129892409,1.0303645,1.01940906,,17,55.87639952
16,1,lmm_embed,0.125086045,1.1168745,1.187170744,,52,155.2802038
17,2,lmm_embed,0.063505629,0.018413497,1.730012536,,66,196.5070527
18,3,lmm_embed,0.069844716,0.037529614,1.748227835,,54,160.4597406
19,4,lmm_embed,0.053076139,0.02329331,1.084290147,,65,192.1732152
20,0,svdkl,0.064631965,,,,53,500.3391893
21,1,svdkl,0.033815365,,,,327,2982.475642
22,2,svdkl,0.034947776,,,,216,1957.571816
23,3,svdkl,0.050688643,,,,38,341.8443849
24,4,svdkl,0.038344356,,,,175,1588.655072
25,0,cnn,0.081425791,,,,23,149.1729112
26,1,cnn,0.063342335,,,,58,341.087503
27,2,cnn,0.393434801,,,,44,260.0370495
28,3,cnn,0.137179029,,,,25,149.9765282
29,4,cnn,0.141927662,,,,18,107.8433278
