,experiment,exp_type,mse,sigma_e_est,sigma_b0_est,sigma_b1_est,n_epoch,time
1,0,ignore,0.370783225,,,,6,58.10557604
2,0,embed,0.344208078,,,,10,118.0031705
3,1,ignore,0.345586257,,,,10,93.60417151
4,1,embed,0.233295838,,,,23,264.4446592
5,2,ignore,0.353213933,,,,6,58.26077962
6,2,embed,0.268608177,,,,16,186.3795033
7,3,ignore,0.381676021,,,,7,67.51995802
8,3,embed,0.210357533,,,,25,288.7298646
9,4,ignore,0.31927867,,,,11,103.445565
10,4,embed,0.212288102,,,,32,368.4291427
11,0,lmm,0.220522756,0.30295235,0.15046886,0.012115345,10,314.9855182
12,1,lmm,0.21826377,0.30687314,0.12756059,1.00E-15,18,509.0701675
13,2,lmm,0.222349919,0.3063526,0.116986975,0.01587773,8,243.7384336
14,3,lmm,0.216788377,0.30768454,0.14203115,1.00E-15,7,216.1008646
15,4,lmm,0.218127349,0.30579704,0.17944676,1.00E-15,8,242.2450204
16,0,svdkl,0.217967662,,,,53,3676.375377
17,1,svdkl,0.217862214,,,,24,1665.745198
18,2,svdkl,0.217650214,,,,27,1871.208269
19,3,svdkl,0.214703719,,,,19,1320.989814
20,4,svdkl,0.214569229,,,,26,1812.31513
21,0,cnn,0.239394749,,,,14,745.2461383
22,1,cnn,0.242941891,,,,13,674.9593995
23,2,cnn,0.307560728,,,,12,623.5556805
24,3,cnn,0.234621923,,,,12,628.9693842
25,4,cnn,0.228554093,,,,25,1294.014462
26,0,lmm_embed,0.232325589,0.18917239,0.23184374,,16,386.5997844
27,1,lmm_embed,0.219435221,0.19958381,0.502115369,,15,355.6846969
28,2,lmm_embed,0.219105594,0.18089047,0.078167185,,30,678.7630467
29,3,lmm_embed,0.220446695,0.1898189,1.004754186,,12,298.1862059
30,4,lmm_embed,0.217312587,0.18993486,0.26591441,,15,359.5525682
