,experiment,exp_type,mse,sigma_e_est,sigma_b0_est,sigma_b1_est,sigma_b2_est,n_epoch,time
0,0,ohe,0.0540964,,,,,22,16.52546382
1,0,ignore,0.200976075,,,,,100,63.47669435
2,0,embed,0.079612242,,,,,19,16.43550944
3,1,ohe,0.086887746,,,,,15,11.99077606
4,1,ignore,0.258836438,,,,,58,37.28316736
5,1,embed,0.143979964,,,,,24,20.11821055
6,2,ohe,0.04703665,,,,,24,17.85406137
7,2,ignore,0.187993393,,,,,128,80.67285442
8,2,embed,0.059284004,,,,,58,46.29666853
9,3,ohe,0.075182119,,,,,36,25.81866145
10,3,ignore,0.200318391,,,,,86,54.85051179
11,3,embed,0.059314929,,,,,38,31.34990335
12,4,ohe,0.072029275,,,,,17,13.25425816
13,4,ignore,0.226176121,,,,,78,50.18514276
14,4,embed,0.091543049,,,,,52,41.94694281
15,0,lmm,0.020077568,0.008338028,0.38293502,0.08377947,0.02539028,52,74.26785493
16,1,lmm,0.0211763,0.009905098,0.37422973,0.10163244,0.015407333,17,27.27436137
17,2,lmm,0.019755949,0.008175798,0.37791932,0.08611451,0.022293951,79,112.2350631
18,3,lmm,0.019887192,0.008343515,0.38247898,0.0855431,0.009741146,34,50.56235981
19,4,lmm,0.020241886,0.00772821,0.4029525,0.09798535,0.025019351,48,70.11200237
20,0,lme4,0.027098058,-0.093893611,0.357719891,0.371789639,0.315982821,0,6.512000084
21,1,lme4,0.025274998,-0.113034981,0.365159422,0.345062888,0.297459719,0,6.490996122
22,2,lme4,0.026656989,-0.11323978,0.365095134,0.382622624,0.343361062,0,4.981003046
23,3,lme4,0.025560003,-0.095174309,0.358679823,0.321772149,0.284661453,0,6.909839869
24,4,lme4,0.026215428,-0.101022835,0.360358875,0.365549874,0.330189715,0,6.047001839
25,0,rnn,0.344171642,,,,,26,426.1048489
26,1,rnn,0.33366755,,,,,55,888.2262104
27,2,rnn,0.335047725,,,,,40,651.1328464
28,3,rnn,0.335220414,,,,,27,442.9916101
29,4,rnn,0.333947854,,,,,37,603.5334468
