,experiment,exp_type,mse,sigma_e_est,sigma_b0_est,sigma_b1_est,sigma_b2_est,n_epoch,time
1,0,ohe,0.051606036,,,,,16,15.58410454
2,0,ignore,0.204741108,,,,,77,60.7979393
3,0,embed,0.048583498,,,,,65,64.37735701
4,1,ohe,0.036187636,,,,,34,30.26384854
5,1,ignore,0.204121704,,,,,72,56.94015574
6,1,embed,0.073327875,,,,,26,26.40733933
7,2,ohe,0.033347622,,,,,41,35.86564589
8,2,ignore,0.177446901,,,,,96,75.53549743
9,2,embed,0.038168228,,,,,58,57.0345428
10,3,ohe,0.051179064,,,,,14,13.54925466
11,3,ignore,0.154420854,,,,,117,92.29103112
12,3,embed,0.044274515,,,,,75,74.28540659
13,4,ohe,0.089880618,,,,,14,13.99233866
14,4,ignore,0.154389142,,,,,140,110.1605375
15,4,embed,0.053837106,,,,,46,46.13032269
16,0,lmm,0.011100101,0.008430644,0.39558557,0.07484604,0.019835623,39,71.42436099
17,1,lmm,0.010604636,0.00792414,0.40283844,0.08349269,0.019333955,35,64.28259659
18,2,lmm,0.010160519,0.008445002,0.3747986,0.07808902,0.017971532,43,78.04583621
19,3,lmm,0.010440494,0.008076567,0.3789038,0.08223359,0.020033192,27,50.53774238
20,4,lmm,0.010308148,0.008037168,0.3758115,0.07974849,0.022189206,66,117.3514223
21,0,lme4,0.011954326,-0.071365319,0.357028068,0.206432975,0.095928812,0,6.704002142
22,1,lme4,0.012537581,-0.065087414,0.354784888,0.215884645,0.098996783,0,7.310006142
23,2,lme4,0.013113881,-0.064370178,0.354405452,0.218594991,0.106863647,0,6.846002102
24,3,lme4,0.012992299,-0.069358809,0.356458036,0.212638493,0.096725297,0,7.181829929
25,4,lme4,0.011762137,-0.064121809,0.354327112,0.208807023,0.096360538,0,6.912434101
26,0,rnn,0.50645142,,,,,27,446.3429074
27,1,rnn,0.475140572,,,,,35,575.8878195
28,2,rnn,0.515084579,,,,,29,477.7737405
29,3,rnn,0.494489246,,,,,34,548.9447575
30,4,rnn,0.531934715,,,,,33,532.8461797
