,exp_type,mse,mae,sigma_e_est,sigma_b_est
0,embed,64.7683544,6.975258341,,
0,ignore,32.05072011,4.394200133,,
0,lmm,31.14644681,4.382054799,13.00464344,13.13297749
0,menet,62.94048889,6.754931459,0.098860182,
1,embed,66.08117771,6.984614383,,
1,ignore,30.97680924,4.372710764,,
1,lmm,30.8703158,4.394925227,13.75603104,13.91920853
1,menet,66.46710568,7.033849679,0.181017075,
2,embed,65.11433837,6.933414205,,
2,ignore,33.00424384,4.557889615,,
2,lmm,31.59487435,4.410924884,14.70631695,14.86777401
2,menet,64.8646966,6.928743833,0.408871901,
3,embed,66.12740013,7.012904652,,
3,ignore,33.33449521,4.499999038,,
3,lmm,32.16578601,4.419928944,14.17982578,14.32212734
3,menet,70.3894043,7.293819407,0.242389656,
4,embed,67.00040191,7.097704835,,
4,ignore,33.08896639,4.516814471,,
4,lmm,31.79306892,4.475715667,13.42463589,13.59013557
4,menet,64.33640468,6.819055348,0.116061586,
