id,experiment,exp_type,deep,mse,sigma_e_est,sigma_b_est,n_epoch,time
0,0,embed,TRUE,0.797630817,,,15,88.20783997
1,0,ignore,TRUE,0.797614511,,,50,198.0373936
2,0,lmm,TRUE,0.791445807,0.799772322,0.005691407,16,143.8720064
3,0,menet,TRUE,0.795482169,0.808398333,,,
4,0,ohe,TRUE,0.796410839,,,20,82.47187853
5,1,embed,TRUE,0.84668068,,,24,139.639122
6,1,ignore,TRUE,0.842829211,,,50,200.2477582
7,1,lmm,TRUE,0.840992281,0.802457929,0.016240815,43,367.6441109
8,1,menet,TRUE,0.843212938,0.801748694,,,
9,1,ohe,TRUE,0.851088153,,,21,87.23669052
10,2,embed,TRUE,0.811160355,,,28,161.2163591
11,2,ignore,TRUE,0.806893061,,,25,99.80066514
12,2,lmm,TRUE,0.797813713,0.80028832,1.00E-05,43,369.6463933
13,2,menet,TRUE,0.798283347,0.805423137,,,
14,2,ohe,TRUE,0.80674092,,,19,78.4612844
15,3,embed,TRUE,0.815638591,,,18,103.2524083
16,3,ignore,TRUE,0.812124819,,,50,197.2142529
17,3,lmm,TRUE,0.807960462,0.79549545,0.006466055,27,234.1820624
18,3,menet,TRUE,0.811962238,0.805526566,,,
19,3,ohe,TRUE,0.81137035,,,27,109.9582155
20,4,embed,TRUE,0.810776545,,,33,187.0504601
21,4,ignore,TRUE,0.807134354,,,50,197.0790267
22,4,lmm,TRUE,0.804735529,0.807194889,1.00E-05,41,357.221611
23,4,menet,TRUE,0.807955232,0.803299287,,,
24,4,ohe,TRUE,0.809112924,,,12,49.78882623
