,experiment,exp_type,deep,mse,sigma_e_est,sigma_b0_est,sigma_b1_est,n_epoch,time
0,0,ohe,TRUE,0.878480804,,,,16,325.7665002
1,0,ignore,TRUE,0.783473951,,,,41,165.4763746
2,0,embed,TRUE,0.912029996,,,,16,129.5103345
3,1,ohe,TRUE,0.956696043,,,,13,238.8658161
4,1,ignore,TRUE,0.810470135,,,,50,205.7693996
5,1,embed,TRUE,0.962229986,,,,34,295.8968074
6,2,ohe,TRUE,0.944096142,,,,14,241.3021514
7,2,ignore,TRUE,0.82458332,,,,39,203.2312238
8,2,embed,TRUE,0.943183968,,,,19,149.6076214
9,3,ohe,TRUE,0.93623697,,,,22,303.6352394
10,3,ignore,TRUE,0.836676163,,,,35,111.9787669
11,3,embed,TRUE,0.948722366,,,,14,82.66474009
12,4,ohe,TRUE,0.967404222,,,,19,257.5928874
13,4,ignore,TRUE,0.812229826,,,,23,68.90977216
14,4,embed,TRUE,0.917488793,,,,16,96.39201021
0,0,lmm,TRUE,0.78376278,0.819153607,0.01660819,0.045683425,66,451.8689363
1,1,lmm,TRUE,0.807730411,0.803981185,0.009353838,0.060668863,69,477.4346068
2,2,lmm,TRUE,0.819476297,0.80951643,0.014328249,0.553168416,66,470.6727431
3,3,lmm,TRUE,0.843930486,0.822948813,0.013361647,0.343274057,32,285.4553235
4,4,lmm,TRUE,0.811935402,0.809188247,0.014715729,0.271036416,24,258.2839558
