,experiment,exp_type,mse,sigma_e_est,sigma_b0_est,sigma_b1_est,n_epoch,time
0,0,ignore,0.038698997,,,,36,238.0602057
1,0,embed,0.039413051,,,,25,230.4955072
2,1,ignore,0.038823965,,,,30,196.7826755
3,1,embed,0.039846241,,,,40,359.5904565
4,2,ignore,0.038644787,,,,32,208.7920613
5,2,embed,0.039518487,,,,29,258.0618854
6,3,ignore,0.03881914,,,,39,253.0198822
7,3,embed,0.039444843,,,,25,223.5219288
8,4,ignore,0.038756471,,,,29,195.5853665
9,4,embed,0.039787817,,,,23,208.6747713
10,0,lmm,0.037866471,0.01367086,0.010284477,0.048270736,21,320.532382
11,1,lmm,0.037719102,0.012715571,0.008453671,0.0478968,80,1171.146211
12,2,lmm,0.038019394,0.013361323,0.010458885,0.05042842,45,658.3466845
13,3,lmm,0.038055128,0.012641173,0.007896467,0.049790803,55,800.8197968
14,4,lmm,0.037749177,0.012441771,0.009841294,0.049049336,35,519.6814277
15,0,lme4,0.038306829,0.012599801,0.010404027,0.045219381,0,75.30239582
16,1,lme4,0.038268384,0.012633713,0.010490507,0.044750761,0,75.16321802
17,2,lme4,0.038299469,0.01263406,0.010304961,0.046007871,0,76.70367098
18,3,lme4,0.038268587,0.012496006,0.01058492,0.044937258,0,76.68507814
19,4,lme4,0.038213381,0.012480227,0.010580864,0.045010698,0,79.72459817
