,experiment,exp_type,mse,sigma_e_est,sigma_b0_est,sigma_b1_est,n_epoch,time
0,0,ignore,0.031915112,,,,44,360.9729812
1,0,embed,0.032446598,,,,37,415.0073881
2,1,ignore,0.032212352,,,,26,215.4454699
3,1,embed,0.032959633,,,,25,280.9832921
4,2,ignore,0.032173386,,,,24,198.7296326
5,2,embed,0.03258709,,,,11,128.6515694
6,3,ignore,0.031794725,,,,55,453.5723414
7,3,embed,0.032650064,,,,23,261.3130982
8,4,ignore,0.032454153,,,,31,258.5872717
9,4,embed,0.032965631,,,,25,279.6087697
10,0,lmm,0.030521,0.015562,0.009792,0.036905,63,1102.077246
11,1,lmm,0.030723,0.015948,0.007185,0.036459,58,1008.827018
12,2,lmm,0.030795,0.013723,0.007547,0.034332,35,620.028558
13,3,lmm,0.030585,0.014134,0.0088,0.034774,47,827.129483
14,4,lmm,0.030821,0.014898,0.009164,0.032999,40,710.274543
15,0,lme4,0.031010128,0.015044744,0.00927285,0.036004721,0,82.623106
16,1,lme4,0.030931036,0.01501442,0.009407412,0.035407357,0,84.17192483
17,2,lme4,0.03101186,0.014890327,0.009452402,0.035604351,0,80.42635298
18,3,lme4,0.030947025,0.014875503,0.009414425,0.035883452,0,83.89992785
19,4,lme4,0.03116861,0.01501481,0.009404274,0.034995435,0,80.94789505
